country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pw,Palau,Utilities,6002,1,6504796378,"QR Code Reader, Scan Barcode",BEGAMOB GLOBAL LIMITED,https://apps.apple.com/pw/app/qr-code-reader-scan-barcode/id6504796378?uo=4,0.0,4.75,4,Utilities,"Looking for a powerful, fast, and easy-to-use tool to scan or create QR codes and barcodes? 

Try QR Code Reader & Scan Barcode – your ultimate AI-powered solution for all scanning and generation needs. Whether you're shopping, sharing contact info, or promoting a business, do it all in one app.

Scan, generate, save, and share QR codes and barcodes effortlessly – right from your iPhone or iPad.

Explore the key features of QR Code Reader & Scan Barcode:
► SCAN QR CODES INSTANTLY
Use your device camera to scan all types of QR codes in seconds – from URLs and contacts to Wi-Fi and event info. Powered by advanced AI for maximum accuracy and speed.

► SCAN BARCODES & CHECK PRICES
Point your camera at any barcode to view detailed product information. Access brand, size, origin, availability, and more – instantly.

► PRICE FINDER & COMPARISON TOOL
Automatically compare prices across top online retailers like Amazon, eBay, and Google. Make smart shopping decisions with our built-in price checker and comparison tool.

► VIEW PRODUCT DETAILS & INFORMATION
Get complete product profiles right after scanning. See descriptions, specifications, reviews, and seller info at a glance.

► CREATE YOUR OWN QR CODES
Easily generate custom QR codes for personal or business use – websites, text, contact cards, event details, and more. Add color or style for better branding and visibility.

► SAVE & ORGANIZE SCAN HISTORY
Your scans are automatically saved for future access. View, search, and manage your scan and generation history from one clean dashboard.

► EXPORT & SHARE ANY CODE
Send your generated or scanned codes via message, email, or social media. Export as image files for print or online use – perfect for flyers, posters, or packaging.

► CLEAN, USER-FRIENDLY DESIGN
With a minimalist layout and intuitive controls, the app offers a seamless experience for users of all levels. No clutter, no confusion – just pure scanning power.

Say goodbye to juggling multiple apps. With QR Code Reader & Scan Barcode, everything you need is in one place. Download now and scan smarter today.

PREMIUM SUBSCRIPTION
• Get unlimited access to advanced features with a simple weekly or annual plan.
• Enjoy an ad-free experience, full customization options, and priority updates.

Privacy Policy: https://smart.southpolemob.com/policy.html
Terms of Service: https://smart.southpolemob.com/terms.html",2024-07-29T07:00:00Z,2025-11-03T17:04:18Z
pw,Palau,Utilities,6002,2,1423538627,1.1.1.1: Faster Internet,Cloudflare Inc.,https://apps.apple.com/pw/app/1-1-1-1-faster-internet/id1423538627?uo=4,0.0,4,4,Utilities,"1.1.1.1 w/ WARP – the free app that makes your Internet more private.

1.1.1.1 w/ WARP makes your Internet more private and safer. No one should be able to snoop on what you do on the Internet. We’ve created 1.1.1.1 so that you can connect to the Internet securely anytime, anywhere.

• A better way to connect
1.1.1.1 with WARP replaces the connection between your phone and the Internet with a modern, optimized, protocol. 

• Greater privacy
1.1.1.1 with WARP prevents anyone from snooping on you by encrypting more of the traffic leaving your phone. We believe privacy is a right. We won't sell your data.

• Better security
1.1.1.1 with WARP protects your phone from security threats like malware, phishing, crypto-mining and other security threats when you enable 1.1.1.1 for Families option from the DNS settings inside the app.

•  Easy to use
One-touch setup to make your Internet more safe and private. Install it today, get a more private Internet, it’s that simple.

• The only way to get WARP+ 
In addition to the full WARP service, WARP+ subscribers get access to a larger network. More cities to connect to means you’re likely to be closer to a Cloudflare data center – which can reduce the latency between your device and Cloudflare and improve your browsing speed.
 
---
Subscription Information for WARP+

• 1.1.1.1 with WARP is free, but WARP+ is a paid feature which can be enabled at any time.
• You can get free WARP+ data by sharing 1.1.1.1 with friends.
• Subscribe on a monthly basis to receive unlimited WARP+ data for the duration of the subscription.
• Your subscription will automatically renew for the same package length at the same price until you cancel in settings in the iTunes Store at least 24 hours prior to the end of the current period.
• Any unused portion of a free trial period and/or WARP+ data transfer credits, if offered, will be forfeited when you purchase a subscription, where applicable.

Privacy Policy: https://www.cloudflare.com/application/privacypolicy/
Terms of Service: https://www.cloudflare.com/application/terms/",2018-11-11T13:01:30Z,2025-08-11T22:33:18Z
pw,Palau,Utilities,6002,3,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/pw/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.78365,416,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2024-01-05T08:00:00Z,2025-11-24T00:05:53Z
pw,Palau,Utilities,6002,4,6448163027,Love8 - App for Couples,"Chongqing Daole Er Technology Co., Ltd",https://apps.apple.com/pw/app/love8-app-for-couples/id6448163027?uo=4,0.0,2,1,Utilities,"Love8 is the ultimate love app for couples, designed to strengthen your relationship. 
With love8,Connect more deeply, communicate more effectively, and improve intimacy with your love.From now on, there will no longer be a sense of distance, and you can discover the freshness of each other every day.

Love8's main functions:

Location Share
nstantly share  real-time location,speed, battery level, and duration of stay with your love. Always know how far you are from me,Just like being together!

Pet
Feed and interact at any time, enjoy the fun of raising pets on your mobile phone with your partner, grow with your pets,  witness your love.

Special day
Share special moments with your loved ones.Every important day deserves to be recorded.At the same time, you can turn on repeated reminders to remind you how many days are left until the next anniversary.

Widget
see important info on the home screen.Unlocking more than just your phone — unlocking love.

Stories
Record daily life and remember sweet moments with your love.Being loved is always worth recording.

Miss you effects
Send romantic effects for two of you.Receive love signals at any time on the app.

Battery
Keep an eye on your partner's battery level. Get alerts before their phone runs out.

Love8 has free content and also offers a Premium subscription that can be renewed on monthly or yearly basis. 

Premium membership benefits will begin on the date of subscription and will auto-renew at the end of the period, unless auto-renewal is turned off at least 24 hours before the end of the current period. Payments will be charged to your AppleID.

You can manage your subscription and turn-off auto-renewal by going to the Account Settings after the purchase. You may cancel your subscription at any time.

Terms and Conditions: https://web.love8.ltd/terms_of_service.html
Privacy Policy: https://web.love8.ltd/privacy_policy.html",2023-05-08T07:00:00Z,2025-11-19T08:35:44Z
pw,Palau,Utilities,6002,5,6463403383,Mix VPN - Fast & Unlimited,"GUAVA BRAVO TECHNOLOGY, LLC",https://apps.apple.com/pw/app/mix-vpn-fast-unlimited/id6463403383?uo=4,0.0,5,1,Utilities,"Discover the pinnacle of security and privacy with Mix VPN, an advanced Virtual Private Network solution designed to safeguard your online activities. Mix VPN offers unparalleled features that ensure a secure and confidential connection to the Internet, setting a new standard in digital protection.



Mix VPN is a robust implementation of Virtual Private Network technology, offering a secure and private Internet connection.



Key Features of Mix VPN:



1. Strict no-logs policy:



Mix VPN ensures your browsing history and personal data are never logged or collected.



2. Multi-hop function:



Utilize sequences of servers to enhance your anonymity and security online. Our AI-based server selection feature intelligently chooses servers based on real-time channel conditions specific to your current location.



3. Kill-Switch:



Kill-switch feature automatically blocks internet traffic if the VPN connection drops, ensuring your data remains protected.



4. Impressive speed:



Benefit from high connection speeds across our VPN servers.



5. State-of-the-art encryption:



We employ the IKEv2 protocol to maximize your online data security.



6. Global server network:



Connect to servers in over 10 countries worldwide with Mix VPN.



7. User-friendly interface:



Enjoy advanced protection with an intuitive setup that's accessible to everyone.



8. 24/7 customer support:



Our team is available round-the-clock to assist you with any inquiries.



Mix VPN acts as your trusted online shield, safeguarding privacy and granting access to Internet resources while protecting you from threats like hacking, fraud, and unwanted data surveillance.

Subscription Details:

Subscribe now for ad-free full access!
Experience our service with a free three-day trial, which automatically converts to a paid subscription.
Choose from weekly, monthly, or annual subscription plans.
Payment will be charged upon purchase confirmation.
You can cancel anytime before the current period ends to avoid auto-renewal.
Manage your subscription and disable auto-renewal in your account settings after payment.
Unused trial periods will be forfeited upon subscribing.
For more details, refer to our privacy policy at https://guavabravotechnology.com/privacy.html and our EULA at https://guavabravotechnology.com/eula.html.",2023-09-25T07:00:00Z,2025-11-16T13:45:04Z
pw,Palau,Utilities,6002,6,535886823,Google Chrome,Google LLC,https://apps.apple.com/pw/app/google-chrome/id535886823?uo=4,0.0,4.75394,634,Utilities,"Chrome helps you do what's possible on the web. Download the fast, secure browser by Google.

GET THE BEST OF GOOGLE IN CHROME

• SEARCH WITH GOOGLE – search and get answers on Google fast. Use your voice to search hands-free.
• GOOGLE LENS – search what you see on your screen or with your camera.
• GOOGLE TRANSLATE – explore the web in 130+ languages. Translate entire websites in one click.

BROWSE WITH BEST-IN-CLASS SECURITY

• ENHANCED PROTECTION MODE – browse confidently with the highest level of Chrome's security.
• SAFETY CHECK – get peace of mind with proactive safety alerts.
• GOOGLE PASSWORD MANAGER – securely generate and save passwords for fast sign-in, and get alerts if your passwords are at risk.

ACCESS YOUR CHROME ACROSS DEVICES

• SYNC ACROSS DEVICES – save your things (like bookmarks, tabs and passwords) and easily access them when you sign in to Chrome on your phone, computer or tablet.
• TAB GROUPS – create tab groups to stay organised across devices.
• AUTOFILL – save time typing by autofilling your saved payments, addresses and passwords.",2012-06-28T19:57:38Z,2025-11-20T15:29:06Z
pw,Palau,Utilities,6002,7,6444299466,GearUP: Lower Lag Game Booster,GEARUP PORTAL PTE. LTD.,https://apps.apple.com/pw/app/gearup-lower-lag-game-booster/id6444299466?uo=4,0.0,4.73332,15,Utilities,"A game booster that actually works! Say goodbye to game latency, and reach your real gaming potential! 

GearUP is the ultimate gaming companion, accelerating and safeguarding your network. With our patented technology and specialized servers worldwide, we provide gamers around the world with lightning-fast, stable gaming connections. 

► Maximum Performance 
A game booster that actually reduces game lag! We utilize real, patented server technology to set up a better network environment for your device. 

► Minimal Requirements
Our technology ensures that our game booster does not cause higher data usage, higher battery usage or overheating. Perfect for gaming on the go!

► Boost any Game
You can boost popular MOBA games such as Brawl Stars and Mobile Legends, the most-played shooter games like Free Fire, PUBGM and CODM and many other games! We also support all Roblox minigames!

► Easy to use 
Never used a game accelerator before? Worry not! Select the game you wish to play, and click boost. As easy as just one click!

► Patented Technology 
We provide an exclusive path for you to connect directly to the game server! No need to compete with other gamers for the usual congested route, ensuring lower latency and hence lower ping.

► Guaranteed Results
With years of experience building network tools under our belt, we deliver results . We work closely with network service providers in each country to ensure we provide only the best routes to users around the world.

►Free Trial & Subscription
Try before you buy with a free trial and flexible subscription options.
If you’re enjoying a free trial, you will be charged on the last day of your free trial.
Your subscription will renew automatically at the end of each billing cycle, unless canceled at least 24 hours before the expiration date.
Easily manage your subscription and cancel anytime through your App Store account settings.
Purchasing a subscription will result in the forfeiture of any unused portion of a free trial period, if applicable.
You are welcome to read Subscription Terms here: https://mobile.booster.gearupportal.com/happ/statement/subscription",2022-12-01T08:00:00Z,2025-11-12T10:25:22Z
pw,Palau,Utilities,6002,8,388497605,Google Authenticator,Google LLC,https://apps.apple.com/pw/app/google-authenticator/id388497605?uo=4,0.0,4.89329,328,Utilities,"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.

The verification code can be generated by the Google Authenticator app on your phone, even if you don't have a network or mobile connection.

• Sync your Authenticator codes to your Google Account and across your devices. This way, you can always access them even if you lose your phone.

• Set up your Authenticator accounts automatically with a QR code. This is quick and easy, and it helps to ensure that your codes are set up correctly.

• Support for multiple accounts. You can use the authenticator app to manage multiple accounts, so you don't have to switch between apps every time you need to sign in.

• Support for time-based and counter-based code generation. You can choose the type of code generation that best suits your needs.

• Transfer accounts between devices with a QR code. This is a convenient way to move your accounts to a new device.


To use Google Authenticator with Google, you need to enable 2-Step Verification on your Google Account. To get started, visit http://www.google.com/2step",2013-07-27T10:42:50Z,2024-06-26T21:59:59Z
pw,Palau,Utilities,6002,9,1510944943,Cleanup: Clean Storage Space,DEEP FLOW SOFTWARE SERVICES - FZCO,https://apps.apple.com/pw/app/cleanup-clean-storage-space/id1510944943?uo=4,0.0,4.81111,90,Utilities,"Clean up your iPhone and optimize storage in seconds. 

Remove duplicate photos, videos, and junk emails. Cleanup helps you clear your camera roll, merge duplicate contacts, compress videos, and organize storage — all in one app.

OPTIMIZE STORAGE – FREE UP SPACE WITH ONE TAP
Running low on space? Cleanup gives you powerful tools to take control:
- Delete duplicate photos and videos
- Remove similar screenshots and lookalike videos
- Compress large files without losing quality
- Clean up spam and promotional emails
- Delete unused contacts and tidy up your address book
- Free up storage instantly with one tap.

CLEAN YOUR GALLERY FAST - DELETE DUPLICATE PHOTOS
No more manual browsing. Cleanup makes it easy:
- Instantly detect and delete duplicate photos
- Smart grouping for similar photos, with “Best” marked
- Remove large, lookalike videos
- Identify and delete screenshots in bulk

EMAIL CLEANER - DECLUTTER YOUR INBOX
Declutter your inbox in seconds:
- Highlight and remove promo, spam, and unread emails
- Clear out junk with one tap

CONTACTS CLEANUP
Keep your contacts organized and up to date:
- Merge duplicates
- Remove incomplete or unused entries
- View and edit from one place

COMPRESS VIDEOS  - SAVE SPACE, KEEP QUALITY
Save storage without deleting memories:
- Compress large files with minimal quality loss
- Select exactly which videos to compress

CHARGING ANIMATIONS
Turn charging into a personal moment with vivid, customizable animations.

SECRET SPACE – HIDE WHAT’S PERSONAL
Hide personal content in a secure, PIN-protected vault only you can access.

WIDGETS
Add instant cleanup tools to your Home and Lock Screens:
- Battery and storage widgets
- Tap to launch cleanup features quickly

REVIEW BEFORE YOU DELETE
Nothing is removed without your approval.  After each cleaning session, you get a final review screen to double-check your selections.
 No accidental deletions, no surprises — you're always in control.

OFFLINE AND PRIVATE
Your data stays private:
- No internet connection needed
- No files leave your phone
- No tracking or data misuse

Your privacy is fully protected — even we can’t access your photos.





Payment & Subscription Terms:


Choose between the following subscription options for unlimited access to all features:


• Weekly Subscription
• Lifetime Subscription


FREE TRIAL FOR 7 DAYS - OFFERING UNLIMITED GALLERY CLEANING FOR A LIMITED TIME


***You may cancel your subscription at any time***


Cleanup’s free trial allows you unlimited access to all features for the duration of 7 days. Your account will be automatically charged for renewal, based on the annual subscription plan, within 24 hours before the end of the 7 days free trial period.


You can cancel auto-renewal at any time, given that the cancellation is at least 24 hours before the end of the current period. Any unused portion of a free trial period will be forfeited when making a purchase of an auto-renewing subscription.


***Manage your subscription directly from your iPhone***
Subscriptions can be managed by the user and auto-renewal can be turned off by going to the Account Settings:
- Open the Settings app.
- Tap your name.
- Tap Subscriptions.
- Tap the subscription that you want to manage.




Privacy policy: https://cleanup.photos/privacy
Terms of use: https://cleanup.photos/terms",2020-12-17T08:00:00Z,2025-11-18T09:38:38Z
pw,Palau,Utilities,6002,10,6448330325,AI Cleaner: Clean Up Storage,"GRIMLAX TRADE,S.L.",https://apps.apple.com/pw/app/ai-cleaner-clean-up-storage/id6448330325?uo=4,0.0,4.88889,18,Utilities,"Do you often find your iPhone running out of storage?

AI Cleaner offers AI-powered cleaning unlike any other. With powerful cleaning functions, it helps you optimize your phone's performance by removing unnecessary files.

→ Reclaim space and enjoy a faster, more efficient device with optimized performance.

■ KEY FEATURES

» AI Smart Storage Cleaner
» Remove Duplicate Photos & Videos
» Swipe to Clean Your Gallery
» Clean Email Inbox & Unsubscribe
» Compress Photos & Videos
» Protect Private Files
» Contact Cleanup
» Event Remover

SMART STORAGE CLEANER
Experience the power of AI with AI Cleaner, designed to deliver the quickest and most effective cleanup for your iPhone.

If you want a thorough clean, our comprehensive cleaning feature uses all the app functions simultaneously, ensuring maximum storage recovery in minimal time.

DELETE DUPLICATE PHOTOS AND VIDEOS
AI Cleaner app scans your gallery for duplicate photos and videos, allowing you to delete them with a single tap. Free up space without losing your memories.

SWIPE TO KEEP OR DELETE
Scroll through your photos and videos one by one, and decide what to keep or delete with a simple swipe. Swipe right to keep and left to delete — it’s that easy, and you have all the control. Clean the clutter in your gallery, free up space, and keep only the memories that matter.

EMAIL CLEANER
Keep your inbox tidy and organized by removing unwanted emails and unsubscribing from spam and telemarketing lists.

COMPRESS PHOTOS AND VIDEOS
Regain precious space on your phone with just a few clicks by compressing your photos and videos! Select from a variety of compression levels—high, medium, or low—to suit your storage preferences and free up space seamlessly.

PROTECT PRIVATE PHOTOS AND VIDEOS
Effortlessly safeguard your memories and sensitive information by protecting and concealing your photos, videos, and contacts within a private storage space, ensuring an extra layer of security and privacy. Relax, knowing your memories are secured from unwanted access.

CONTACT CLEANUP
Forget about incomplete and duplicate contacts cluttering your address book. AI Cleaner identifies and helps you clean up your contact list to keep it organized and relevant.

REMOVE PAST EVENTS
Is your calendar crowded with obsolete past events? AI Cleaner quickly detects and removes old events, freeing up space on your schedule.


■ EFFORTLESS STORAGE MANAGEMENT

» Easy to use: With our intuitive interface, you can easily free up space manually or with AI assistance.

» AI-Powered cleaning: AI Cleaner efficiently scans your device to identify duplicate and unwanted items.

» Data security: Your personal data is safe with us. AI Cleaner does not store your personal information.

» Performance optimization: Improve your iPhone's speed and responsiveness with AI Cleaner app. Our advanced AI technology frees up gigabytes of storage in seconds.

» Regular updates: We keep AI Cleaner up to date with the latest improvements and features to ensure the best experience.


■ CONTACT:

For app support and more information, reach out to us at:
info@aicleaner.app

Terms of Use:
https://aicleaner.app/terms-of-use

Privacy Policy:
https://aicleaner.app/privacy-policy

Download AI Cleaner now and enjoy a faster and more efficient device! Free up space, organize your gallery and agenda, and keep your mobile at its best.",2023-10-30T07:00:00Z,2025-11-18T09:31:21Z
