country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
cn,China,Reference,6006,1,353115739,网易有道词典-工作学习必备,"Beijing NetEase Youdao Computer System Co.,Ltd",https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%9C%89%E9%81%93%E8%AF%8D%E5%85%B8-%E5%B7%A5%E4%BD%9C%E5%AD%A6%E4%B9%A0%E5%BF%85%E5%A4%87/id353115739?uo=4,0.0,4.72881,557133,Reference,"支持中文、英语、日语、韩语、法语、德语、俄语、西班牙语、葡萄牙语、藏语、西语等109种语言翻译。实景AR翻译、拍照翻译、语音翻译、对话翻译、在线翻译、离线翻译更顺畅。

【权威词典】
完整收录学习型牛津词典、《新牛津英汉双解大词典》、《韦氏大学英语词典》、《柯林斯COBUILD高级英汉双解词典》、《新世纪日汉双解大辞典》、龙朝《韩中词典》《中韩词典》等权威词典，英汉、汉英词汇和例句，满足商务英语、四六级、考研、GRE、托福、雅思等语言翻译学习需求。 
【实景翻译】
AR实景翻译，所见即所译，摄像头扫描即可实时翻译，支持中英日韩的在线和离线实景翻译。 
【拍照翻译】
拍照就能翻译，无需输入也能查词翻译的词典，支持英日韩离线拍照翻译。 
【同传翻译】
112种语言实时语音翻译，各国口音均可精准识别。自动生成AI总结及思维导图，课后、会后可轻松回顾。
【对话翻译】
自动识别语言，即说即译，与外国人交流0障碍。 
【离线翻译】
英语、日语、韩语等多种语言的离线翻译词库，没有网络也能查单词和翻译。 
【文本翻译】
输入文本即可翻译，支持109种语言的全球翻译，支持英日韩离线文本翻译。
【文档翻译】
一键翻译Word和PDF文档，支持整篇翻译，结果快速导出。 
【热词翻译】
囊括中文、英语、日语等互联网热词翻译。 
【汉语词典】
支持汉语拼音、手写、语音输入，中文读音、中文生僻字轻松查。 
【日语词典】
收录中文日语双语词汇、例句，支持日语单词语法查词、日语翻译、日语发音、日语假名标注、日语手写输入、日语罗马音检索、人名地名缩略语查询，助力日语学习。 
【韩语词典】
收录龙朝《韩中词典》《中韩词典》两部韩语学习者必备词典。
【单词本】
精选词库，方便易学；支持个性化背词计划，高效背单词，学习更轻松。
【作文批改】
基于AI技术的英语作文批改功能。一键上传照片，自动识别作文内容；自动检测拼写、语法和搭配错误并提供修改建议。
【地道发音】
支持英语、日语等的全球和本地发音。

【会员自动续费说明】
1、服务名称：会员自动续费
2、价格：首月6元，次月起18元/月
3、购买会员自动续费的账号，会在每个月到期前24小时，自动在iTunes账户扣费并延长1个月会员有效期。
4、如需取消订阅，请手动打开苹果手机“设置”-->进入“iTunes Store与App Store”-->点击“Apple ID”，选择“查看Apple ID”，进入“账户设置”页面，点击“订阅”，选择网易有道词典VIP取消订阅即可。如未在订阅期结束的至少24小时前关闭订阅，此订阅将会自动续订。
5、会员自动续费服务协议：http://shared.ydstatic.com/dict/dic-vip/12041925/index2.html
6、隐私协议：http://www.youdao.com/terms/privacy.html

【联系我们】
微信：dictyoudao
官方网站：http://dict.youdao.com/
官方微博：http://weibo.com/youdaocidian",2010-02-01T21:47:37Z,2025-11-14T02:14:09Z
cn,China,Reference,6006,2,1625047243,考试宝-职业资格题库在线考试培训学习,"Shanghai Juxue Network Co., Ltd.",https://apps.apple.com/cn/app/%E8%80%83%E8%AF%95%E5%AE%9D-%E8%81%8C%E4%B8%9A%E8%B5%84%E6%A0%BC%E9%A2%98%E5%BA%93%E5%9C%A8%E7%BA%BF%E8%80%83%E8%AF%95%E5%9F%B9%E8%AE%AD%E5%AD%A6%E4%B9%A0/id1625047243?uo=4,0.0,4.81339,89353,Reference,"考试宝，致力于为用户提供智能化学习方案，覆盖职业资格、技能鉴定、学历提升等10000+种考试类目，拥有36亿+题目。无论你是学生备考、职场充电，还是企业搞培训、机构要考核，从学习、刷题、练习到测试、评估，一站式帮你搞定。AI 智能工具还能帮你导题、出题、讲题，助力学习更高效、考试更从容！

【特色功能】
1、刷题练习 
顺序练习、随机练习、题型练习……各种练习模式随意选择，错题自动归纳、举一反三，还能根据题目关键词进行搜索，提供详细解题过程与答案解析，帮你精准提分。
2、题库上传
支持手动导题、人工导题、AI导题多种方式，一键上传快速生成在线题库，智能解析和提取复杂文档或图片中的题目，不论是个人复习还是公司考试需求都能满足。
3、在线考试
一键智能组卷，自持自由设置题型、时间、分数，还有防作弊功能。考完试自动出成绩报告和知识点分析，还能智能出题和解析，不管是哪种考试场景，都能灵活应对。
4、历年真题
收录大量行业技能鉴定和职业资格考试的历年真题，专业教研团队精心整理和校对，快速掌握考试题型分布、难度变化和命题规律，告别盲目复习，备考更有针对性。
5、模拟考试
快速设置题型、题量、考试时间，支持选项乱序、错题优先，随时随地都能进行高仿真模拟考试，考完直接出成绩，生成详细分析报告，知识薄弱点一清二楚，复习计划更清晰。
6、海量内容
整合了官方题库和题库市场资源，紧跟最新考试要求实时更新，不管是常见考试还是小众考试，都能找到对应的题库和文档资料，支持练习和下载，再也不愁到不到。
7、AI 来帮忙，学习更高效
AI 导题最快一分钟导入文档变题库，AI 出题能智能解析文档资料生成在练习题，AI深度解题会提供详细的解题过程，还有 AI 数字人老师一边语音讲题一边板书…… 有了这些 AI 功能，备考通关更轻松。

【他们都在用】
● 学生党： 不论是日常作业学习，还是临考复习冲刺，多样化刷题+智能错题整理，快速突破瓶颈。
● 职场打工人： 考公考编、教师资格证、建造师、会计证... 历年真题、高频考点全都有，助力升职加薪。
● 技能考证族： 电工、消防、铁路司机、护士资格... 理论题库+模拟考试双管齐下，考证更稳。
● 企业培训： 快速搭建专属培训和考核系统，员工学习进度追踪、在线考试组织……效果一目了然。
● 教育机构： 批量导入题库、灵活组卷发布考试、自动生成学员成绩分析报告，教学评估优化更轻松。


【自动订阅会员服务】
--考试宝会员权益：
内容特权：VIP会员享受多项专项功能服务
免广告特权：无广告刷题考试
导题服务：购买会员赠送人工导题服务

--订阅周期：1个月(考试宝会员连续包月产品）。
--订阅价格：以IPA实时价格为准，
例如考试宝连续包月产品为每月18元，首次订阅首月优惠，首月价格为15元，之后为每月续订价格为18元。
--付款：用户确认购买并付款后记入iTunes账户。
--订阅管理：您可以在“设置”--＞进入“iTunes Store 与 App Store”-->点击 “Apple ID”,选择“查看 Apple ID”，进入“账户设置”页面，点击“订阅”，管理自动订阅服务，如需取消，每个计费周期结束前24小时关闭即可，到期前24小时内则不再扣费。
--续订：苹果iTunes账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期。

- 隐私政策： https://www.ankianki.com/about/phone_privacy2
--用户协议： https://www.ankianki.com/about/phone_agree2
--会员购买协议：https://www.ankianki.com/about/phone_vip_jx
--自动续费会员服务协议：https://www.ankianki.com/about/phone_auto_vip",2022-05-23T07:00:00Z,2025-11-13T10:52:18Z
cn,China,Reference,6006,3,6751787479,考试一点通-考试宝职业资格证题库在线培训试卷刷题拍照搜题导题,Tianjin 58 driver Information Technology Co. Ltd.,https://apps.apple.com/cn/app/%E8%80%83%E8%AF%95%E4%B8%80%E7%82%B9%E9%80%9A-%E8%80%83%E8%AF%95%E5%AE%9D%E8%81%8C%E4%B8%9A%E8%B5%84%E6%A0%BC%E8%AF%81%E9%A2%98%E5%BA%93%E5%9C%A8%E7%BA%BF%E5%9F%B9%E8%AE%AD%E8%AF%95%E5%8D%B7%E5%88%B7%E9%A2%98%E6%8B%8D%E7%85%A7%E6%90%9C%E9%A2%98%E5%AF%BC%E9%A2%98/id6751787479?uo=4,0.0,4.86032,1303,Reference,"有考试，就上考试一点通
刷题备考，一点就通！


考试一点通App为您提供：
千行万业备考刷题服务：1000+考试类型全覆盖，拥有数亿题目。
覆盖职业资格、技能鉴定、考公考编、企业内训……无论你是学生、职场人还是行业从业者、机构搞培训、企业要考核，这里都有你需要的官方考题与备考资源。AI智能工具还能帮你导题、出题、讲题，助力备考更高效！


【特色功能】
●AI赋能，精准学习
1.智能刷题：错题自动收录，举一反三，薄弱点一目了然。
2.精简题库：高频考点归类，刷更少题得更高分，高效备考。
3.AI解析：AI考点考题解析，让备考知其然，更知其所以然。
4.极速导题：支持多种格式文档、图片快速导入，秒变专属题库。
5.专项练习：分题型、分难易度训练，各个击破备考更有章法。


●多维学习方式，自由选择
顺序练习、模拟考试、精选题库、专项练习……想怎么练，你说了算！
学习进度可视化，成绩曲线清晰可见，备考路上每一步都踏实。


【关于我们】
我们更懂“考试”这件事
源自专业考试培训行业2亿用户验证的技术底座与运营经验，
让我们深刻理解：什么是有效的练习、什么是高效的备考、什么是真正的“通关”。


【适合这样的你】
▸ 学生党：考公考编、考会计考银行、考职业资格——科学备考，轻松超越！
▸ 职场人：教师、建工、财会、律师……升职加薪，快人一步！
▸ 技能考证族：建筑工程、消防救援、财会金融、特种作业、医疗健康……理论题库+模拟考试双管齐下，考证更稳！
▸ 教育机构: 批量导入题库、灵活组卷发布考试、自动生成学员成绩分析报告，教学评估优化更轻松！
▸ 企业培训：快速搭建专属培训和考核系统，员工学习进度追踪、组织线上考试，效果一目了然！


【为什么选择 考试一点通】
不仅仅是一个刷题APP，而是一位“聪明的备考伙伴”


●我们坚持：
1.题库持续更新，紧跟大纲与政策变化
2.解析清晰易懂，不止给答案，更教方法
3.体验简洁流畅，专注学习本身，少些打扰
4.一键AI导题，支持复杂格式题目上传识别
5.服务始终在线，温暖陪伴您的学习备考之路",2025-09-10T07:00:00Z,2025-11-13T20:35:21Z
cn,China,Reference,6006,4,6739697356,游猫猫-优质的游戏内容社区,虎炜 黄,https://apps.apple.com/cn/app/%E6%B8%B8%E7%8C%AB%E7%8C%AB-%E4%BC%98%E8%B4%A8%E7%9A%84%E6%B8%B8%E6%88%8F%E5%86%85%E5%AE%B9%E7%A4%BE%E5%8C%BA/id6739697356?uo=4,0.0,1.84252,127,Reference,"游猫猫-游戏赛事资讯信息平台

欢迎来到《游猫猫》，专为游戏玩家打造的一款多功能应用。无论您是追求竞技巅峰的职业选手，还是享受热血对抗的游戏爱好者，《游猫猫》都能为您提供最全面、最及时的服务和支持。

【比赛讨论区】
在这里，您可以即时追踪最新的官方赛事动态，与全球玩家一同热议每一场激动人心的比赛。从职业联赛到社区杯赛，无论是战术分析、精彩瞬间分享，还是对战策略交流，这里都是您畅所欲言的乐园。

【游戏资讯站】
第一时间推送官方公告、版本更新、活动预告等一手资讯。我们的编辑团队精心挑选并撰写高质量内容
【装备查看室】
对于想要深入了解自己或对手使用的武器、技能效果及数据统计的玩家来说，《游猫猫》提供的装备查看功能绝对是一大利器。通过简洁直观的界面设计，您可以轻松查阅各类枪械性能参数对比。",2024-12-24T08:00:00Z,2024-12-24T15:42:23Z
cn,China,Reference,6006,5,1101000245,腾讯翻译君-多语言翻译,Tencent Technology (Shenzhen) Company Limited,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E7%BF%BB%E8%AF%91%E5%90%9B-%E5%A4%9A%E8%AF%AD%E8%A8%80%E7%BF%BB%E8%AF%91/id1101000245?uo=4,0.0,4.86208,173199,Reference,"支持英/日/韩/西/俄/法/德/泰/越/印尼/马来/意/葡/土等多种热门语言翻译，支持语音翻译、同声传译、文本翻译、拍照翻译等功能。获得 2018「WMT国际翻译大赛」中英翻译冠军，日均翻译量已破 5 亿！满足翻译学习、口语练习、出国旅游、日常交流等需求。

更懂国人语言习惯，BLEU评测和专业人工评测，翻译质量领先行业，精准自然流畅。

【深受亿万用户和业界同行信任】
- 博鳌首家AI同传技术展示方
- 4 次荣获App Store精品推荐
- 爱范儿、少数派、小众软件等权威媒体自发推荐

【主要功能】
* 语音翻译 | 无需打字，按住说话，精准识别并翻译；
* 同声传译 | 实时翻译，支持译文播报，炫酷又高效；
* 拍照翻译 | 路牌、菜单、书籍、作业⋯看不懂的，一拍即译；
* 文本翻译 | 翻译准确、地道，热门语言都支持；",2016-09-16T07:37:38Z,2025-07-23T02:36:07Z
cn,China,Reference,6006,6,605670941,百度翻译-英语学习必备,"Beijing Baidu Netcom Science & Technology Co.,Ltd",https://apps.apple.com/cn/app/%E7%99%BE%E5%BA%A6%E7%BF%BB%E8%AF%91-%E8%8B%B1%E8%AF%AD%E5%AD%A6%E4%B9%A0%E5%BF%85%E5%A4%87/id605670941?uo=4,0.0,4.69874,264419,Reference,"世界很复杂，百度更懂你
百度翻译于2015年率先在世界上发布了互联网NMT（神经网络机器翻译）系统，引领机器翻译进入神经网络翻译时代，和传统的机器翻译相比，能够根据上下文合理调整用词，译文自然流畅，大幅提升了翻译质量。荣获国家科技进步二等奖，中国电子学会科技进步一等奖。历经多年的积累与优化，翻译质量更优，且文本、拍照、语音、离线翻译均已替换成全新系统。在NMT时代，百度翻译走在了世界的前列，目前支持全球200种语言互译，每日响应过亿次的翻译请求，全方位满足用户的翻译需求。
 
【主要功能】
- 杜小译词典：收录权威牛津、柯林斯词典，累积覆盖2100万词条，更有海量双语例句、视频讲解、同反义词、词根词缀、同义词辨析、词组、专业术语和英英释义等词典资源，更是人人可贡献助记/释义的UGC词典，杜小译与你一起共建更好的词典！
- 拍照翻译：无需输入，轻轻一拍，翻译结果立刻实景展现。支持拍照、涂抹、AR三种模式，覆盖中、英、日、韩、法等20种热门语言。
- 语音/对话翻译：实时语音翻译，支持中、英、日等21种热门语言的语音输入，更有英文口语打分纠音，助力口语提升。
- 背单词：教、学、测、三位一体的背词模式，支持按同根词、考频、易错词、随机乱序等多种背词顺序，重点单词优先背。
- 作文批改：基于深度学习技术打磨的智能英文作文批改，从格式、语法、拼写三大评分维度智能纠错并给出修改建议；同时支持拍照识别英文手写字体。
- 语法分析：AI解构英文句子，高亮主谓宾等核心成分，并指出句子中每个单词的用法，从而高效掌握语法，轻松看懂长难句。
- 每日跟读：精美卡片和美句，专业多维度打分和纠错，同时支持音标学习，助力提升口语发音。
- 英语短视频：好玩的英语短视频社区，英语单词演出来，英语土味情话等趣味话题，轻松涨知识。
- feed文章：每天更新精选双语文章，语法讲解、BBC英语、奇妙趣闻、神翻译各种栏目带你轻松涨知识。同时支持关注专栏，不错过精彩内容。
- 打卡圈：通过打卡记录你的学习成效、与共同努力的同学交流心得，每天进步一点点，水平提高看得见！
-杜小译：你的全能语音助手。支持语音查词、翻译、全局搜索。杜小译陪伴你的点滴进步！",2013-03-07T02:48:30Z,2025-10-27T07:09:55Z
cn,China,Reference,6006,7,1147874819,Naver Papago - AI 翻译,NAVER Corp.,https://apps.apple.com/cn/app/naver-papago-ai-%E7%BF%BB%E8%AF%91/id1147874819?uo=4,0.0,4.71953,4792,Reference,"旅行、出差、学习外语等需要翻译的所有瞬间，
快把可翻译多国语言的聪明鹦鹉，Papago带走吧。

▶ ‘Papago’的含义
Papago在世界语(Esperanto)中是语言能力非常杰出的动物‘鹦鹉’的意思。
Papago目前支持韩文、英文、日文、中文（简体/繁体）、西班牙文、法文、越南语、泰语、印度尼西亚语、俄语、德语、意大利语、阿拉伯语共14个国家的语言翻译。

▶ 主要功能
1) 文本翻译
一旦输入要翻译的语句，即提供实时翻译

2) 图片翻译
拍照并点击按钮，可自动识别并翻译图片中的文字

3) 语音翻译
一旦说出要翻译的语句，即提供实时翻译

4) 离线翻译
即使未连接网络也能使用文本翻译

5) 对话翻译
需要与外国人进行1:1对话时，可以用对方的语言同时进行对话

6) 手写翻译 
手写文字即可帮您查找含义的书写翻译 

7) 网站翻译 
只需输入海外网站URL即可自动翻译全部内容

8) 词典
提供翻译结果外，还提供能确认单词的其他含义的词典信息

9) 国际会话
在无法连接网络的状况下也可使用的日常会话

和翻译伙伴Papago在一起随时随地充满自信！

点赞Papago Facebook :  https://www.facebook.com/NaverPapago
关注Papago Instagram : https://www.instagram.com/papago_naver/

※ 我们使用了移动OS提供的“语音识别”权限，为您提供越南语、泰语、印度尼西亚语、俄语和意大利语的语音翻译和对话翻译功能。在允许“语音识别”权限的情况下，如果您使用该语言的语音翻译或对话翻译功能，则根据Apple的政策，您的语音数据将发送到Apple，并且不会发送任何其他信息。



※ 支持iOS 15.0以上
 ※ 也可在PC/移动网络中使用。 https://papago.naver.com 
 ※ 和APP使用相关问题及举报错误 https://goo.gl/hF4H39

  开发商联系方式: 
1588-3820  

京畿道城南市盆唐区亭子洞178-1Green Factory",2016-09-11T05:54:33Z,2025-10-21T16:11:38Z
cn,China,Reference,6006,8,1629456780,飞机加速器-VPN全球网络加速代理,"Hangzhou Duokuai Technology Co., Ltd.",https://apps.apple.com/cn/app/%E9%A3%9E%E6%9C%BA%E5%8A%A0%E9%80%9F%E5%99%A8-vpn%E5%85%A8%E7%90%83%E7%BD%91%E7%BB%9C%E5%8A%A0%E9%80%9F%E4%BB%A3%E7%90%86/id1629456780?uo=4,0.0,4.38971,138703,Reference,"飞机加速器一个专业网络加速代理软件，提供全球和中国大陆各个城市的网路加速代理功能。采用BGP专线（覆盖移动，联通和电信等各大运营商），不限速，低延迟，不限时长。

【自动续费订阅服务说明】
 1: 订阅周期： 1个月[月度]、3个月[季度]。
 2: 订阅价格：以IAP申请信息为准。
 3: 付款：用户确认购买并付款后记入iTunes账户。
 4: 取消续订：如需取消续订，请在当前订阅周期到期前24小时以前，在iTunes/Apple ID设置管理中手动关闭续订功能。
 5: 续订：苹果iTunes账户时会在扣费订阅前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期。
 6: 服务协议：http://www.hzduok.cn/html/plainproxyterm.html
 7: 隐私政策：http://www.hzduok.cn/html/plainproxyprivacy.html
 8: 自动续费服务协议： http://www.hzduok.cn/html/autosubterm.html 
飞机加速器禁止用于任何攻击、诽谤、编造虚假事实等违法行为，对于境外网络，仅支持境内（特指中国大陆地区）能访问的境外网络代理加速，请勿做非法用途！",2022-06-21T07:00:00Z,2025-05-06T08:40:05Z
cn,China,Reference,6006,9,6744017861,Sore 2官方中文版，视频生成AI人工智能体,紫薇 李,https://apps.apple.com/cn/app/sore-2%E5%AE%98%E6%96%B9%E4%B8%AD%E6%96%87%E7%89%88-%E8%A7%86%E9%A2%91%E7%94%9F%E6%88%90ai%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%BD%93/id6744017861?uo=4,0.0,4.58866,406,Reference,"这款 AI 对话软件致力于为用户打造智能化、个性化的交互体验，集成多项创新功能，满足多样化的使用需求。通过整合先进的人工智能技术，用户可在同一应用中便捷地与多个主流聊天机器人进行交互，轻松比较不同 AI 的回答，获取更全面的信息支持。软件支持多种对话模式，包括基于 API 的高效响应机制，在提升交互速度的同时优化使用成本，并提供详细的令牌使用统计，帮助用户更好地管理资源。

在功能设计上，软件注重实用性与趣味性的结合。用户可通过语音识别技术实现自然流畅的语音交互，支持多语言实时翻译与转写，满足跨语言沟通、学习的需求。同时，软件内置丰富的工具模块，涵盖文字识别、语音转写、音频处理等实用功能，为用户的工作与生活提供便捷支持。针对创意领域，软件提供 AI 创作辅助功能，可根据用户输入生成文章、诗歌、代码等内容，激发灵感并提升创作效率。

界面设计简洁直观，采用中文交互环境，降低使用门槛，即使初次接触也能快速上手。软件支持自定义提示词库与社区分享功能，用户可根据需求个性化设置对话场景，还能与其他用户分享创意内容。

无论是日常交流、知识查询，还是学习辅助、创意工作，这款 AI 对话软件都能提供高效、贴心的支持。通过持续优化的技术架构与不断扩展的功能模块，软件致力于成为用户生活与工作中不可或缺的智能伙伴，为用户开启便捷、智能的交互新体验。
VIP会员：
提供周月季年等VIP订阅，详见订阅页面介绍。
- 取消续订：如需取消续订，请在当前订阅到期 24 小时以前，手动在iTunes/Apple ID 设置管理中关闭自动续订功能。 
续订：苹果iTunes账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期。 
EULA：
https://p.kdocs.cn/s/FNF2MIA7ACAE6",2025-04-29T07:00:00Z,2025-10-24T22:40:53Z
cn,China,Reference,6006,10,1348028646,"翻译 - 立即翻译: 语言 翻译软件, 语音翻译, 拍照翻译","AIR APPS SYSTEMS, UNIPESSOAL, LDA",https://apps.apple.com/cn/app/%E7%BF%BB%E8%AF%91-%E7%AB%8B%E5%8D%B3%E7%BF%BB%E8%AF%91-%E8%AF%AD%E8%A8%80-%E7%BF%BB%E8%AF%91%E8%BD%AF%E4%BB%B6-%E8%AF%AD%E9%9F%B3%E7%BF%BB%E8%AF%91-%E6%8B%8D%E7%85%A7%E7%BF%BB%E8%AF%91/id1348028646?uo=4,0.0,4.70784,86769,Reference,"在超过 320 种语言中实现实时文本翻译、语音翻译、拍照翻译、同声翻译、图片翻译与屏幕翻译的 AI 驱动翻译软件。

无论您是出于旅行、工作、学习或日常交流的需求，立即翻译都是您终极的 AI 翻译软件。借助内置的多语言翻译工具，瞬间打破语言障碍，让多语言互动轻松自如。

主要功能

▶ 免提语音翻译 - 轻松进行实时对话
使用实时、免提的 AI 语音翻译（同声翻译）功能，只需说话即可获得双向实时翻译，畅享任何多语言对话。
▶ 拍照翻译 - 快速获取实时结果
只需拍照即可完成图片翻译，瞬间翻译菜单、指示牌及文件，让旅行或阅读各国语言时更加轻松。
▶ 翻译器键盘 - 多语言聊天利器
在任何应用中都可使用此键盘，以母语输入并实时翻译成其他语言，支持多达 60 种语言，让消息沟通更便捷。
▶ AI 文本翻译 - 一键理解外语
在 320 多种语言之间进行在线文本翻译，结合 AI 智能并支持发音与上下文识别。
▶ AR 相机翻译 - 探索本地化的沉浸式翻译体验
利用相机与增强现实技术进行实时翻译，让语言学习与出行更直观。
▶ AI 词典与语法助手
通过上下文释义强化词汇，并实时纠正语法，使文字表达更加精准。

立即翻译提供多种 AI 翻译模型、常用短语集、手表 App、翻译扩展、离线模式、深色模式、Siri 捷径、互动小组件及 SharePlay 等功能。

立即下载立即翻译, 您终极的 AI 语言翻译软件！体验实时翻译的便捷，文本与语音轻松互译：英语、日语、粤语、韩语、越南语、泰语、藏语、老挝语、柬埔寨语、印尼语、德语、西班牙语、俄语等数百种语言！

将您的体验提升到全新层次，尝试 Air Apps One, 终极订阅服务。只需订阅其中任意一款应用，即可解锁超过 30 种强大工具，涵盖生产力、学习、健身与创意等多方面，且无需额外付费。通过无缝访问、专属折扣和日常整合，简化您的生活。立即订阅，畅享一体化的便捷体验！
---
订阅费用将通过您的 iTunes 帐户在购买和续订时扣除。若在当前周期结束前至少 24 小时内未取消免费试用，则会自动续订为付费订阅。取消操作将在当前计费周期结束后生效，届时您将回归免费服务。购买高级订阅后，任何未使用的免费试用天数将被作废。

请注意并确认：所有订阅均通过您的 Apple ID 进行处理与管理，包括取消、退款和更改。如需更多帮助，请联系 Apple 支持团队。

联系我们：
Web: https://airapps.co
LinkedIn: https://www.linkedin.com/company/airapps
Instagram: https://www.instagram.com/airappsco

Privacy Policy: https://airapps.co/privacy
Terms Of Use: https://airapps.co/terms
Support: support@airapps.co",2018-03-23T15:08:59Z,2025-11-10T12:15:36Z
