country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
al,Albania,Reference,6006,1,414706506,Google Translate,Google LLC,https://apps.apple.com/al/app/google-translate/id414706506?uo=4,0.0,4.5923,753,Reference,"Translate between up to 249 languages. Feature support varies by language:
• Text: Translate between languages by typing
• Offline: Translate with no Internet connection
• Instant camera translation: Translate text in images instantly by just pointing your camera
• Photos: Translate text in taken or imported photos
• Dictation: Translate spoken words and phrases
• Conversations: Translate bilingual conversations on the fly
• Transcribe: Continuously translate someone speaking a different language in near real-time
• Handwriting: Draw text characters instead of typing
• Phrasebook: Star and save translated words and phrases for future reference

Permissions notice:
• Microphone for speech translation
• Camera for translating text via the camera
• Photos for importing photos from your library

Translations between the following languages are supported:
Abkhaz, Acehnese, Acholi, Afar, Afrikaans, Albanian, Alur, Amharic, Arabic, Armenian, Assamese, Avar, Awadhi, Aymara, Azerbaijani, Balinese, Baluchi, Bambara, Baoulé, Bashkir, Basque, Batak Karo, Batak Simalungun, Batak Toba, Belarusian, Bemba, Bengali, Betawi, Bhojpuri, Bikol, Bosnian, Breton, Bulgarian, Buryat, Cantonese, Catalan, Cebuano, Chamorro, Chechen, Chichewa, Chinese (Simplified), Chinese (Traditional), Chuukese, Chuvash, Corsican, Crimean Tatar (Cyrillic), Crimean Tatar (Latin), Croatian, Czech, Danish, Dari, Dhivehi, Dinka, Dogri, Dombe, Dutch, Dyula, Dzongkha, English, Esperanto, Estonian, Ewe, Faroese, Fijian, Filipino, Finnish, Fon, French, French (Canada), Frisian, Friulian, Fulani, Ga, Galician, Georgian, German, Greek, Guarani, Gujarati, Haitian Creole, Hakha Chin, Hausa, Hawaiian, Hebrew, Hiligaynon, Hindi, Hmong, Hungarian, Hunsrik, Iban, Icelandic, Igbo, Ilocano, Indonesian, Inuktut (Latin), Inuktut (Syllabics), Irish Gaelic, Italian, Jamaican Patois, Japanese, Javanese, Jingpo, Kalaallisut, Kannada, Kanuri, Kapampangan, Kazakh, Khasi, Khmer, Kiga, Kikongo, Kinyarwanda, Kituba, Kokborok, Komi, Konkani, Korean, Krio, Kurdish (Kurmanji), Kurdish (Sorani), Kyrgyz, Lao, Latgalian, Latin, Latvian, Ligurian, Limburgish, Lingala, Lithuanian, Lombard, Luganda, Luo, Luxembourgish, Macedonian, Madurese, Maithili, Makassar, Malagasy, Malay, Malay (Jawi), Malayalam, Maltese, Mam, Manx, Maori, Marathi, Marshallese, Marwadi, Mauritian Creole, Meadow Mari, Meiteilon (Manipuri), Minang, Mizo, Mongolian, Myanmar (Burmese), N'Ko, Nahuatl (Eastern Huasteca), Ndau, Ndebele (South), Nepal Bhasa (Newari), Nepali, Norwegian, Nuer, Occitan, Odia (Oriya), Oromo, Ossetian, Pangasinan, Papiamento, Pashto, Persian, Polish, Portuguese (Brazil), Portuguese (Portugal), Punjabi (Gurmukhi), Punjabi (Shahmukhi), Quechua, Qʼeqchiʼ, Romani, Romanian, Rundi, Russian, Sami (North), Samoan, Sango, Sanskrit, Santali (Latin), Santali (Ol Chiki), Scots Gaelic, Sepedi, Serbian, Sesotho, Seychellois Creole, Shan, Shona, Sicilian, Silesian, Sindhi, Sinhala, Slovak, Slovenian, Somali, Spanish, Sundanese, Susu, Swahili, Swati, Swedish, Tahitian, Tajik, Tamazight, Tamazight (Tifinagh), Tamil, Tatar, Telugu, Tetum, Thai, Tibetan, Tigrinya, Tiv, Tok Pisin, Tongan, Tshiluba, Tsonga, Tswana, Tulu, Tumbuka, Turkish, Turkmen, Tuvan, Twi, Udmurt, Ukrainian, Urdu, Uyghur, Uzbek, Venda, Venetian, Vietnamese, Waray, Welsh, Wolof, Xhosa, Yakut, Yiddish, Yoruba, Yucatec Maya, Zapotec, Zulu",2012-06-03T08:28:26Z,2025-11-18T17:48:56Z
al,Albania,Reference,6006,2,6749448169,TranslateThis - AI Translator,Publisherr Limited,https://apps.apple.com/al/app/translatethis-ai-translator/id6749448169?uo=4,0.0,0,0,Reference,"Break language barriers instantly with TranslateThis — your all-in-one voice, text, and camera translator. Communicate effortlessly in up to 140+ languages, wherever you are.


• Text: Translate between languages by typing

• Instant camera translation: Translate text in images instantly by just pointing your camera

• Photos: Translate text in taken or imported photos

• Dictation: Translate spoken words and phrases

• Conversations: Translate bilingual conversations on the fly

• Transcribe: Continuously translate someone speaking a different language in near real-time


Perfect for travel, study, or everyday conversations — whether you’re abroad, chatting with friends, or learning a new language.


Translations between the following languages are supported:

AI Translate supports translations between 140+ languages, including:
English, Spanish, French, German, Italian, Portuguese, Arabic, Chinese (Simplified & Traditional), Japanese, Korean, Hindi, Russian, Turkish, Swahili, Vietnamese, and many more.


To access the full suite of translation features, subscribe to our App today.",2025-09-03T07:00:00Z,2025-11-19T21:45:03Z
al,Albania,Reference,6006,3,6752396371,"MyFlixer: Watch Movies,TV Show",Hansaben Moradiya,https://apps.apple.com/al/app/myflixer-watch-movies-tv-show/id6752396371?uo=4,0.0,5,1,Reference,"MyFlixer is your ultimate destination for everything movies—whether you’re hunting for your next binge-worthy pick, catching up on the latest trailers, or chatting with an AI that knows films better than your best friend.

Why you’ll love it:

- Discover Your Next Favorite – Browse by genre, rating, or release year and uncover hidden gems tailored to your taste.

- Never Miss a Premiere – Get instant alerts for new releases and upcoming blockbusters so you’re always first in line.

- Trailers in HD & Movie info – Watch crisp, high-definition trailers that bring the big-screen excitement straight to your device.

- Your Personal Watchlist – Save movies you want to see and organize them in one seamless place.

- Track & Rate – Keep a log of what you’ve watched, leave your ratings, and build your own movie diary.

- Deep Dive into Details – Explore cast lists, reviews, and in-depth movie info for the true film enthusiast.

- AI Movie Chatbot – Get personalized recommendations and movie conversations powered by smart AI—like chatting with a cinephile buddy who knows your taste.

With a sleek design and powerful features, this isn’t just another movie app—it’s your complete movie companion.

Data Source:

All movie and TV data, including images and descriptions, are provided courtesy of The Movie Database (TMDB).
This product uses the TMDB API but is not endorsed or certified by TMDB

Disclaimer:

It is not affiliated with or endorsed by any third-party content providers or studios.
This app does not stream or host any movies or TV shows.
All trademarks and copyrights belong to their respective owners.",2025-09-24T07:00:00Z,2025-09-25T04:29:57Z
al,Albania,Reference,6006,4,1664437810,PlantAI: Identifier & Diagnose,Glority Global Group Ltd.,https://apps.apple.com/al/app/plantai-identifier-diagnose/id1664437810?uo=4,0.0,5,1,Reference,"PlantAI is the most up-to-date AI plant care assistant using cutting-edge technology. The app helps you to get answers to your plant-related queries directly, but the usage isn't limited to that. You can identify any unknown plant species, diagnose your plant, and get professional plant care guides.

With PlantAI, you will be able to satisfy your plant curiosity anywhere anytime within seconds. You will get detailed plant information like its name, characteristics, and toxicity. Moreover, this app offers you hands-on planting and growing tips like water, fertilize, mist, clean, and repot.

Try the most trending AI plant chatbot to explore a bigger world of plants today!

Key features:
Get instant replies to any plant questions
Plant identification with high accuracy
Auto-diagnose plant health problems and get corresponding solutions
Expert-level plant care tips to help your greenery grow better
Give likes to the conversation 

About Premium
-Subscription Name: Yearly Premium
-Subscription Duration:1 year (7 days trial)
-Subscription Description: Users will get a 1-year Premium which includes unlimited messages, plant identification, and plant diagnosis. 
• Payment will be charged to iTunes Account at confirmation of purchase
• Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period
• The account will be charged for renewal within 24 hours prior to the end of the current period, and identify the cost of the renewal
• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable
• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase

Terms of Use: https://app-service.askmybotanist.com/static/user_agreement.html
Privacy Policy: https://app-service.askmybotanist.com/static/privacy_policy.html

Contact us: mailto: support@askMyBotanist.com
Find out more about PlantAI at: https://www.glority.com/",2023-10-15T07:00:00Z,2025-09-23T18:59:46Z
al,Albania,Reference,6006,5,6720748231,Game Codes for Roblox •,IDENZU LTD,https://apps.apple.com/al/app/game-codes-for-roblox/id6720748231?uo=4,0.0,5,1,Reference,"Game Codes for Roblox • is the best app for finding codes for games on the Roblox platform! Our application offers fresh and verified codes from developers that will give you free items, game resources, boosters and much more. With us you will find only working codes for more than 1000 games! Forget about irrelevant offers - we regularly update the catalog, filtering out inactive codes so that you always have access to the most relevant bonuses. Our application is your faithful assistant in the world of Roblox for easy and quick receipt of game advantages!
Features of app:
- Only the most relevant codes from official developers
- The largest database of more than 1000 supported games!
- Simple convenient search by games and user-friendly interface
- Detailed instructions for activating the code in each game.
- Constant updating of the catalog for inactive codes
Using our application is as simple and convenient as possible. The search system allows you to quickly find codes for your favorite games, and thanks to regular catalog updates, you will always be the first to know about new offers. Each game has detailed instructions with screenshots for convenient and quick activation. No more spending hours searching for working codes on the Internet - everything you need is collected in one place. DISCLAIMER: This is an unofficial application for the Roblox platform, not associated with Roblox Corporation. The Roblox name, the Roblox trademark, as well as all resources related to it belong to Roblox Corporation or their legal owners. All rights reserved in accordance with the brand usage rules available at https://en.help.roblox.com/hc/en-us/articles/115004647846-Roblox-Name-and-Logo-Community-Usage-Guidelines . We do not claim copyright or intellectual property. If you find a violation, please contact us at: support@bytecore.studio, and we will take steps to resolve it immediately. Please note: Some features and code collections are only available via a paid subscription. Free users have limited access to selected content.
Privacy Policy: https://bytecore.studio/privacypolicy
Terms of Use: https://bytecore.studio/terms",2024-10-03T07:00:00Z,2025-09-09T06:07:57Z
al,Albania,Reference,6006,6,6740017050,Translate Ease,GOOD STUDY NETWORK TECHNOLOGY LIMITED,https://apps.apple.com/al/app/translate-ease/id6740017050?uo=4,0.0,4.59999,30,Reference,"In this globalized world, overcoming language barriers has become more important. Our Translate Ease is committed to providing you with accurate and fast translation services, allowing you to easily solve any language translation problems you need, no matter where you are.

Applicable scenarios:
Travel: Whether it is a restaurant menu, traffic signs, or interactions with locals, the translation app can help you quickly understand.
Business: When communicating with multinational companies and customers, the translation app allows you to easily handle emails, documents, and calls in various languages.
Learning: A must-have for partners learning new languages, translate words, phrases, and sentences anytime, anywhere to accelerate the language learning process.
Daily life: Translate shopping tags, recipes, news, etc. to help you better understand content in different languages.

Why choose us?
High accuracy: Using advanced translation algorithms to ensure accurate translation results.
User-friendly: The simple interface design makes it easy for you to get started and quickly find the functions you need.
Fast and efficient translation experience, easily cope with various scenarios such as daily conversations, business emails, travel routes, etc.
Voice translation function allows you to speak the language directly without typing, and the application will instantly recognize and translate, bringing a smoother communication experience.

Let communication without borders, experience seamless global communication. Download the Translate Ease app now and make every communication simple and hassle-free!",2025-01-11T08:00:00Z,2025-09-09T20:40:43Z
al,Albania,Reference,6006,7,6477324318,Now Translate - AI Translator,MEGAMOBI LIMITED,https://apps.apple.com/al/app/now-translate-ai-translator/id6477324318?uo=4,0.0,4,1,Reference,"Now Translator is a powerful translation tool that provides a simple and easy-to-use interface, allowing you to easily translate text, voice, photos and photos.

Powerful AI large language model support, no matter which language you need to translate, Now Translator can provide you with accurate and fast translation services.

With Now Translator, you can enter text or voice, then select the language you need to translate, and the software will immediately present you with the translation results.

In addition, you can also use the photo translation function. By taking a photo of the text, the software will automatically recognize and translate it for you. If you need to translate the text in a large number of photos, you can use the photo translation function to translate the text in the entire photo into the target language at once.

Now Translator supports translation between multiple languages, including English, French, German, Spanish, Thai, Korean, Japanese, and more.

In short, Now Translator is your indispensable helper.",2024-02-05T08:00:00Z,2025-10-24T02:02:41Z
al,Albania,Reference,6006,8,1248172706,Satellite Tracker by Star Walk,Vito Technology Inc.,https://apps.apple.com/al/app/satellite-tracker-by-star-walk/id1248172706?uo=4,0.0,4.85586,111,Reference,"From the developers of famous astronomical app Star Walk, winner of the Apple Design Award 2010, loved by more than 10 million users worldwide.

Ever wanted to observe the International Space Station crossing your sky or find out where human-made satellites are right now? With Satellite Tracker, you can easily find out where satellites can be seen from different locations in the world and get predictions for their passes. 

MAIN FEATURES:

->  Tracking satellites in real-time
->  The most outstanding satellites with core info
->  Satellite flyby timer
->  Pass predictions
->  Hand-picked passes
->  The ability to set any location
->  Fly-with-satellite view
->  Satellite orbit over Earth

HOW TO USE THE APP:

Open Satellite Tracker, tap on the satellite icon in the upper right corner of the screen. You’ll see the Tracking List that contains two tabs: Tracked and All. In the Tracked tab, you can see satellites you’re following right now. It means that the app will always show you these satellites on the 3D Earth orbit and notify you about the closest passes. Add and remove items from this list easily by tapping on the “Track” or “Untrack” button.  

In the All tab, the Main Satellites category goes first. All other satellites are divided according to their missions for easy search:

- Communications
- Weather & Earth Resources
- Scientific
- Navigation
- Miscellaneous
- Space Debris

There is also the Special-Interest category that includes the Last 30 days’ launches, the Space Stations, the Brightest satellites.

*** The ISS is available by default. Other satellites are available when subscribed. The app contains ads which will be removed when subscribed. 

Subscription Information:

With a SATELLITES LIVE optional subscription, you get an instant ad-free access to tracking satellites live orbiting over Earth and in the sky, the timer for the next appearance, and alerts about the nearest flybys.

SATELLITES LIVE is a renewable subscription with 1-week FREE trial that gives you access to content from within the app on an ongoing basis. Payment will be charged to your iTunes account. At the end of each subscription duration (1 month), the subscription will automatically renew until you choose to cancel it and your account will be charged for renewal 24 hours prior to the end of the current period. Users can manage their subscriptions in their account settings on the App Store.

Privacy policy: http://vitotechnology.com/privacy-policy.html
Terms of use: http://vitotechnology.com/terms-of-use.html

Never miss satellites passing by in the sky with Satellite Tracker!",2017-09-28T06:00:56Z,2025-06-22T19:58:59Z
al,Albania,Reference,6006,9,6740403566,Deen Buddy - Quran Chat,ZAMZAM TECHNOLOGIES LLC,https://apps.apple.com/al/app/deen-buddy-quran-chat/id6740403566?uo=4,0.0,4.95205,146,Reference,"Deen Buddy – AI Quran, Daily Verses & Prayer

Deen Buddy is your AI-powered Islamic companion. Get instant answers to Quranic questions, receive daily inspirational verses, and stay on track with accurate prayer time notifications.*

AI Quran Chat
• Ask any Quran-related question and get AI-powered answers.
• Understand meanings, tafsir, and historical context easily.
• Personalized responses based on authentic sources.

Daily Quran Verses
• Receive daily inspirational Quranic verses.
• Bookmark and share your favorite ayahs effortlessly.
• Enhance your understanding of the Quran one verse at a time.

Prayer Time Notifications
• Accurate prayer time alerts based on your location.
• Customizable Athan notifications so you never miss a Salah.
• Supports multiple calculation methods for accuracy.

Why Choose Deen Buddy?
• AI-powered Quran chat for instant insights.
• Daily Quran verses to keep you inspired.
• Prayer time alerts for timely worship.
• Minimalist and distraction-free experience.

Download Deen Buddy now and strengthen your connection with the Quran.

**Access to Deen Buddy requires a paid subscription**

Terms of Service
https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2025-02-02T08:00:00Z,2025-10-15T16:03:22Z
al,Albania,Reference,6006,10,282935706,Bible,Life.Church,https://apps.apple.com/al/app/bible/id282935706?uo=4,0.0,4.91361,3056,Reference,"Get God’s Word for free on your devices with the Bible App by YouVersion. Connect with God through Scripture by reading, listening, Plans, Daily Refresh, Verse of the Day, and so much more!

Choose from 1,750+ languages and 2,500+ Bible versions. Make it your Bible by adding Friends, choosing Plans, creating Verse Images, highlighting, and making notes.

Bring your friends with you and explore the Bible together. Have honest conversations about Scripture. Grow together and share what you discover.

People are reading, listening to, watching, and sharing the free Bible App by YouVersion on over 500 million devices worldwide. Join the global Community today! Download the Bible App.


EXPLORE GOD’S WORD
* Choose from thousands of Bible versions in over 1,750 languages
* Pick from over 60 languages for your Bible App interface
* Download select Bible versions to access when you’re offline
* Listen to select Bible versions and enjoy skip, playback speed, and timer controls.
* Learn more about the Verse of the Day in Guided Scripture with an engaging video and personal reflection questions
* Tap through Scripture and prayer prompts in Guided Prayer, or write your own prayers using the Prayer feature
* Choose from thousands of Plans that focus on specific topics, portions of Scripture, or the entire Bible in a year
* Watch videos from Christian organizations such as Bible Project and The Chosen
* Search for what the Bible says about any topic you’re wondering about
* Tap on a verse to see your Notes and related content such as videos, Plans, and study notes

MAKE IT YOUR BIBLE
* Themes let you select a color palette for your entire Bible App experience
* Create and download Verse Images for any verse you’d like—it’s shareable art
* Highlight with custom colors and create notes
* Bookmark passages to share, memorize, and keep at the front of your mind
* Share verses with friends using social media, email, or text
* Add notes on any verse—make them private or let your Friends see them
* Access your account from any supported device
* Adjust lighting, font, font size, and line spacing for easy reading

BRING YOUR FRIENDS ALONG
* Center your friendships around Scripture by adding your Friends to the Bible App
* See an activity feed that shows what you and your Friends are noting, bookmarking, and highlighting
* Comment on the Verse of the Day with your Friends—ask questions and share how God is speaking to you
* Write your own prayers and share them with your Friends to pray together
* Do Plans together and discuss what you’re learning

CONNECT WITH YOUVERSION
* Contact Support from inside the Bible App
* Join the @youversion Community on Instagram, Facebook, Twitter, TikTok & Pinterest
* Catch up on the latest at blog.youversion.com
* Access the Bible online at bible.com

Download the world’s #1 Bible App and enjoy the Bible experience loved by millions!",2019-02-12T08:00:00Z,2025-11-19T16:02:20Z
