country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
in,India,Travel,6003,1,1198464606,"Rapido: Bike-Taxi, Auto & Cabs",Roppen Transportation Services Private Limited,https://apps.apple.com/in/app/rapido-bike-taxi-auto-cabs/id1198464606?uo=4,0.0,4.8307,2103451,Travel,"Try Rapido (रैपिडो), India’s first and largest Bike-Taxi Service. Our bike rides help you cut through traffic, reach on time, and save money. We also have autos and cabs for you. With Rapido, you get a low-price, comfortable and quick auto, bike and cab ride every single time. 

With a presence in 500+ cities and over 75+ million customers have done billions of rides on  Rapido Bike Taxi, Auto & Cabs,. The app has over 75+ million happy customers who prefer Rapido Autos, Bike and Cab rides for intra-city and last-mile commutes. We have a fleet of over 1 million Captains (Bike-Taxi riders, Auto and Cab drivers), with rides available in Metros, Tier-1, Tier-2, and Tier-3 cities, soon launching in other parts of the country too. Since its inception, Rapido has stood by its promise of giving low-price, comfortable and quick auto, bike and cab rides to all its users.

Whether it’s a hectic Monday morning or a relaxed weekend outing, Rapido offers affordable and quick auto, bike, and cab rides. Even during peak traffic, Rapido’s seamless doorstep pick-ups ensure that you reach your destination quick and easily. Apart from being low-priced, you also get exciting offers on auto, bike, and cab rides on Rapido. So, the next time you’re stepping out, get a quick bike ride with Rapido and leave the traffic behind. If a couple of you are stepping out, book a comfortable and affordable Rapido auto or a Rapido cab.
No more waiting and adjusting to shared rides and crowded buses! Whether you’re going to or from the metro, choose a Rapido auto or bike ride to travel comfortably and quickly. 

Download the Rapido App and get Auto, Bike or Cab ride in 5 min at  unbeatable  prices.

We prioritise your safety!
Every Rapido auto, bike or cab ride is insured with Acko Insurance without any extra cost. We ensure our captains abide by all traffic rules during an auto, a bike or a cab ride. Our Bike-Taxis also prioritise every pillion rider’s safety by providing a helmet for each bike ride. Rapido offers you an affordable, quick, and comfortable auto, bike or cab ride by taking care of all the safety concerns.

Easy to Use Rapido App
The Rapido app offers a simplified approach to booking an auto, a bike or a cab ride. Now, you don’t have to worry about remembering a different OTP for every single ride. You get a unique PIN that remains the same every time you book an auto, a bike or a cab ride!

Vernacular app – Available in English, Hindi, Tamil, Telugu, and Kannada.
One-click login – Seamless registration and onboarding.
Favourites – Save frequently visited locations for easier access.
Live tracking – Follow the real-time location of the ride.

Cashless and Safe Payment Methods
Whether you’re taking an auto, a bike ride or a cab ride, Rapido encourages you to go digital. It provides cashless payment options such as PayTM, UPI, and Rapido Wallet.",2017-02-10T14:33:43Z,2025-11-19T10:08:01Z
in,India,Travel,6003,2,6738965857,Where is My Train - by Google,Google LLC,https://apps.apple.com/in/app/where-is-my-train-by-google/id6738965857?uo=4,0.0,4.55837,1028,Travel,"Where is My Train - by Google

Track trains. Stay connected with friends & family. No ads.
Get accurate, real-time train status for Indian Railways and share your train’s live location with friends and family.

Fast. Lightweight. Built for India.
Works offline to save battery and data.
Access full timetables and live status without internet.
Small app size, big features.

Smart search that just works
Find trains by name, number, or route - even with typos.
Get helpful suggestions to plan your journey better.

Disclaimer: Privately maintained; not affiliated with Indian Railways.",2025-06-16T07:00:00Z,2025-11-12T09:47:43Z
in,India,Travel,6003,3,368677368,Uber - Request a ride,"Uber Technologies, Inc.",https://apps.apple.com/in/app/uber-request-a-ride/id368677368?uo=4,0.0,4.80853,2331582,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable, whether you're requesting a taxi for a trip or arranging a train journey.

Pick from a wide range of travel options that the Uber app has to offer including:
UberX: Affordable, everyday rides
Lux: Luxury cars with top-rated drivers for premium travel experiences
Electric: Sustainable rides in electric vehicles for eco-friendly trips
UberXL: Rides for groups up to 6, perfect for family trips
Comfort: Newer cars with extra legroom to enhance your travel
Uber Pet: Ride with your pet
Reserve: Choose your exact pickup time up to 90 days in advance for planned trips
Exec: High-end cars with top-rated drivers, ideal for business travel
2-wheels: You can also bike or ride a scooter with the Uber app. Find a scooter to start riding today for quick trips
Assist: Special assistance from trained drivers for accessible travel
Access: Wheelchair accessible vehicles ensuring inclusivity in travel
Black Cab: travel with the iconic London taxi

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival, whether it's a taxi ride or train. 

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable in their travel and on trips.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride.

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from £0 Delivery Fee and up to 5% off eligible delivery and pickup orders, 5-10% off eligible rides, and £5 credit if our Latest Arrival Estimate on your order is off. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. Extra wait time included to meet your ride. Cancel at no charge up to 60 minutes in advance.

TRAVEL
Get train, coach, and flight ticketing right on the Uber app. Get 10% back in Uber Credits and collect Avios when you book train, coach, and Eurostar trips. No booking fee. Make any flight flexible and refundable and avoid flight travel stress with flight disruption protection.

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

RENT CARS
Whether you need a car today or later, the online booking experience will help you find the right vehicle for a family vacation, a weekend getaway, airport travel, and more. Get great prices & selection from the best rental companies.

MORE FEATURES
Delivery: Order food from your favourite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience, and pet supplies, and get them all delivered.
Uber Boat: Get fast, reliable river boat services in London. For commuters and visitors. Routes run from 24 piers across the capital.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.

Uber is available in the following cities: London, Manchester, Leeds, Glasgow, and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed.",2010-05-21T03:11:23Z,2025-11-17T14:30:34Z
in,India,Travel,6003,4,539179365,"Ola: Book Cab, Auto, Bike Taxi",ANI Technologies Pvt. Ltd.,https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365?uo=4,0.0,4.58955,1771690,Travel,"Get a fast & affordable taxi ride with the Ola app, that too with just a few taps on your phone! From Ola Bike Taxis to Ola Autos to Ola Outstation rides, get it all on the Ola Cabs app. With vehicles in more than 200 cities across India including Bangalore, Chennai, Delhi, Mumbai, Hyderabad, Kolkata, and Pune, Ola Cabs is the most popular ride-hailing service in the entire country. The Ola app does more than just book rides. Not only can you send parcels within city limits with Ola Parcel, you can also get your favourite meal delivered to you! So what are you waiting for? Download the Ola app, complete our quick sign-up process and make your first taxi booking!
You can choose from our multiple travel options based on your convenience: Ola Bike Taxi, Ola Auto, Ola Mini, Ola Prime Sedan, Ola Prime Plus, Ola Outstation, Ola Rentals and many more. All Ola Cabs come equipped with onboard GPS for route navigation. 

Services available on the Ola Cabs app:
• Ola Bike Taxi
In a hurry or on a budget? Zip through traffic in an affordable Ola Bike Taxi. 
• Ola Auto
Tired of haggling and waiting for Autos? Make an Ola Auto booking now and get a ride at your doorstep.
• Ola Mini
From quick chores to long trips on the road, Ola Mini is the comfy and economical option you’re looking for!
• Ola Prime Sedan
Looking for a spacious ride and best-in-class experience? Relax in an Ola Prime Sedan! 
• Ola Prime Plus 
Ride in utmost comfort with Ola Prime Plus. Enjoy sedans, top driver-partners, the fastest allotment and no cancellation worries. 
• Ola Prime SUV
Supersized rides when you need more seats & comfort. Extra legroom and boot space for everyone.
• Ola Rentals
Perfect for those who want to rent a cab for a few hours. Got a day full of chores? Make multiple stops with Ola Rentals.
• Ola Outstation
Looking for an intercity cab? Why drive? Our Outstation taxis will get you to your destination comfortably.
• Ola Parcel
Need to send or receive packages within city limits? No need for a separate parcel delivery app. Book an Ola Parcel and get the job done at the lowest price.
• Food Delivery
Are you a foodie at heart? Get your favourite meals delivered home through the Ola app! Say hello to unlimited choices, affordable prices!

How to make a taxi booking on the Ola app:
• Set your pickup location (E.g. Home, Office, etc.)
• Enter your destination
• Choose from multiple payment options including Cash, Ola Money Wallet, PhonePe Wallet, Amazon Pay Wallet, UPI, Credit/Debit Card
• Book the ride option that suits you best
• Track your ride in real time

More benefits of taxi bookings with Ola Cabs:
• Secure OTP: Stay safe from the start with a secure one-time password for every cab ride.
• Schedule a ride: Choose ‘Schedule Ride’ to book a cab ride in advance from anywhere.
• SOS Safety Feature: Ola provides an Emergency call option immediately after the ride is confirmed. You can press the emergency button and get connected to the Safety Response team instantly.
• Emergency Contacts: You can add up to 5 emergency contacts & share the ride tracking link and driver details with them via SMS.
• Comfortable Corporate rides: Make business travel safer and simpler by tagging your work-related trips as Ola Corporate cab rides.

Got questions about the Ola app? Visit the Ola Cabs support website (https://help.olacabs.com/support/home) for more information or write to us at support@olacabs.com.

Stay up-to-date on all our exciting offers and latest happenings by connecting with us online.
• Follow us on Twitter - twitter.com/Olacabs
• Like our Facebook page - facebook.com/Olacabs
• Follow us on Instagram - instagram.com/olacabs",2012-07-11T17:23:37Z,2025-11-16T08:35:40Z
in,India,Travel,6003,5,1109398410,Porter - Logistics Service App,Resfeber Labs Private Limited,https://apps.apple.com/in/app/porter-logistics-service-app/id1109398410?uo=4,0.0,4.87204,278027,Travel,"Porter is a leading Goods Transport Service Provider offering a wide range of intra-city and inter-city logistics solutions. With Porter, you can deliver goods at the earliest and most convenient way possible. With its vast operations in 22 Indian cities, including cities like Mumbai, Delhi, Bangalore, Hyderabad, Chennai, Ahmedabad, Pune, Surat, Jaipur and Kolkata, Porter makes transportation of goods easy. 

Looking for on-demand goods transportation services for business or personal needs? Transport your goods and consignments via a mini-truck, tempo or two-wheeler.

Reliable moving of your goods is now just a click away. Download Porter now!

In its 10 years of operation, Porter has transformed logistics, handling everything from small items (e.g., a pin) to large moves (e.g., relocating a penthouse). Key offerings include:

- On-Demand Intra-city Goods Transportation Services via Trucks and Two-Wheelers : From bulky goods to small packages, our on-demand vehicles offer seamless, cost-effective, and reliable transport solutions. Choose from mini trucks, tempos, EVs, and two-wheelers to transport goods effortlessly across the city—anytime, anywhere.

- Porter Enterprise: A complete logistics partner for businesses, offering smart solutions for bulk transportation, distribution, and supply chain management.

- Porter Packers & Movers: Professional packing and moving services designed for hassle-free relocation of homes.

- Porter Intercity Courier Services: Reliable and timely parcel delivery via (surface or air) to 19000+ pin codes, catering to both individuals and businesses with a focus on speed and security

If reliability and ease aren't enough, here are several more reasons to choose Porter’s comprehensive services:

- Effortless and Reliable Logistics Solutions: Seamlessly manage all your transportation needs with Porter’s trusted services.
- Extensive Fleet of Options: Choose from a wide range of vehicles, tailored for both personal and business logistics.
- Diverse Vehicle Selection: From two-wheelers to trucks, we have the perfect vehicle for every requirement.
- Transparent Pricing: Know exactly what you're paying for with clear & upfront costs.
- Dedicated Customer Support: Our friendly and responsive team is always here to assist, ensuring a smooth experience from start to finish.
- Expansive City Coverage: Through the Porter Courier Services (via surface or air), we provide reliable and timely parcel delivery to 19000+ pin codes, catering to both individuals and businesses with a focus on speed and security

Choose Porter for a smarter, hassle-free logistics experience!

Easy, trustworthy and reliable Porter is now just a click away. 

- Download the Porter app
- Sign in with your credentials
- Select the service you need
- Enter your pickup and drop-off locations
- Add multiple stops, if necessary
- Book your service and let Porter transport your goods!

Porter makes logistics simple, with efficient and reliable deliveries, transparent pricing, and a seamless experience, every time. Delivery Hai? Ho Jayega.

Download Porter now!",2016-05-04T20:02:05Z,2025-11-19T15:23:45Z
in,India,Travel,6003,6,6449488412,Rajmargyatra,National Highways Authority of India,https://apps.apple.com/in/app/rajmargyatra/id6449488412?uo=4,0.0,2.5309,356,Travel,"Welcome to Rajmargyatra, the official, all-in-one app from the National Highways Authority of India (NHAI). Drive smarter with a unified platform that puts essential highway services right at your fingertips.
Introducing the National Highway Annual Pass! For a one-time fee of ₹3000, get 200 toll-free crossings on National Highways and National Expressways, valid for one year. Purchase, track your usage, and manage your pass directly in NHAI’s official app.
Key Features:
- Annual Pass Management: Your complete portal to buy, view, and renew the Annual Pass. Track your remaining toll trips and validity with a clean, simple dashboard. Find out all Eligible Toll Plazas from NHAI’s official app.
- Report & Track Issues: Lodge and track complaints about road conditions, toll operations, or facilities.
- Available in Your Language: Use the app in English, Hindi, and over 13 other regional languages for a truly native and comfortable experience.
- FASTag & Toll Services: Check your FASTag status, recharge your wallet, and manage your Monthly Pass all in one place.
- Know Your Highway: Access detailed information for any National Highway toll plaza, including rates, operator details, and amenities.
- Revamped Route Planner (EnRoute): Plan your journey and see all tolls on your route—including National, State, and private plazas. Get precise cost estimates and instantly see how much you save with the Annual Pass.
- 24x7 Emergency Support: Get immediate assistance by calling the 1033 National Highway Helpline directly from the app.

Rajmargyatra is an official initiative by NHAI & IHMCL, designed to be your most trusted partner on the road. Download now for a safer, more efficient, and inclusive highway experience.",2023-06-01T07:00:00Z,2025-10-28T03:22:57Z
in,India,Travel,6003,7,1386197253,IRCTC Rail Connect,Indian Railway Catering and Tourism Corporation Limited,https://apps.apple.com/in/app/irctc-rail-connect/id1386197253?uo=4,0.0,3.85917,70495,Travel,"OFFICIAL iOS MOBILE APP by IRCTC (Indian Railway Catering And Tourism Corporation Limited)

IRCTC Train ticketing now made simpler just by SWIPE and SHUFFLE, SELECT and BOOK. Install and preview the ""IRCTC RAIL CONNECT"" iOS app and book a railway ticket anywhere in India at your fingertips.

Preview the latest features in addition to existing train ticketing services:
:: New users register and activate from App directly.
:: Advanced security features of self-assigned PIN to login without entering username and password on each login.
:: Dashboard with Integrated Menu Bar
:: Seamless Account & Transaction Management
:: Enquire without login for trains, routes and seat availability.
:: Train Search, Train Route and Train Seat Availability Enquiries.
:: Any PNR Enquiry facility to check the PNR reservation status.
:: Check PNR Confirmation Chances Probability before and after booking train tickets for waitlisted availability/tickets.
:: Supports Ladies, Tatkal, Premium Tatkal, Divyangjan and Lower Berth/Sr. Citizen in addition to General Quota train tickets.
:: Accredited Press Correspondents & Divyangjan passengers can book Train Tickets at concessional rates through Photo Identity Card issued by Indian Railways.
:: Current reservation train tickets booking facility.
:: Recover your forgotten user Id through Forgot User Id facility.
:: Integrated with IRCTC e-wallet for faster and hassle free transactions.
:: Boarding point change facility.
:: Syncing of IRCTC's Official Web Site (www.irctc.co.in)  and IRCTC Rail Connect Mobile App tickets. Now users can view or cancel train e-tickets booked through official website or IRCTC Rail Connect mobile app and vice-versa.
:: Users can view status of train e-tickets booked through our authorized Online Travel Agents (OTA).
:: Book train tickets through Various Payment Modes like BHIM/UPI, e-Wallets, Net banking, Credit and Debit cards.
:: Vikalp scheme which provides an option to avail confirmed berth / seat in alternate train to the wait listed passengers.
:: Last Transaction Details to know the status of last transaction of current day as soon as user logs in.
:: Aadhaar Linking facility through mobile app to avail up to 12 train tickets booking in a month.

Give early feedback: Let us know what you think and help improvements in IRCTC Rail Connect iOS App.

Enjoy the never before experience of online train ticketing with all new IRCTC Rail Connect Mobile App on iOS.

Registered Office / Corporate Office:
Indian Railway Catering and Tourism Corporation Ltd.,
4th Floor, Tower-D, World Trade Centre,
Nauroji Nagar, New Delhi-110029",2019-10-10T07:00:00Z,2025-11-17T15:14:21Z
in,India,Travel,6003,8,6479873321,Digi Yatra,Digiyatra Foundation,https://apps.apple.com/in/app/digi-yatra/id6479873321?uo=4,0.0,4.39473,7471,Travel,"Introducing Digi Yatra 4.0
Where we strive to provide you with an exceptional digital travel experience. In this latest update, we've listened to your feedback and made significant improvements to ensure our app meets your expectations. 
We genuinely appreciate your support and value your feedback. If you encounter any issues or have suggestions for future updates, please don't hesitate to contact our dedicated support team. Together, we'll continue to shape Digi Yatra into the ultimate companion for your digital travel needs.
Thank you for choosing Digi Yatra and being a part of our journey towards excellence!",2024-03-26T07:00:00Z,2025-11-10T06:09:48Z
in,India,Travel,6003,9,530488359,"MakeMyTrip Flight, Hotel, Bus",MakeMyTrip India Pvt. Ltd.,https://apps.apple.com/in/app/makemytrip-flight-hotel-bus/id530488359?uo=4,0.0,4.76699,1536443,Travel,"Your super travel app to fulfil all your travel needs and requirements!

The MakeMyTrip travel booking app caters to world travellers and is the perfect place to book hotels, flight tickets, buses, hourly rooms, cabs, train tickets, visa, etc. Download the travel app and be ready to enhance your holiday experience.",2012-07-09T19:03:23Z,2025-11-21T15:32:56Z
in,India,Travel,6003,10,733712604,"redBus: Bus, Train Booking App",PILANI SOFT LABS PRIVATE LIMITED,https://apps.apple.com/in/app/redbus-bus-train-booking-app/id733712604?uo=4,0.0,4.68276,391776,Travel,"redBus is the go-to app for booking online bus tickets, ferry, shuttle, train, and activity packages. Over 36 million users trust us, 400k+ routes worldwide and 3500+ bus operators; we've got you covered no matter where you're going.


Official travel app for booking:

● Bus tickets in India, Indonesia, Vietnam, Cambodia, Peru, Colombia, Malaysia and Singapore
● Ferry tickets and activity packages in Malaysia and Singapore
● Shuttle tickets in Indonesia and limousines in Vietnam
● And IRCTC Authorized Partner App for booking train tickets in India


Benefits of booking online bus tickets with redBus:

● Seat of Your Choice
● Deep Cleaned Buses
● 4.6 Rating (Top-rated)
● Lightening Fast Refund
● Live Bus Location Tracking
● Safe and Secure Payments
● 200k+ Seats Booked Everyday
● 24/7 Hassle-free Customer Support
● FlexiTicket - Reschedule Bus for Free
● Offers Sleeper, Seater, Semi-Sleeper, AC Volvo, Non-AC Intercity Buses
● Multiple Payment Options: Card, UPI, PagoEfectivo (Peru), PSE (Colombia) & more
● Primo Certified Buses: Specially curated high-rated buses with best-in-class experience, i.e. 4+ Rated Buses, Friendly Staff, & On-time!

You can buy a bus ticket with redBus and save money compared to buying at a ticket counter or terminal. In addition, you can enjoy various savings such as redDeal discounts, promo codes, and more.


Steps to Book Bus Tickets on redBus App:

● Enter source, destination, and travel date
● Choose from the available bus services
● Use any of the filters like bus types (Volvo AC Bus / Sleeper / Semi-sleeper), prices, ratings, etc., to find the best bus
● Select a seat of your choice
● Select boarding and dropping points
● Add passenger details and proceed to pay
● Complete payment, & voila! You have successfully booked your bus ticket 
● Get booking confirmation via email/text


In India, redBus is the official partner and has the largest bus listing of APSRTC live track Garuda Buses, Indra Volvo buses of TSRTC, Parivahan buses of Himachal roadways (HRTC), UPSRTC Janrat Shatabdi buses, GSRTC Gurjarnagari buses, Kerala RTC (KSRTC), PRTC, RSRTC buses and popular private buses of Chalo Bus, Flixbus, Zingbus, VRL Travels, NueGo, Chartered Bus, Orange Travels, Apni Bus, Laxmi Holidays, Jabbar Travels, IntrCity SmartBus, SRS Travels for booking seater, semi-sleeper, sleeper, and Volvo AC bus tickets across all available routes i.e. Bangalore to Chennai, Hyderabad to Bangalore, Chennai to Coimbatore, Delhi to Manali, Indore to Bhopal, Delhi to Jaipur Bus and many more.

And for our international travellers, we've also covered you with popular routes. For example, in South East Asia, some popular routes are Singapore to Kuala Lumpur, Kuala Lumpur to Singapore, Singapore to Malacca, Singapore to Ipoh, Kuala Lumpur to Ipoh, Bandung to Bekasi, and Surabaya to Jakarta.
And finally, in Latin America, common routes include Lima to Trujillo, Lima to Chiclayo, Bogota to Medellin, Bogota to Cali, Bogota to Santa Marta, and Bogota to Villavicencio.

We're proud to partner with some of the most popular bus operators in Southeast Asia and Latin America. Our partners in Malaysia and Singapore are Sani Express, Transnational, StarMart, Mayang Sari and more. In Indonesia, we have Daytrans, Baraya, Sinar Jaya, Pasteur Trans, Jackal Holidays, Bhinekka, Cititrans, Damri, and many more.

At redBus, we also make booking ferry tickets easy across Southeast Asia. Tickets for popular routes like Mersing to Tioman and Tanjung Gemok to Tioman are just a click away. With operators like Sindo Ferry, Seven Seas, and Bluewater Ferry, you're sure to find the perfect ride.

Moreover, with our bus pass, you can get a 20% discount on every ride. And if you need to cancel your journey, we offer a full refund guarantee. You can easily download your past bookings and reschedule straight from the app.

Common misspells: red bus, rebus, redbud, redbuss, red bas

We are excited to hear from you. For any queries or concerns, please reach us.",2013-11-04T01:41:07Z,2025-11-23T12:19:27Z
