country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
kz,Kazakhstan,Utilities,6002,1,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/kz/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.76821,83132,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2019-02-12T08:00:00Z,2025-11-24T00:05:53Z
kz,Kazakhstan,Utilities,6002,2,6504287215,Happ - Proxy Utility,Flyfrog LLC,https://apps.apple.com/kz/app/happ-proxy-utility/id6504287215?uo=4,0.0,4.65625,32,Utilities,"Important Notice
Happ does not sell or provide VPN services. Beware of scammers claiming to offer “official Happ VPNs” — they are not affiliated with us. Users must set up their own servers and follow local laws when using the app.

Happ is a mobile app that makes using proxy and vpn servers easy, offering a user-friendly interface and useful features.

Main functionalities include:

Configuration of proxies based on rules.
Support for multiple protocol types.
Hidden subscriptions.
Encrypted subscriptions.

Protocols supported are:

VLESS(Reality)
VMess
Trojan
Shadowsocks
Socks

Happ ensures your network activity remains private by not collecting any data; your information remains solely on your device without being sent to external servers.

It's important to highlight that Happ does not provide VPN services for purchase. Users are responsible for acquiring or setting up their own servers. Users should also comply with applicable laws in their jurisdiction when utilizing the app.",2024-06-18T07:00:00Z,2025-11-17T19:01:08Z
kz,Kazakhstan,Utilities,6002,3,1050704155,Яндекс — с Алисой,DIRECT CURSUS COMPUTER SYSTEMS TRADING LLC,https://apps.apple.com/kz/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D1%81-%D0%B0%D0%BB%D0%B8%D1%81%D0%BE%D0%B9/id1050704155?uo=4,0.0,4.73884,59086,Utilities,"Поиск с Алисой. Ищите в Яндексе так, как вам удобно: текстом, голосом, или по картинке. На сложные вопросы Алиса даст подробные ответы с картинками и видео. А если вы размышляете о покупке — покажет товары, которые рекомендуют в обзорах и посоветует, на какие параметры обратить внимание при выборе. Также приложение подскажет, кто звонит с незнакомого номера, поможет выбрать выгодный вклад, разобраться в сложных вопросах и решить другие повседневные задачи.

Алиса — ещё и нейросеть для самых разных задач. Заглядывайте в чат и спросите Алису — она ответит. Дайте задачу — порассуждает, рассмотрит её со всех сторон и объяснит решение. Попросите — нарисует картинку или сгенерирует текст. Киньте в чат файл — изучит его за вас и ответит на вопросы по содержанию. Всё это бесплатно, нужно только войти в аккаунт на Яндексе.

Умная камера. Наведите на уравнение или математическую задачу — и камера объяснит, как их решать. А ещё она распознаёт предметы, рассказывает о них и советует, где купить; переводит надписи, открывает QR-коды и даже заменяет собой сканер.

Бесплатный автоматический определитель номера. Включите АОН в меню настроек или попросите: «Алиса, включи определитель номера». Он покажет, кто звонит, даже если номера нет в контактах. База данных из более чем 5 миллионов организаций и отзывы пользователей сэкономят время и защитят от нежелательных разговоров.

Поисковые вертикали: Квартиры, Товары и Финансы. Вертикаль — это специализированный поиск, который помогает найти и сравнить разные предложения по конкретной теме и выбрать самое выгодное или подходящее. С удобными фильтрами можно подобрать выгодный вклад, нужный товар и даже квартиру. Для этого не придётся изучать разные сайты — Поиск покажет предложения из разных источников.

Погода с точностью до района. Подробный почасовой прогноз на текущий день с динамической картой осадков, ветров, температуры и давления. И ежедневный — на неделю вперёд с детальной информацией о скорости ветра, атмосферном давлении и уровне влажности. А ещё — специальные режимы с полезной погодной информацией для рыбаков, садоводов и не только.

Приложение доступно для iPhone и iPad.

Загружая программу, Вы принимаете условия Лицензионного соглашения https://yandex.ru/legal/yaalice_mobile_agreement/ru/",2015-11-25T15:21:36Z,2025-11-20T13:07:37Z
kz,Kazakhstan,Utilities,6002,4,6736641897,VPN Lite - FREE VPN Fast ®,AITIMING TECH PTE. LTD.,https://apps.apple.com/kz/app/vpn-lite-free-vpn-fast/id6736641897?uo=4,0.0,4.81074,3144,Utilities,"Gyrfalcon VPN Lite: Glide Through the Digital World

Just like the majestic gyrfalcon,Gyrfalcon VPN Lite offers you the ability to navigate the online realm with ease and security.

Lightweight and Efficient
Designed for those who value simplicity and speed, the Lite version offers a streamlined experience without compromising on performance.

Robust Security
Enjoy the same level of cutting-edge encryption as our full version, ensuring your online activities remain private and secure.

Swift Connections
Experience fast and reliable connections with optimized servers, perfect for browsing, streaming, and more.

Easy to Use
With a user-friendly interface, Gyrfalcon VPN Lite makes it simple to connect and protect your online presence.

Join the Flight
Download Gyrfalcon VPN Lite today and enjoy a secure, fast, and lightweight VPN experience.

Terms of Service: https://www.aitiming.net/about/v_term
Privacy Policy: https://www.aitiming.net/about/v_privacy",2024-10-24T07:00:00Z,2025-10-11T00:02:40Z
kz,Kazakhstan,Utilities,6002,5,6745224670,Qazaqgaz Aimaq,Ruslan Galiamov,https://apps.apple.com/kz/app/qazaqgaz-aimaq/id6745224670?uo=4,0.0,1.90385,52,Utilities,"Наши приоритеты – повышение доступности, надежности и качества газоснабжения потребителей РК. Наилучшего сочетания качества, сроков и стоимости услуг мы достигаем за счет профессионального выполнения работ и исключительного внимания к потребителю.
Видение Компании: «АО «QAZAQGAZ AIMAQ» с мощным кадровым потенциалом, с высокой материально-технической базой, обеспеченный современными инновационными и информационными технологиями, а так же являясь ведущей Компанией по оказанию услуг в сфере газоснабжения Казахстана, будет в дальнейшем гарантом по обеспечению надежности поставки и транспортировки природного газа, высокого качества услуг газоснабжения, роста эффективности деятельности и использования научно-технического потенциала.",2025-05-12T07:00:00Z,2025-07-15T17:34:04Z
kz,Kazakhstan,Utilities,6002,6,1010631459,Getcontact,GETVERIFY LDA,https://apps.apple.com/kz/app/getcontact/id1010631459?uo=4,0.0,4.76673,81548,Utilities,"We're taking action to put a global stop to unauthorized calls. Every year, we block at least three billion unauthorized calls or fraud attempts. Your feedback allows us to offer more effective protection to you and millions of other Getcontact users. We will happily continue to improve our services with your support.

Explore Getcontact's Key Features
 
CALLER ID and SPAM PROTECTION:
Know who the caller is even if they are not saved in your contacts. Block unwanted calls and ensure that only the people you choose can contact you. Get instant protection from robocalls and scams with the SPAM filter.

SMS spam filtering automatically blocks spam messages so that you only receive important and relevant messages. This way, you only see the messages you really need on your phone and avoid annoying spam SMS.
 
VOICE ASSISTANT:
When you are unable to answer calls from unwanted numbers, busy or unreachable, forward the calls to your personal assistant. Your assistant will answer these calls and send you notifications about the caller ID and the reason for the call. *The assistant feature is currently only available in select countries.
 
CHATS:
Communicate safely with free, encrypted chats. Have one-to-one or group chats and make voice or video calls with anyone you want.

SECOND NUMBER:
Second phone number service allows you to have a second mobile number that is not associated with your main number without the need for an additional SIM card. Choose your preferred number and start using it right away.
 
Download the Getcontact app now to discover more.

You can subscribe to paid plans in order to use Getcontact’s enhanced features. The payment is charged to your iTunes account, and prices vary by country. You will be able to see the total amount before you complete the payment. In-app purchases will renew depending on your plan. To prevent renewal, you must turn off auto-renewal at least 24 hours before your subscription expires. You can turn off auto-renewal at any time in your iTunes account settings. To access the settings, please go to: https://support.apple.com/en-us/HT202039



Our community and news from us:
- Facebook: https://facebook.com/getcontactapp
- Instagram: https://instagram.com/getcontact
- LinkedIn: https://linkedin.com/company/getcontact
- Twitter: https://twitter.com/getcontact
 
We deeply value your feedback. To report a problem or contact us:
- Feedback: support@getcontact.com
- Support: https://getcontact.faq.desk360.com
 
For more information on Privacy and Terms of Service:
Privacy Policy: https://getcontact.com/privacy
Terms of Service: https://getcontact.com/terms",2016-04-06T07:24:46Z,2025-11-04T06:36:02Z
kz,Kazakhstan,Utilities,6002,7,1555717034,Altel.kz,Mobile Telecom-Service TOO,https://apps.apple.com/kz/app/altel-kz/id1555717034?uo=4,0.0,4.77224,52976,Utilities,"Қазақстандағы тұңғыш байланыс операторының қосымшасы.

- Тарифіңізді оңай қолданыңыз: оны құрастырғышта өзіңізге ыңғайлы етіп реттеп алып, қажет қызметтер мен ресурстарды қосыңыз
- Бала кезде беріліп ойнайтын Asyq ойынының жаңа нұсқасын ойнап, гигабайт алып отырыңыз
- Қазақ тілінде жаңа сөздер үйреніңіз
- Qazyna бөліміне кіріп тұрып, бонус пен жеңілдік алып отырыңыз
- Теңгеріміз бен ресуртарыңызды қосымшаның басты бетінде қадағалаңыз
- Теңгерімнен төлем жасап, қаржыңызды басқарыңыз
- Тиімді роуминг пакеттерімен өзіңізді барлық жерде еркін сезініңіз
- Жаяу жүргеніңіз үшін «Алға» қызметінде айына 30 ГБ дейін алып отырыңыз. Қадамыңызды санау үшін «Денсаулық» қосымшасын пайдалануға рұқсатыңыз керек болады

Роутерлер

- 4G/5G роутерлерін бөліп төлеу мүмкіндігімен үйге жеткізіп алуға тапсырыс беріңіз
- Ресурстарыңыз бен тарифіңізді қадағалаңыз
- Роутер ресурстарын бөлісіңіз: жақындарыңыз гигабайт пен минут пакеттерін оп-оңай ала алады

—

Приложение первого казахстанского оператора связи.

- Легко управляйте своим тарифом: настраивайте его под себя на конструкторе, подключайте нужные услуги, добавляйте ресурсы
- Играйте в Asyq — любимую игру детства — и зарабатывайте гигабайты
- Изучайте новые слова на казахском
- Заглядывайте в раздел Qazyna и находите бонусы и скидки
- Следите за балансом и ресурсами прямо на главной странице приложения
- Управляйте финансами и оплачивайте услуги с баланса
- Будьте везде как дома с выгодными роуминг-пакетами
- Получайте до 30 ГБ в месяц за ходьбу с услугой «Алға». Для подсчёта шагов мы запросим доступ к приложению «Здоровье»

Роутеры

- Заказывайте роутеры 4G/5G в рассрочку и с доставкой до двери
- Следите за ресурсами и тарифом
- Делитесь ресурсами роутера: ваши близкие могут получить пакет гигабайт и минут просто так",2021-02-28T08:00:00Z,2025-11-17T05:04:09Z
kz,Kazakhstan,Utilities,6002,8,1503251395,VPNIFY - Unlimited VPN,Neonetworks solution ltd,https://apps.apple.com/kz/app/vpnify-unlimited-vpn/id1503251395?uo=4,0.0,4.62781,17338,Utilities,"vpnify is the best VPN & UNLIMITED 100% FREE high speed VPN Proxy on for your iOS device. It is highly secure with military-grade encryption so you can safely navigate public, business and school networks. 
 
 
In General: 
- easy to use one-click connect to secure your connection 
- multiple high-speed dedicated VPN servers 
- no bandwidth usage limitations for streaming and downloading 
- there is no VPN trial - Full unlimited VPN, no session limitations 
- no registration necessary 
- stable connection wherever you go - home and abroad 
- you’re privately incognito browsing when tunnelling traffic 
- ultra-fast VPN speeds for blazing-fast connections 
- Hotspot VPN protection, a hotspot shield security APP 
- Express VPN speeds you can call it a turbo for your VPN 
- it's like a Private Internet Access, super VPN for free 
 
 
 
Security with vpnify: 
- Encrypted secure DNS to prevent bad actors from snooping 
- traffic encryption 
- DNS & IP leak-protected connections 
- we won't store traffic logs, it’s a perfect private browsing VPN 
- get a new, fresh, IP and do the IP vanish 
 
vpnify is a free VPN proxy. Browser without limits. It is a totally unlimited and free virtual private network. Quickly establish a connection simply by touching connect. We are the VPN Teachers, who provide you with an Internet network: a better Internet.
 
 
The use cases for vpnify are really unlimited; 
- a simple way to add an additional layer of security to your privacy 
- Use it in public networks to avoid personal data loss 
- Protect yourself from harmful APPs that collect your IP and track your location data 
- watch videos and movies through a VPN proxy  
- access to social networking sites
- VoIP messaging chat applications
 
 
Where can I use vpnify? 
We do not limit the use. With dozens of servers at multiple locations, we can make sure it's a VPN for everyone. 
 
 
 
The VPN works great everywhere! 
 
The locations are available as follows: 
 
- VPN USA (East and West Coast) 
 
- VPN United Kingdom (London and Manchester) 
 
- VPN Netherlands 
 
- VPN Germany 
 
- VPN Singapore 
 
- VPN Spain 
 
- VPN France 
 
- VPN India 
 
- VPN Canada 
 
- VPN Canada 
 
- VPN Japan 
 
- VPN France 
 
- VPN Italy 
 
- VPN Austria 
 
- VPN Australia 
 
- VPN Switzerland 
 
- VPN Belgium 
 
- VPN Romania 
 
- VPN Hungary 
 
 
 
 
 
vpnify, a genuinely free super power VPN. 
 
 
We do our best to cover worldwide usability and bring you a great internet experience. 
 
Unfortunately, we cannot guarantee a 100% availability in every country. Should there be problems with connecting in your country, please contact us by submitting feedback within the APP (if possible leave us your skype name), we'll try to make it work!

Our Terms of services can be found at: https://vpnifyapp.com/tos",2020-07-31T07:00:00Z,2025-09-17T16:30:14Z
kz,Kazakhstan,Utilities,6002,9,1541641406,Tele2 Kazakhstan,Mobile Telecom-Service TOO,https://apps.apple.com/kz/app/tele2-kazakhstan/id1541641406?uo=4,0.0,4.74866,171729,Utilities,"Байланысты басқарып, өмірден рахаттанудың таптырмас жолы — барлығы тиімділікке толы қосымшамызда бар. Өзіміздікілерге ең жақсысын ұсынамыз — бонустар, жеңілдіктер, арнайы ұсыныстар мен науқандар.

Бізбен бірге байланыста болу дегеніміз:
• Теңгерім мен ресурстарыңызды тексеру
• Лезде тарифті қайта қосып, өзгерту
• Ресурстарды өзара алмастырып, басқа Tele2 клиенттерімен бөлісу
• Достарыңызбен топ құрап, байланыста үнемдеу
• Тариф төлемін уақтылы жасап, бонустық гигабайт алу
• Бір реттік интернет пакет қосу
• Көшірмені қарау
• Теңгерімнен телефон нөміріне немесе картаға аударым жасау
• Жолақысын төлеу
• Роуминг пакеттерімен әрдайым байланыста болу
• Неше түрлі онлайн шотты толықтыру: әлжелілер, букмекерлер, ойын тіркелгілері мен басқасы

Тек өзіңізге арнаймыз
• Іші түрлі жеңілдік пен науқанға толы «Мен үшін» бөлімімен таныс болыңыз — өз өмір салтыңызға сай келетінін таңдап алыңыз
• Автокөлік және басқа да бағалы сый ұтып алу мүмкіндігі — ойындағы деңгейлерден өтіп, ұтысқа жақындаңыз

Күнделікті қажеттіліктерге
• Үй тауарлары мен азық-түлікке тапсырыс беру
• Түрлі іс-шараға билет сатып алу
• Серіктестеріміз танымал компаниялар — солардан жеңілдік пен промокодтар алу
• Кітап, музыка мен басқа да платформаларға жазылымдар

Tele2-ге шақырамыз
• Өз нөміріңізбен біздің желіге өтіңіз немесе жаңасын сатып алыңыз
• Тарифі қосылған смартфонды бөліп төлеумен сатып ала аласыз
• Еш қиыншылықсыз бірге eSIM орнатамыз

Егер қандай да бір ақау пайда болса  info@tele2.kz поштасына хат жіберіңіз — көмектесу үшін барымызды саламыз.

—

Приложение, которое выгодно отличается — от управления связью до наслаждения жизнью. Только для наших людей — бонусы, скидки, спецпредложения и акции.

Будьте на связи
• Следите за ресурсами и балансом
• Переподключайте тариф
• Меняйте ресурсы между собой и переводите другим клиентам Tele2
• Объединяйтесь с друзьями в группу и экономьте на связи
• Оплачивайте тариф вовремя и получайте бонусные гигабайты
• Подключайте разовые интернет-пакеты
• Смотрите детализацию
• Переводите с баланса — на номер телефона или карту
• Оплачивайте проезд
• Будьте на связи с пакетами роуминга
• Пополняйте кошельки, аккаунты игр, соцсетей, букмекеров и многое другое

Только для вас
• Познакомьтесь с разделом «Для меня» — внутри спецпредложения с бонусами и скидками, которые подойдут именно под ваши расходы и стиль жизни
• Участвуйте в розыгрышах автомобилей и других ценных призов — просто проходите уровни в игре и повышайте свои шансы

На каждый день
• Заказывайте товары и продукты на дом
• Покупайте билеты на мероприятия
• Ловите скидки и промокоды от популярных компаний
• Подключайте подписки на платформы развлечений

Присоединяйтесь к Tele2
• Переносите свои номера в нашу сеть или покупайте новые
• Покупайте смартфоны в рассрочку — тариф в комплекте
• Легко устанавливайте eSIM в пару кликов

Если у вас что-то не работает, напишите на почту info@tele2.kz — обязательно постараемся помочь.",2020-11-29T08:00:00Z,2025-11-17T05:03:46Z
kz,Kazakhstan,Utilities,6002,10,6514281900,VPN - Top Fast VPN,Free Fast Connect LLC,https://apps.apple.com/kz/app/vpn-top-fast-vpn/id6514281900?uo=4,0.0,4.78799,3731,Utilities,"Protect your digital life with Top Fast VPN, a powerful tool that safeguards your privacy while you explore the internet.

Key benefits of Top Fast VPN
- Access any websites and apps
- Protect your privacy: Shield your browsing habits from internet service providers and advertisers.
- Secure public Wi-Fi: Stay safe online.
- Access your accounts globally
- Save money: Choose which country to purchase online services.
- Unlimited data.

Top Fast VPN offers peace of mind in an increasingly complex online world.
Keep your data private and enjoy unrestricted internet access with confidence.

Features:
- Military-grade encryption
- Strict no-logs policy
- 24/7 customer support

Experience the internet without limits – download Top Fast VPN today and take control of your online privacy.

Please read our Privacy Policy at https://freefastconnect.app/privacy
Check out our Terms of Service at https://freefastconnect.app/terms",2024-09-23T07:00:00Z,2025-10-08T14:56:51Z
