country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
sa,Saudi Arabia,Sports,6004,1,762283377,Globe Soccer,Globe Soccer DWC-LLC,https://apps.apple.com/sa/app/globe-soccer/id762283377?uo=4,0.0,3.47679,237,Sports,"The official app for Globe Soccer Awards.
Celebrities and prestigious nominees from the football world will once again attend the yearly event.

Also, don’t forget to tune in for the streaming video, live from the Awards gala.

The official app allows to:
- Vote for your favourite football stars
- Predict scores from the major leagues
- Keep track of the nominees and winners
- Get directions to the Event venue
- Explore the photo gallery and previous editions' Awards",2013-11-30T22:10:32Z,2025-11-23T00:25:22Z
sa,Saudi Arabia,Sports,6004,2,571801488,365Scores: Live Scores & News,365Scores LTD,https://apps.apple.com/sa/app/365scores-live-scores-news/id571801488?uo=4,0.0,4.4911,201820,Sports,"Be the 1st to Know! 365Scores helps you become an EXPERT OF THE GAME with Live Scores, Pre-Game Stats and Predictions, In-Depth Data, News Updates, Upcoming Fixtures, Lineups - and everything else you need to stay connected to your favorite players, teams, and competitions.

Join over 150 million sports fans who rely on 365Scores for real-time updates, pre-game stats and in-depth insights.

* EXTENSIVE SPORTS COVERAGE
Follow the UEFA Champions League, English Premier League, LaLiga, NBA, Wimbledon, and 2000+ competitions in 10 different types of sports, including top football, basketball, tennis events and much more – all in one live scores app.

* LIVE FOOTBALL RESULTS
Get all the latest football news and updates, right at your fingertips! Football scores from your favorite football teams, such as Real Madrid, Manchester City, Liverpool and much more!

* EXCLUSIVE iOS FEATURES
365Scores offers two powerful iOS widgets to keep you closer to the game than ever:
Home Screen Widget – Instantly view your personalized My Scores list with live and upcoming games — right on your home screen. Perfect for quick updates and easy access to the matches you care about.
Live Activities – View real-time scores directly on your home screen, even when your phone is locked.

* TEAM NEWS & STATS
No matter which team you support, 365Scores delivers everything you need: live scores, sports news, squad updates, real-time stats, league tables, transfer updates, and social media buzz.

* PRE-GAME STATS & PREDICTIONS
Get a competitive edge with our comprehensive pre-game stats, including head-to-head records, recent form, key player analysis, and expert insights. These data-driven predictions help you to prepare for each game. Stay ahead of the game with 365Scores!

* CUSTOM SPORTS SCOREBOARD
Choose your favorite teams and leagues to follow, or pick matches instantly.
Get real-time football updates whenever you need them.

* INSTANT MATCH NOTIFICATIONS
Stay updated with instant match alerts! Follow every play with our Live Match Tracker, even when you can’t watch live
Warning! Our live match notifications may be faster than your match stream!

* LIVE SPORTS CALENDAR
Check our ALL SCORES tab, the most updated multi-sport calendar that you can find.
365Scores delivers full coverage of 9 sports: Football, Basketball, Tennis, American Football, Baseball, Handball, Ice Hockey, Rugby and Volleyball - with more than 2,000 competitions, including: UEFA Champions League, English Premier League, Spanish LaLiga, German Bundesliga, Italian Serie A, AFC Champions League, NBA, NFL, NHL, MLB, Wimbledon and much more!

Be an expert of the game with 365Scores – download now and never miss a moment!

We’re always happy for any feedback! 
Email: contact@365scores.com
Facebook:  https://www.facebook.com/365Scores
Instagram:  https://www.instagram.com/365scores
Follow us on X:  https://x.com/365scores

Terms of use: https://365scores.info/pages/terms
Privacy Policy: https://365scores.info/pages/privacy",2012-11-05T16:26:06Z,2025-11-17T08:26:21Z
sa,Saudi Arabia,Sports,6004,3,6657988792,Team Saudi | فريق السعودية,SAUDI OLYMPIC & PARALYMPIC COMMITTEE,https://apps.apple.com/sa/app/team-saudi-%D9%81%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9/id6657988792?uo=4,0.0,4.3913,23,Sports,"Step into the thrilling world of +75 sports like never before with the Team Saudi App—your ultimate ticket to all things sports in the Kingdom! Whether you're cheering from the stands or have aspirations to become Elite Athlete; you are parent, coach, student or a teacher… each and every one of us is proud Team Saudi! No point of waiting join the Team now!

We are launching this app in multiple phases…


Phase 1 Highlights:

- Breaking News & Exclusive Stories: Be the first to know what’s happening with your favorite athletes and teams.
- Meet the Athletes: Explore +500 inspiring athlete profiles, from rising stars to professional heroes, and get to know their journeys!
- Can’t-Miss Events: Stay ahead of the game with the hottest sports events happening all across Saudi Arabia.
- Instant Rewards: Get exclusive discounts and perks with our loyalty partners just by being a member of the app!
- Become an Athlete: Got big dreams? Follow our sport pathways and connect with relevant sports federations and take the first step towards making your dreams come true!

And That’s Just the Start!

Get ready for even more excitement coming your way! Soon, you'll be able to:

- Shop Exclusive Team Saudi Merchandize straight from the app with speedy delivery right to your door.
- Level Up with Gamified Rewards: Earn points, climb tiers, and unlock epic rewards for being part of the Team Saudi community!
- Compete in National Challenges: Sync your health data and join action-packed challenges, with leaderboards, prizes, and bragging rights up for grabs!

It’s time to take your passion for Saudi sports to the next level—download the Team Saudi App now, and become a part of Team Saudi today!",2024-09-20T07:00:00Z,2025-08-29T17:14:10Z
sa,Saudi Arabia,Sports,6004,4,398157427,Mackolik Live Score | M Scores,Mackolik Internet Hizmetleri Ticaret Anonim Sirketi,https://apps.apple.com/sa/app/mackolik-live-score-m-scores/id398157427?uo=4,0.0,4.08696,138,Sports,"Transform your football experience with M Scores - trusted by 10M+ fans for lightning-fast updates, live scores and deep match insights for Premier League, LaLiga, Champions League and 1000+ leagues worldwide 

Get team line-ups, live football scores, match results, fixtures, ratings, team and player statistics from thousands of leagues and tournaments in football, basketball, volleyball, tennis, and F1 for free.

The fastest notifications for football live scores! Premier League, LaLiga, UEFA Champions League and more competitions. Get instant goal alerts, match predictions & live stats.

FAST NOTIFICATIONS AND RELIABLE FOOTBALL LIVE SCORES
Get the latest news from games as the ball crosses the line. Reminder alerts for pre-match, kick-off, half-time and full-time results will come to your mobile with instant push notifications. 

SEE WHAT’S RELEVANT TO YOU FIRST
With M Scores, we prioritize your local leagues so that you can see what’s relevant to you first and foremost.

For example: If the user is in the UK, local leagues and tournaments in the United Kingdom, such as the Premier League, will take priority and will be shown first.

PICK YOUR FAVORITE FOOTBALL TEAMS AND PLAYERS
With M Scores you can closely follow your favourite teams and their matches. Get notified about the goals, red cards, half-time, and full-time scores instantly. 

You can also choose your favourite football players and get notifications about them. If your favourite players are in starting line-ups for their respective games, or they score goals, have assists, sub-in or sub-out, we will notify you instantly. 

DETAILED FOOTBALL STATS, FORMATIONS AND LIVE TABLES
Easily access to detailed pre-match, football live score, and post-match statistics.

View formations of the football teams in many important leagues and tournaments such as Premier League, LaLiga, Bundesliga, Serie A, Ligue 1, UEFA Champions League, UEFA Europa League, FIFA World Cup, UEFA European Championship, UEFA Nations League.

Through ‘Live Table’, follow positions of football teams in their respective leagues and tournaments as scores change simultaneously. Will your favourite football team be able to win the Premier League this season?

TEAM COMPARISONS
View and compare several football stats such as recent meetings between opponents, their form, their home and away results.

PLAYER PROFILE PAGES
With our informative player pages, - take a look at players’ careers and get to know them better.

LIVE COMMENTARY
Don’t miss the games you are not able to watch. Follow the games in depth with Live Commentary tabs in match pages.

TRANSFER MARKET NEWS & RUMOURS
Follow all football transfer market updates, news, rumours and confirmations.

M SCORES FORUM
Share your excitement for the match on M Scores Forum. You can like and reply to other users' comments. You can also join the forum with your Google or Facebook accounts.

BASKETBALL, VOLLEYBALL, TENNIS, F1
With M Scores, you can get live basketball, volleyball, and tennis scores just as fast as football! Follow the games with our user-friendly interface. 

With F1, you will have the immersive racing experience with our radar and live timing screens.

Download the M Scores app now and don't miss a thing! All the information and news from the world of sport and live football scores at your fingertip.


https://www.mackolik.com/static-gizlilik-politikasi-en.html
https://www.mackolik.com/static-kullanim-kosullari-en.html",2010-11-02T09:42:08Z,2025-11-21T17:56:55Z
sa,Saudi Arabia,Sports,6004,5,1619002343,Blu,Jahez International Information Systems Technology Company Limited Liability,https://apps.apple.com/sa/app/blu/id1619002343?uo=4,0.0,4.40103,9887,Sports,"BLU STORE تطبيق
 هو منصة رياضية متكاملة   
يقدم مجموعة واسعة من المنتجات الرسمية لنادي الهلال، بالإضافة إلى علامات تجارية عالمية متنوعة. يمكن توصيل هذه المنتجات إلى أي مكان في
 العالم. بالإضافة إلى ذلك، يوفر التطبيق تذاكر المباريات، ويزود المستخدمين بآخر أخبار نادي الهلال، ويتيح حجز أكثر من ١٠٠٠ ملعب حول المملكة.اشترك
 بالعضويات المتاحة للتمكن من الحصول على مزايا حصرية خاصة. 
 حمّل التطبيق الآن",2022-08-21T07:00:00Z,2025-11-16T13:33:53Z
sa,Saudi Arabia,Sports,6004,6,1598671053,الاسطورة Tv,Khaled Elshoura,https://apps.apple.com/sa/app/%D8%A7%D9%84%D8%A7%D8%B3%D8%B7%D9%88%D8%B1%D8%A9-tv/id1598671053?uo=4,0.0,2.54082,98,Sports,"live sport coverage
match times 
match results",2021-12-06T08:00:00Z,2024-07-01T11:55:32Z
sa,Saudi Arabia,Sports,6004,7,488575683,FotMob - Football Live Scores,FotMob AS,https://apps.apple.com/sa/app/fotmob-football-live-scores/id488575683?uo=4,0.0,4.88075,21443,Sports,"Join over 20 million fans who trust FotMob to keep them informed.

FotMob gives you all the live scores, stats, and news you need to keep up with football from anywhere in the world. With personalized alerts and lightning fast match updates, you'll always stay informed about your favorite teams and players. Our mission is simple: We're changing the way the world follows football.

Key features include:
• Live scores with instant goal notifications
• Personalized news and alerts for your favorite clubs and players
• Home screen widgets with news and live matches
• Detailed match stats, including xG and shot maps
• Video highlights and audio commentary
• Live text commentary to follow the action as it happens
• Transfer updates and breaking news
• TV schedules so you know exactly when and where to watch
• Weekly Team of the Week (TOTW) and player ratings

We cover more than 400 competitions globally, including the Premier League, La Liga, Bundesliga, Serie A, Ligue 1, MLS, Champions League, Liga MX, FA Women’s Super League, Eredivisie, World Cup 2026, and many more.

Stay connected and share your feedback we'd love to hear from you:
X: X.com/fotmob
Instagram: instagram.com/fotmobapp
Facebook: facebook.com/fotmob
TikTok: tiktok.com/@fotmobapp
Web: www.fotmob.com

Team names and logos in this app are used solely for identification purposes. Neither the EPL nor any EPL club endorses or is associated with this application. 

By using this app, you agree to Apple’s standard End User License Agreement (EULA):
https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2011-12-22T00:55:14Z,2025-11-18T08:03:25Z
sa,Saudi Arabia,Sports,6004,8,6753231319,سوريا لايف,Anas Taha,https://apps.apple.com/sa/app/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%84%D8%A7%D9%8A%D9%81/id6753231319?uo=4,0.0,5,1,Sports,سوريا لايف تطبيق رياضي متابعة مباريات كرة قدم لحظة بالحظة نتائج إحصائيات ترتيب الفرق والهدافين تابع فريقك عبر تطبيق سوريا لايف التطبيق الأول والأفضل في الشرق الاوسط لمتابعة المباريات,2025-10-03T07:00:00Z,2025-11-09T11:42:52Z
sa,Saudi Arabia,Sports,6004,9,6456410486,Alawwal Park,HALA YALLA INFORMATION TECHNOLOGY COMPANY,https://apps.apple.com/sa/app/alawwal-park/id6456410486?uo=4,0.0,4.78362,12099,Sports,"Download your event tickets instantly and keep them secure and easy to access for instant entry to your event. A secure storage solution, Alawwal Park Tickets is the easiest way to collect and share your tickets, so you don’t have to worry and can just focus on having fun.",2023-08-15T07:00:00Z,2025-10-23T08:04:36Z
sa,Saudi Arabia,Sports,6004,10,1447215452,HryFine,"Shenzhen United Power Technology Co., Ltd.",https://apps.apple.com/sa/app/hryfine/id1447215452?uo=4,0.0,2.9375,592,Sports,"****Hryfine bracelets are non-medical devices. The measurement data and results are for reference only, not for diagnosis and treatment. * * * * *

Special Reminder: APP data is for reference only and is not used as a medical diagnosis. You should consult your doctor before using APP and making any medical decisions.

1, Home Sports: record your exercise data, set exercise goals and calculate whether the goal is achieved, steps, distance, calorie consumption, etc.;

2. Sleep monitoring: it can record the sleep duration and sleep quality in the set period, and count the duration of deep sleep, light sleep and awake, so that you can improve the sleep quality;

3. When the phone searches for the bracelet, the bracelet vibrates. Find the phone through the bracelet, phone vibration and ring reminder, in case of loss.

4. It can remind the user of important information such as call, SMS, WeChat and so on when connecting with the bracelet, to prevent missing important information, etc.;

5. Set an intelligent alarm clock for the bracelet to remind you of sitting for a long time. The bracelet vibrates to remind you to reduce the problems caused by sitting for a long time

6, Remote control photography mode, anytime and anywhere to record the beautiful moment

7, statistics your daily, monthly, weekly exercise, sleep, data display at a glance

8. You can set the bracelet to turn the wrist to light up the screen and light up the screen easily

9. Sports data report: make statistics of your sports data and average data in the last 30 days, as well as your sports standards in the last seven days, and generate reports for easy viewing of sports trends",2018-12-19T07:49:20Z,2025-11-19T01:42:17Z
