country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mm,Myanmar,Utilities,6002,1,6748106726,SpeedTop VPN: Fast & Secure,SOON BODYWERKZ AUTO PTE. LTD.,https://apps.apple.com/mm/app/speedtop-vpn-fast-secure/id6748106726?uo=4,0.0,4.23529,17,Utilities,"SpeedTop is a performance-optimized VPN app designed to deliver reliable and fast internet connections. Whether you're browsing or streaming, even in low-bandwidth environments, SpeedTop enhances your online experience. It comes with multiple server nodes and a minimal design, making it the ideal solution for efficient and secure connectivity.

Key Features:

Fast Speeds: Smart routing for optimized and accelerated connections

Reliable Stability: Maintains consistent performance even on unstable networks

Servers: Access a range of high-quality, no-cost servers

Lightweight Build: Minimal app size and low resource usage

User-Friendly Interface: One-tap connection and clean, simple layout

Encryption & Security: Protects your data with advanced encryption protocols

Privacy-First: SpeedTop does not store or log user connection or browsing activity",2025-08-10T07:00:00Z,2025-11-14T01:54:25Z
mm,Myanmar,Utilities,6002,2,6451097052,JumpJumpVPN – Super Unlimited,SOON BODYWERKZ AUTO PTE. LTD.,https://apps.apple.com/mm/app/jumpjumpvpn-super-unlimited/id6451097052?uo=4,0.0,3.80414,531,Utilities,"JumpJumpVPN - A Secure and High-Speed VPN Proxy Application

Providing you with a secure, stable, and anonymous internet experience

What is a VPN?
A Virtual Private Network (VPN) establishes an encrypted connection from your device to a network over the internet. This encrypted connection ensures the secure transmission of sensitive data, prevents unauthorized eavesdropping on your traffic, and allows you to browse the web safely and anonymously.

Why Choose JumpJumpVPN?
JumpJumpVPN is an intuitive VPN proxy application with a clean and user-friendly interface, offering an exceptionally smooth user experience. Simply open the app, click the ""Connect"" button, or choose any server from the list. Ultra-fast and secure connections, unlimited bandwidth, multiple global VPN servers, reliable service, and privacy protection are the reasons why you should choose JumpJumpVPN.

Key Features:
• High-Speed Connection: JumpJumpVPN has a dedicated server network to ensure your internet connection remains fast and stable
• Anonymous Browsing: Hide your real IP address to keep your online activities completely private and secure
• Easy to Use: Connect with just one click—no complicated setup required to get VPN protection

Auto-Renewal Details:
• Upon purchase confirmation, payment will be charged to your Apple account
• The subscription service will automatically renew 24 hours before the end of the current billing cycle
• The renewal fee will be charged to your account within 24 hours before the subscription expires
• You can manage your subscription and turn off auto-renewal in your Apple Store account settings
• If a free trial is offered, any unused portion will be forfeited upon purchasing a subscription

Related Terms:

Terms of Service: https://jumpjump.io/#/termsofservice/index

Privacy Policy: https://jumpjump.io/#/privacyterms/index

Contact Us:
support@jumpjump.io",2023-09-26T07:00:00Z,2025-11-19T09:39:02Z
mm,Myanmar,Utilities,6002,3,1582922615,Now VPN - Best VPN Proxy,world creation technology limited,https://apps.apple.com/mm/app/now-vpn-best-vpn-proxy/id1582922615?uo=4,0.0,4.56006,16134,Utilities,"Now VPN – Fast & Secure Proxy



Now VPN is a free VPN proxy for iPhone, offering 200+ high-speed servers worldwide.
Download today and enjoy safe, private, and unrestricted online access.



 KEY FEATURES



* Unlimited time, data, and bandwidth (with ads)
* Try Premium features free for up to 7 days (ad-free)
* Zero logs policy – your activity is never tracked
* Automatic connection to the fastest available server
* Simple one-tap connect and disconnect
* Strong encryption to safeguard your security and privacy



 WHAT CAN I DO WITH NOW VPN?



* Browse the internet safely and anonymously
* Stay protected on public WiFi networks
* Securely connect to another network over the internet



 FAST GLOBAL SERVERS



Access the fastest VPN servers in 100+ locations, ensuring your connection stays private and protected from online threats.



PRIVACY FIRST



Your online freedom and security are our top priority. We never log or share your browsing activity.



Do you want complete security and peace of mind while browsing? Now VPN is designed to protect your privacy and keep your connection secure anywhere, anytime.







SUBSCRIPTION INFORMATION



* Payment will be charged to your iTunes account at confirmation of purchase.
* Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.
* Account will be charged for renewal within 24 hours of the end of the current period, with renewal cost provided.
* Subscriptions can be managed by the user. Auto-renewal may be turned off in Account Settings.
* Cancellations and refunds are managed by the App Store.
* Any unused portion of a free trial period will be forfeited when a subscription is purchased.



Terms of Service: https://now-vpn.com/termsofService.html
Privacy Policy: https://now-vpn.com/privacyPolicy.html",2021-09-04T07:00:00Z,2025-11-22T06:16:22Z
mm,Myanmar,Utilities,6002,4,6470715364,Music Player for youtube,Brahim el khoulagui,https://apps.apple.com/mm/app/music-player-for-youtube/id6470715364?uo=4,0.0,4.47598,6702,Utilities,"Fantastic application for music enthusiasts!

Access an endless array of music for your enjoyment.
Organize your library with features such as playlists, favorites, and recently played tracks.
Quickly search for your favorite music.
Enjoy music control directly from your lockscreen.



Utilize the full-featured, advanced in-app music player with options for repeat and shuffle.

By using our app, you accept our Privacy Policy and Terms of use : 

Terms of use: https://sites.google.com/view/eula-yt/home
Privacy Policy: https://sites.google.com/view/yt-music-app/home",2023-11-21T08:00:00Z,2025-05-29T02:03:05Z
mm,Myanmar,Utilities,6002,5,6444485605,Plato VPN:Super VPN Fast Proxy,MogoTech Inc.,https://apps.apple.com/mm/app/plato-vpn-super-vpn-fast-proxy/id6444485605?uo=4,0.0,4.65731,855,Utilities,"Plato VPN is the ultimate VPN service designed to deliver fast, stable, and secure connections. With high-speed servers in over 50 countries, you can enjoy smooth access Youtube, TikTok, Instagram, Facebook, Netflix while keeping your personal data protected with advanced encryption.

Get started with a 3-day free trial of Plato VPN — no registration or payment details needed!

Unlock your internet freedom! With our VPN, you can securely browse private content, download videos effortlessly, and enjoy HD videos with lightning-fast speeds. A global location changer for secure access to content anytime, anywhere. 

■ KEY FEATURES :
- UNLIMITED PROXY: VPN Unlimited time, Unlimited data, and Ultra-fast speed;
- PRIVATE internet access: Protect your security and privacy;
- BEST VPN APP for public hotspots, school Wi-Fi, and home office;
- ULTRA-SPEED secure browser, video downloader, and wifi master;
- SIMPLE and ONE-CLICK VPN master pro;
- NO REGISTRATION or login required;
- NO LOG is saved;

■Why Choose PlatoVPN? 
- As fast as ExpressVPN and Nord VPN 
- As reliable as Turbo VPN and Super VPN 
- Completely Free VPN service with unlimited bandwidth 
- Simple interface with One-Click Connect

■Upgrade to PlatoVPN Premium: 
- Flexible subscriptions: Choose the plan that works best for you, with the freedom to cancel anytime. 
- Up to 100x faster speeds: Premium users enjoy the fastest speeds, perfect for streaming, gaming, and downloading large files. 
- Ad-free experience: Premium users get a seamless, ad-free VPN experience. 
- Access all servers and protocols: Unlock the fastest servers and exclusive protocols unavailable to basic users. 
- Priority support: Premium users get fast access to customer support.

■Privacy Policy Highlights: 
- Full anonymity: We do not collect or store your data. No activity logs — your online privacy is fully protected. 
- Minimal logging for troubleshooting: If there’s a connection issue, we collect only minimal data to diagnose and improve the service. 
- Restricted access to logs: Logs are strictly limited to engineers for troubleshooting purposes. We never share data with third parties.

Plato VPN safeguards your personal and internet traffic data, protects your online privacy on iPhone and other iOS devices. We use the most secure encryption methods and advanced VPN protocols, including OpenVPN, WireGuard, IKEv2 / IPsec, Shadowrocket, V2Ray and our latest self-developed mesh vpn protocol.

Plato VPN offers lightning-fast speeds and an unlimited data plan, making it the top-rated One-Click VPN app for private browsing and video downloading. Our cutting-edge technology ensures the SECURITY and PRIVACY of your personal data by guarding your IP address, even when using a cellular network, public hotspot, or school wifi. 

Plato VPN is compatible with all http custom web browsers, search engines, and apps, and can support up to 5 iPhones or iPads simultaneously.

With thousands of exclusive VPN servers in 50+ global locations across 30+ countries, Plato VPN is a secure location changer. Use our one-click function to easily change your virtual location and connect to a faster internet for secure browsing, gaming, streaming apps, and video downloading.

If you have any suggestions or feedback, please feel free to reach out to our Plato Assistant through the chat section of the app. We always value your feedback as it drives us to be better!

Technical Support: support@mogotech.net
Twitter: @PlatoVPN
Facebook: @Plato VPN
https://platovpn.com/tos.html",2022-12-04T08:00:00Z,2025-10-24T03:52:08Z
mm,Myanmar,Utilities,6002,6,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/mm/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.55853,1008,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2024-01-05T08:00:00Z,2025-11-24T00:05:53Z
mm,Myanmar,Utilities,6002,7,1276263909,Psiphon VPN: Freedom Online,Psiphon Inc.,https://apps.apple.com/mm/app/psiphon-vpn-freedom-online/id1276263909?uo=4,0.0,3.95033,302,Utilities,"Welcome to Psiphon, an open source application built on leading-edge, research-driven security and network technologies. With over 150,000,000 downloads, Psiphon securely connects you to your apps and sites. Whether you're browsing on public Wi-Fi or looking for a more private connection, Psiphon offers a worry-free online experience with our mobile security.


PSIPHON’S FEATURES:


MOBILE SECURITY - MORE THAN A SECURE MOBILE AND HOTSPOT VPN
- Proxy access ensures that you can browse securely
- VPN enables secure and private browsing from virtually anywhere
- Protect your connection across networks, including public hotspots
- Hotspot VPN protection means your mobile security is safeguarded on any network


PRIVATE BROWSING AND A SEAMLESS EXPERIENCE
- Mobile security automatically selects protocols to provide a reliable connection
- Secure VPN allows for a smooth and private browsing experience, available with multiple language options

OPEN SOURCE & TRUSTED FOR SECURE BROWSING
- Secure VPN established through a trusted network of constantly changing servers, designed for private access
- Open source transparency ensures trust and confidence in your secure connection


FAST, PRIVATE, AND RELIABLE VPN CONNECTION
- Mobile security protection is maintained, even on public or unfamiliar networks
- Private browsing supports users including international journalists, independent media, and NGOs
- Our optimized VPN infrastructure ensures consistent and responsive connectivity
- Browse securely with Psiphon, and stay protected online with just one tap


ABOUT SUBSCRIPTIONS:
- A subscription removes ads and allows you to surf the Internet with a faster VPN!
- Payment will be charged to your iTunes Account at confirmation of purchase.
- Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period.
- Your account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the subscription.
- No cancellation of a current subscription is allowed during the active subscription period.
- Subscriptions may be managed and auto-renewal may be turned off by going to your Account Settings after purchase.
- Any unused portion of a free trial period will be forfeited when you purchase a subscription.


Privacy Policy: https://psiphon.ca/en/privacy.html
Terms of Use: https://psiphon.ca/en/license.html",2020-04-10T07:00:00Z,2025-09-12T18:13:12Z
mm,Myanmar,Utilities,6002,8,535886823,Google Chrome,Google LLC,https://apps.apple.com/mm/app/google-chrome/id535886823?uo=4,0.0,4.64728,5004,Utilities,"Chrome helps you do what's possible on the web. Download the fast, secure browser by Google.

GET THE BEST OF GOOGLE IN CHROME

• SEARCH WITH GOOGLE – search and get answers on Google fast. Use your voice to search hands-free.
• GOOGLE LENS – search what you see on your screen or with your camera.
• GOOGLE TRANSLATE – explore the web in 130+ languages. Translate entire websites in one click.

BROWSE WITH BEST-IN-CLASS SECURITY

• ENHANCED PROTECTION MODE – browse confidently with the highest level of Chrome's security.
• SAFETY CHECK – get peace of mind with proactive safety alerts.
• GOOGLE PASSWORD MANAGER – securely generate and save passwords for fast sign-in, and get alerts if your passwords are at risk.

ACCESS YOUR CHROME ACROSS DEVICES

• SYNC ACROSS DEVICES – save your things (like bookmarks, tabs and passwords) and easily access them when you sign in to Chrome on your phone, computer or tablet.
• TAB GROUPS – create tab groups to stay organised across devices.
• AUTOFILL – save time typing by autofilling your saved payments, addresses and passwords.",2020-04-14T07:00:00Z,2025-11-20T15:29:06Z
mm,Myanmar,Utilities,6002,9,576309271,Zapya - File Sharing,"Lindong Network Technology(Beijing) Co.,Ltd.",https://apps.apple.com/mm/app/zapya-file-sharing/id576309271?uo=4,0.0,4.08649,1318,Utilities,"File sharing has never been simpler! Without the need of a cable or cellular data, you can share files from device to device for free with Zapya. Zapya allows you to seamlessly transfer massive files across multiple platforms with speeds up to 10MB/second or up to 260 pictures in a minute. 

Looking to quickly connect with someone nearby? With the support of GPS location, Zapya provides a fast and accurate way to find nearby devices. You can also shake your devices at the same time in order to connect. Zapya can support USB Backup and Restore on iPad.

Another way to connect on Zapya is via QR Codes. You can generate a personalized QR code in order to share multiple files at once. Others just need to scan the QR code to have the files to instantly start downloading onto their phone. Without touching your keyboard, you can share files to others! 

If you have important files on your device that you do not want others to have access to, you can select and lock those files into a hidden folder. By doing this, the next time you go to share files with someone; they will not be able to see or access those files.  

Besides sharing files, you can chat offline with up to five other devices using Zapya. You can also move the phone log and photos from your old device to your new phone in a matter of minutes. Or if you want to take photos remotely, you can use the PeerCam feature and control the camera of a connected device with peer permission. 

If you like Zapya, please give us reviews and high ratings. Your support is much appreciated!

If you experience any issues or have any suggestions, please send feedback to us within the app or contact: feedback@dewmobile.net.

Disclaimer: This app may use your location even when it is not open, which can decrease device battery life.",2020-04-10T07:00:00Z,2025-08-04T04:31:45Z
mm,Myanmar,Utilities,6002,10,1356177741,Outline App,Jigsaw Operations LLC,https://apps.apple.com/mm/app/outline-app/id1356177741?uo=4,0.0,3.97059,34,Utilities,"Outline is an easy way for you to set up your own virtual private network (VPN) server to more safely access the open internet and keep your communications private. 

If you have received an access key, download the Outline app to get started. 

If you haven’t received an access key, you’ll first need to set-up your own server. Get started by downloading the Outline Manager from getoutline.org. Creating your own server is quick and easy, and instructions in the Manager will guide you through each step. 

How Do I Set Up Outline? 
- Outline consists of two related products: the Outline Manager and Outline. 
- The Outline Manager lets you create and operate your own VPN, and share access with anyone you choose by sending them an invitation directly from the Manager. Once you’ve downloaded the Manager, you can easily set up a VPN server on a cloud provider in less than five minutes. 
- After setup is complete, you can download the Outline app on your phone and desktop. 
- Share internet access with coworkers or friends by inviting them directly from the Manager. 
- If you’ve received an access code from someone using an Outline Manager you’re all set! Just download the app and get started. 

Why use Outline?
- Fast, reliable access to the open internet, powered by the Shadowsocks protocol
- Allows you to create and maintain your own VPN server and provide access with those you trust
- Strong encryption keeps your communications private
- Completely open source and audited by a nonprofit security firm",2020-04-19T07:00:00Z,2025-08-27T22:56:01Z
