country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
at,Austria,Social Networking,6005,1,6446901002,Threads,"Instagram, Inc.",https://apps.apple.com/at/app/threads/id6446901002?uo=4,0.0,4.58026,7955,Social Networking,"Say more with Threads — Instagram’s text-based conversation app.

Threads is where communities come together to discuss everything from the topics you care about today to what’ll be trending tomorrow. Whatever it is you’re interested in, you can follow and connect directly with your favorite creators and others who love the same things — or build a loyal following of your own to share your ideas, opinions and creativity with the world.

A few things you can do on Threads…

■ Access your Instagram followers
Your Instagram username and verification badge are reserved for you. Automatically follow the same accounts you follow on Instagram in a few taps, and discover new accounts too.

■ Share your point of view
Spin up a new thread to express what's on your mind. This is your space to be yourself, and you control who can reply.

■ Connect with friends and your favorite creators
Jump to the replies to get in on the action and react to commentary, humor and insight from the creators you know and love. Find your community and connect with people who care about whatever it is you’re interested in.

■ Control the conversation
Customize your settings and use controls to manage who can see your content, reply to your threads, or mention you. Accounts you’ve blocked will carry over from Instagram, and we’re enforcing the same Community Guidelines to help ensure everyone interacts safely and authentically. 

■ Find ideas and inspiration
From TV recommendations to career advice, get answers to your questions or learn something new from crowd-sourced conversations, thought leaders and industry experts.

■ Never miss a moment
Stay on top of the latest trends and live events. Whether it’s about new music, movie premieres, sports, games, TV shows, fashion, or the latest product releases, find discussions and receive notifications any time your favorite profiles start a new thread.

■ Open social networking – coming soon
In the future, there will be ways to discover more content and reach wider audiences: we are planning features that allow you to search for, follow and interact with users on open, interoperable social networks that we believe can shape the future of the internet.

Meta Terms: https://www.facebook.com/terms.php
Threads Supplemental Terms: https://help.instagram.com/769983657850450
Meta Privacy Policy: https://privacycenter.instagram.com/policy
Threads Supplemental Privacy Policy: https://help.instagram.com/515230437301944
Instagram Community Guidelines: https://help.instagram.com/477434105621119",2023-12-14T08:00:00Z,2025-11-19T23:58:42Z
at,Austria,Social Networking,6005,2,686449807,Telegram Messenger,Telegram FZ-LLC,https://apps.apple.com/at/app/telegram-messenger/id686449807?uo=4,0.0,3.83951,1807,Social Networking,"Echtes Instant Messaging – einfach, schnell, sicher und mit all deinen Geräten synchronisiert. Eine der Top 5 der am meisten heruntergeladenen Apps der Welt, mit über 1 Milliarde aktiven Nutzern.

SCHNELL: Telegram ist die schnellste Messaging-App auf dem Markt, um Leute über ein weltweit einmalig verteiltes Netzwerk von Rechenzentren zu verbinden.

SYNCHRONISIERT: Du kannst auf alle deine Chatnachrichten und Dateien von verschiedenen Geräten (einschließlich PCs, Tablets und Smartphones) gleichzeitig zugreifen. Die Telegram-Apps sind unabhängig, sodass du dein Handy nicht ständig eingeschaltet lassen musst. Starte deine Nachricht auf einem Gerät und setze sie jederzeit auf einem anderen Gerät fort. Verliere niemals wieder deine Daten.

UNBEGRENZT: Du kannst Chatnachrichten, Bilder, Videos und Dateien jeglicher Art senden. Dein Chatverlauf, inkl. Medien und Dateien, verbraucht keinen Speicherplatz auf deinem Gerät und wird sicher in der Telegram Cloud gespeichert – solange du es möchtest.

SICHER: Unsere Mission ist, ein sicheres, schnelles und globales Kommunikationsmittel zu schaffen. Alles bei Telegram, inklusive Chats, Gruppen, Medien etc. ist verschlüsselt. Wir setzen auf eine Kombination aus 256-Bit symmetrischer AES Verschlüsselung, 2048-Bit RSA Verschlüsselung und dem sicheren Diffie-Hellman Schlüsselaustauschverfahren.

100 % KOSTENLOS & OFFEN: Telegram hat eine vollständig dokumentierte und kostenlose API für Entwickler, Open-Source-Apps und überprüfbare Builds, um zu beweisen, dass die App, die du herunterlädst, aus genau demselben Quellcode erstellt wurde, der veröffentlicht wurde.

LEISTUNGSSTARK: Bei uns kannst du Gruppen mit bis zu 200.000 Mitgliedern erstellen, große Videos und Dateien jeglicher Art (.DOCX, .MP3, .ZIP etc.) mit jeweils bis zu 2 GB teilen und sogar Bots für bestimmte Aufgaben einsetzen. Telegram ist so das perfekte Werkzeug für deine Online-Community und um Teamarbeit zu koordinieren.

ZUVERLÄSSIG: Telegram ist das zuverlässigste Nachrichtensystem, welches je entwickelt wurde, um deine Nachrichten mit möglichst wenig Datenverkehr zu übertragen. Es funktioniert selbst mit der langsamsten mobilen Verbindung.

UNTERHALTSAM: Telegram verfügt über leistungsstarke Foto- und Videobearbeitungswerkzeuge, animierte Sticker und Emoji, vollständig anpassbare Farbthemen, um das Aussehen deiner App zu verändern, und eine offene Sticker-/GIF-Plattform, um all deine ausdrucksstarken Bedürfnisse zu erfüllen.

EINFACH: Obwohl wir eine noch nie dagewesene Vielfalt an Funktionen bieten, achten wir sehr darauf, die Oberfläche schlicht zu halten. Telegram ist so einfach, dass du bereits weißt, wie man es benutzt. 

PRIVAT: Wir nehmen deine Privatsphäre sehr ernst und werden es niemals Dritten erlauben, auf deine Daten zuzugreifen. Du kannst jede Nachricht, die du jemals gesendet oder empfangen hast, für beide Seiten, jederzeit und spurlos löschen. Telegram wird deine Daten niemals nutzen, um dir Werbung zu zeigen.

Für alle, die an maximaler Privatsphäre interessiert sind, gibt es Geheime Chats. Hier zerstören sich Nachrichten, Videos oder Bilder auf Wunsch bei beiden Chatpartnern selbst, sodass es gar keine Spuren mehr von dieser Unterhaltung gibt. Geheime Chats nutzen eine Ende-zu-Ende-Verschlüsselung, um sicherzustellen, dass eine Nachricht nur von dem vorgesehenen Empfänger gelesen werden kann.

Wir setzen neue Standards: Regelmäßige Updates und immer wieder neue interessante Funktionen, die es bei keinem anderen Messenger gibt. Entdecke die Zukunft.

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",2013-08-14T00:12:31Z,2025-11-19T15:52:30Z
at,Austria,Social Networking,6005,3,284882215,Facebook,"Meta Platforms, Inc.",https://apps.apple.com/at/app/facebook/id284882215?uo=4,0.0,4.47886,167349,Social Networking,"Wo echte Menschen deine Neugier wecken. Auf Facebook kannst du mit echten Personen interagieren, wie in keinem anderen Social Network: Verkaufe und kaufe Second-Hand-Ausrüstung, teile Reels mit Menschen auf deiner Wellenlänge oder lache mit anderen über witzige Bilder, denen KI einen unerwarteten Twist gegeben hat.

Entdecke Neues und erweitere deine Interessen: 
* Fordere die Meta-KI auf, nach interessanten Themen für dich zu suchen, und erhalte sofort interaktive Ergebnisse, die mehr als nur Text zu bieten haben.
* Suche auf dem Marketplace nach guten Deals und Schätzen für deine Hobbys.
* Personalisiere deinen Feed, um mehr von dem zu sehen, was dir gefällt.
* Sieh dir Reels und Videos an – für Unterhaltung oder hilfreiche Anleitungen.

Verbinde dich mit Menschen und Communitys:
* Tritt Gruppen bei und erhalte nützliche Tipps und Tricks von anderen Nutzer*innen
* Teile deine Inhalte automatisch auf Instagram und spare Zeit
* Sende Posts in einer privaten Nachricht an deine BFF, weil nur sie weißt, was du meinst, oder einen Reel-Trend, über den alle reden.

Lass andere an deiner Welt teilhaben:
* Nutze generative KI, um deine Freund*innen mit individuellen Bildern zu überraschen, oder um dir beim Verfassen von Beiträgen zu helfen.
* Passe dein Profil an und lege fest, wie du angezeigt wirst und wer deine Beiträge sehen kann.
* Erstelle aus aktuellen Vorlagen mühelos eigene Reels oder lass deiner Kreativität mit vielfältigen Bearbeitungs-Tools freien Lauf.
* Zeige spontane Momente in den Stories.

Nutzungsbedingungen & Richtlinien https://www.facebook.com/policies_center",2019-02-05T08:00:00Z,2025-11-12T04:08:24Z
at,Austria,Social Networking,6005,4,985746746,"Discord: Reden, Gamen, Chillen","Discord, Inc.",https://apps.apple.com/at/app/discord-reden-gamen-chillen/id985746746?uo=4,0.0,4.67887,23828,Social Networking,"Discord ist fürs Gaming konzipiert und ideal, um einfach mit Freunden abzuhängen oder eine Community zu gründen. Gestalte deinen eigenen Raum und hol deine Freunde mit ins Boot, um zu plaudern, während du deine Lieblingsspiele spielst, oder einfach nur gemeinsam zu chillen.

GRUPPENCHATS VOLLER JUX UND TOLLEREI
∙ Discord eignet sich perfekt, um Spiele zu spielen, mit Freunden zu entspannen, oder sogar eine weltweite Community aufzubauen. Gestalte deinen eigenen Raum zum Reden, Spielen und Abhängen.

MACH DEINE GRUPPENCHATS SPANNENDER
∙ Erstelle eigene Emojis, Sticker, Soundboard-Effekte und mehr, um deiner Stimme, deinem Video oder Textchat deinen eigenen Dreh zu verleihen. Lege deinen Avatar fest, erstelle einen individuellen Status und verfasse dein eigenes Profil, um auf deine Art im Chat präsent zu sein.

STREAMT, ALS WÄRT IHR IM SELBEN RAUM
Mit einem hochwertigen und latenzarmen Stream hast du das Gefühl, als würdest du mit Freunden auf der Couch abhängen, während ihr ein Spiel spielt, Sendungen schaut, Fotos betrachtet, oder … keine Ahnung, Hausaufgaben macht oder so.

SPRING JEDERZEIT REIN, WENN DU ZEIT HAST, GANZ OHNE ANRUFE
∙ Du kannst vor, während oder nach eurer Spielsitzung ganz einfach Sprach- oder Textchats beitreten oder verlassen und mit deinen Freunden quatschen, ohne jemanden anrufen oder einladen zu müssen.

SIEH NACH, WER ABHÄNGEN WILL
∙ Sieh dir an, wer gerade da ist und Spiele spielt oder einfach nur abhängt. Bei unterstützten Spielen kannst du sehen, welche Modi oder Charaktere deine Freunde spielen und direkt einsteigen.

HABT IMMER ETWAS, WAS IHR ZUSAMMEN ERLEBEN KÖNNT
∙ Schaut euch Videos an, spielt integrierte Spiele, hört Musik oder scrollt einfach zusammen und haut am laufenden Band Memes raus. Schreibt euch, ruft euch an, chattet per Videochat und spielt zusammen Spiele – alles nahtlos in einem einzigen Gruppenchat.

WO IMMER DU SPIELST, VERBRINGE HIER DEINE ZEIT
∙ Du kannst auf deinem PC, Telefon oder deiner Konsole in Discord abhängen. Wechsle problemlos zwischen den Geräten und verwende verschiedene Tools, um mehrere Gruppenchats mit Freunden zu steuern.",2015-05-21T07:08:40Z,2025-11-20T22:14:00Z
at,Austria,Social Networking,6005,5,310633997,WhatsApp Messenger,WhatsApp Inc.,https://apps.apple.com/at/app/whatsapp-messenger/id310633997?uo=4,0.0,4.64189,380300,Social Networking,"WhatsApp from Meta ist eine kostenlose App für Messaging und Anrufe, die von über 2 Milliarden Menschen in über 180 Ländern verwendet wird. Die App ist einfach, zuverlässig und privat und eignet sich deshalb perfekt, um mit deinen Freund*innen und deiner Familie auf der ganzen Welt in Kontakt zu bleiben. Sie funktioniert auf Handys, Tablets und Desktops – selbst bei langsamen Verbindungen – und ist gebührenfrei*.

Weltweit private Nachrichten austauschen und telefonieren

Deine Privatsphäre hat für uns Priorität. Dank der Ende-zu-Ende-Verschlüsselung kannst du sicher sein, dass deine persönlichen Nachrichten und Anrufe nur zwischen dir und der Person, mit der du kommunizierst, ausgetauscht werden. Und niemand, nicht einmal WhatsApp kann sie lesen oder anhören.

Schnell, einfach und sicher kommunizieren

Du brauchst lediglich deine Telefonnummer – keine Benutzernamen oder Anmeldungen erforderlich. Gehe einfach in deine Kontakte auf WhatsApp und starte die Kommunikation. Außerdem kannst du deine anderen Geräte, auch iPads einfach verknüpfen, um nahtlos in Verbindung zu bleiben.

Sprach- und Videoanrufe in hoher Qualität

Genieße kostenlose sichere Video- und Sprachanrufe mit bis zu 32 Teilnehmer*innen. Über den Internetdienst deines Telefons oder Tablets kannst du auf allen Geräten telefonieren – selbst bei langsamen Verbindungen.

Mit Gruppenchats Kontakt halten

Nutze ende-zu-Ende-verschlüsselte Gruppenchats und Anrufe, um mit Freund*innen und Familie in Kontakt zu bleiben. Teile Nachrichten, Fotos, Videos und Dokumente über Handy, Tablet und Desktop. Du kannst auch Anruflinks und die Bildschirmfreigabe verwenden, um Gruppenanrufe und die Zusammenarbeit zu erleichtern.

In Echtzeit verbunden bleiben

Wenn du WhatsApp auf deinem Mobiltelefon verwendest, kannst du deinen Standort mit den Personen in deinen Einzel- oder Gruppenchats teilen. Oder du nimmst eine Sprachnachricht auf, wenn geschriebener Text einfach mal nicht ausreicht.

Alltagsmomente im Status teilen

Teile deinen Alltag mit Personen, die dir wichtig sind. Über den Status kannst du deiner News per Text, Fotos, Videos und GIFs teilen, die nach 24 Stunden wieder verschwinden. Du kannst kontrollieren, wer deinen Status sieht. Wähle einfach aus, mit wem du ihn teilen möchtest – ob mit allen Kontakten oder nur ausgewählten. Erwecke deinen Alltag zum Leben.

* Es können die normalen Datennutzungsgebühren anfallen. Kontaktiere deinen Provider für weitere Informationen.


---------------------------------------------------------------------------

Falls du Feedback geben möchtest oder Fragen hast, melde dich bitte über WhatsApp > Einstellungen > Hilfe > Kontaktiere uns.

Nutzungsbedingungen: https://www.whatsapp.com/legal/terms-of-service 

Erfahre mehr zur Privatsphäre bei Nachrichten: https://www.whatsapp.com/privacy 

Erfahre mehr zur Sicherheit auf WhatsApp: https:https://www.whatsapp.com/security",2009-05-04T02:43:49Z,2025-11-21T02:37:57Z
at,Austria,Social Networking,6005,6,874139669,Signal – Sicherer Messenger,"Signal Messenger, LLC",https://apps.apple.com/at/app/signal-sicherer-messenger/id874139669?uo=4,0.0,4.62988,54761,Social Networking,"• Signal ist eine Messaging-App, bei der Datenschutz und Privatsphäre im Mittelpunkt stehen. Sie ist kostenlos und einfach zu benutzen, mit einer starken Ende-zu-Ende-Verschlüsselung, die deine Kommunikation absolut vertraulich macht.

• Versende kostenlos Text- und Sprachnachrichten, Fotos, Videos, GIFs und sonstige Dateien. Signal verwendet die Internetverbindung deines Mobiltelefons, sodass du Gebühren für SMS und MMS vermeiden kannst.

• Rufe deine Kontakte mit glasklaren verschlüsselten Sprach- und Videoanrufen an. Gruppenanrufe sind für bis zu 50 Personen möglich.

• Bleibe in Verbindung durch Gruppen-Chats mit bis zu 1.000 Personen. Lege fest, wer posten darf, und verwalte die Gruppenmitglieder mit Admin-Berechtigungseinstellungen.

• Teile Bild-, Text- und Videostorys, die nach 24 Stunden wieder verschwinden. Mit den Datenschutz-Einstellungen kannst du genau festlegen, wer jede Story sehen kann.

• Signal ist für deine Privatsphäre gemacht. Wir wissen nichts über dich oder mit wem du sprichst. Unser Open Source-Signal Protokoll bedeutet, dass wir deine Nachrichten nicht lesen und deine Anrufe nicht mithören können. Ebenso wenig wie alle anderen. Keine Hintertüren, keine Datensammlung, keine Kompromisse. 

• Signal ist unabhängig und nicht auf Gewinn ausgerichtet – eine andere Art von Technologie von einer anderen Art von Organisation. Als 501c3 Non-Profit-Organisation werden wir durch deine Spenden unterstützt, nicht durch Werbekunden oder Investoren. 

• Für Support, Fragen oder weitere Informationen besuche bitte https://support.signal.org/

Um unseren Quellcode zu sehen, besuche https://github.com/signalapp 

Folge uns auf Twitter @signalapp und Instagram @signal_app",2014-07-29T18:24:15Z,2025-11-20T23:33:42Z
at,Austria,Social Networking,6005,7,1096918571,Google Meet,Google LLC,https://apps.apple.com/at/app/google-meet/id1096918571?uo=4,0.0,4.7195,2713,Social Networking,"Google Meet ist eine App für Videoanrufe in hoher Qualität, mit der Sie sich mit Familienmitgliedern, Freunden, Kollegen, Mitschülern oder Kommilitonen besprechen und auf unterhaltsame Weise austauschen können, egal wo sie gerade sind.

Mit Meet können Sie so mit anderen Kontakt aufnehmen, wie es am besten für Sie passt: Sie haben die Wahl, ob Sie einen spontanen Anruf starten, lieber eine Zeit vereinbaren oder eine Videonachricht versenden, die dann später angesehen und beantwortet werden kann.

Außerdem hilft Meet Ihnen, Dinge zu erledigen. Meet ist mit anderen Google Workspace-Apps wie Gmail, Docs, Präsentationen und Kalender verknüpft und bietet vielfältige Funktionen, um Videokonferenzen reibungslos und ansprechend zu gestalten – dazu zählen Geräuschunterdrückung, Anrufchat und Aufnahmen.*

Diese Funktionen erwarten Sie:

Sie können Ihre Freunde und Kollegen spontan anrufen oder Videokonferenzen mit ihnen vereinbaren – alles in derselben App.


Sie können kostenlos bis zu 24 Stunden lange Videoanrufe mit einer anderen Person führen und bis zu 60-minütige Videokonferenzen mit maximal 100 Personen abhalten.


Dank in Echtzeit übersetzter Untertitel in über 70 Sprachen spielen Sprachbarrieren keine Rolle mehr.


Mithilfe der Chatfunktion können Sie Ideen teilen, Fragen stellen und Feedback geben, ohne den Gesprächsfluss zu stören.


Auch mit Emojis können Sie zwischendurch auf Gesagtes reagieren, ohne Ihre Gesprächspartner zu unterbrechen.


Sie können im Anruf visuelle Inhalte wie Fotos, Videos und Präsentationen teilen – oder einfach Erinnerungen aus Ihrem letzten Urlaub.


Durch stapelbare Effekte wie Hintergründe, Filter und Animationen werden Videoanrufe mit Freunden und Familienmitgliedern jetzt noch unterhaltsamer und persönlicher.


Im Unterwegs-Modus werden Kamera und Video deaktiviert und die Schaltflächen zur Anrufsteuerung sind größer. So werden Sie beim Gehen, im Auto oder in öffentlichen Transportmitteln weniger abgelenkt und können dem Gespräch gut folgen.


Zugriff von jedem Gerät aus: Meet funktioniert auf Mobilgeräten, Tablets, als Webanwendung auf Desktops und auf Smartgeräten.** So kann wirklich jeder teilnehmen.

Videoaufnahmen in hoher Qualität: Zeigen Sie sich von Ihrer besten Seite mit einer Videoqualität von bis zu 4K.***

Weitere Informationen zu Google Meet: https://workspace.google.com/products/meet/

Bleiben Sie auf dem Laufenden:

Twitter: https://twitter.com/googleworkspace

LinkedIn: https://www.linkedin.com/showcase/googleworkspace

Facebook: https://www.facebook.com/googleworkspace/

* Aufzeichnungen von Videokonferenzen und Geräuschunterdrückung sind als Premium-Funktionen verfügbar. Unter https://workspace.google.com/pricing.html finden Sie weitere Informationen.

** Nicht in jeder Sprache verfügbar.

*** Nur bei ausreichender Bandbreite. Google Meet stellt die Videoqualität je nach Ihrer verfügbaren Bandbreite auf die höchstmögliche Qualität ein.

Es können Gebühren für die Datenübertragung anfallen. Weitere Informationen erhalten Sie von Ihrem Mobilfunkanbieter.

Die Verfügbarkeit bestimmter Funktionen hängt von den Spezifikationen des Geräts ab.",2016-09-02T00:51:01Z,2025-11-17T21:39:48Z
at,Austria,Social Networking,6005,8,454638411,Messenger,"Meta Platforms, Inc.",https://apps.apple.com/at/app/messenger/id454638411?uo=4,0.0,4.53061,48949,Social Networking,"Der Messenger ist eine kostenlose Messaging-App, mit der du dich überall mit anderen verbinden kannst. Bleib mit Freund*innen und Familie in Kontakt, verfolge deine Interessen mit Gleichgesinnten, baue eine Community auf und teile deinen Vibe – alles in einer App!

CHATTE UND TELEFONIERE MIT ANDEREN, EGAL WO IHR SEID


Finde und kontaktiere deine Freund*innen und deine Familie auf Facebook und im Messenger, ganz ohne Telefonnummer.

ERHALTE UMGEHEND ANTWORTEN VOM KI-ASSISTENTEN
Meta AI ist dein Assistent und steht dir mit Antworten, Ratschlägen, Hausaufgabenhilfe und mehr zur Seite.

SENDE DEINE FOTOS IN HOHER AUFLÖSUNG
Sende und empfange mit dem Messenger deutlichere, schärfere Bilder deiner liebsten Momente.

ERSTELLE GEMEINSAME ALBEN
Vom letzten Sommerurlaub bis zu Omas 80. Geburtstag – erstelle Alben mit Fotos und Videos, teile und organisiere sie und erinnere dich gemeinsam mit anderen in Gruppenchats an die schönsten Momente.

FÜGE GANZ EINFACH NEUE KONTAKTE HINZU – MIT QR-CODES
Bleibe in Kontakt mit Personen, die du persönlich triffst, indem du ihren Messenger-QR-Code scannst oder deinen eigenen über einen Link teilst.

TEILE GROSSE DATEIEN DIREKT IM CHAT
Ganz egal, ob Word-, PDF- oder Excel-Datei: Versende Dateien mit bis zu 100 MB direkt im Messenger.

BEARBEITE NACHRICHTEN ODER RUFE SIE ZURÜCK 
Zu schnell auf „Senden“ geklickt? Du kannst deine Nachrichten bis zu 15 Minuten nach dem Versenden bearbeiten.

SELBSTLÖSCHENDE NACHRICHTEN
Manche Dinge sind nicht für die Ewigkeit gedacht. Entscheide selbst, wie lange deine Ende-zu-Ende-verschlüsselten Chats sichtbar bleiben, nachdem sie gelesen wurden.

VERBINDE DICH MIT DEINEN COMMUNITYS
Bleibe mit Menschen aus deiner Schule oder deiner Nachbarschaft oder mit Gleichgesinnten in Verbindung.

SEI DEINEN LIEBLINGSCREATOR*INNEN GANZ NAH
Bleibe auf dem Laufenden rund um Creator*innen, indem du ihren Broadcast-Channels mit authentischen und spontanen Inhalten beitrittst.

LASS DEINER KREATIVITÄT FREIEN LAUF MIT META AI
Nutze Meta AI als kreativen Partner, um Bilder zu erstellen, zu bearbeiten, zu animieren und mehr.

FANG MOMENTE AUS DEM ALLTAG IN STORIES EIN
Zeige in Stories Momente aus deinem Alltag mit Fotos und Videos, die nach 24 Stunden verschwinden.

TEILE EINE NOTIZ MIT DEINEN GEDANKEN
Bleibe mit Freund*innen in Verbindung, indem du kurze Updates teilst, die nach 24 Stunden verschwinden.

VERLEIHE DEINEN CHATS DEINEN VIBE
Manchmal reichen Worte einfach nicht aus. Nutze andere Möglichkeiten, um dich auszudrücken: mit animierten Stickern, GIFs, Reaktionen und mehr.

VERLEIHE DEINEN CHATS DIE RICHTIGE STIMMUNG
Personalisiere deine Chats mit einer großen Auswahl von Designs, die rund um beliebte Künstler*innen, Feiertage und mehr aktualisiert werden. 

* Meta AI ist derzeit nur in ausgewählten Sprachen und Ländern verfügbar. Weitere kommen bald hinzu.",2011-10-19T22:39:30Z,2025-11-19T08:58:25Z
at,Austria,Social Networking,6005,9,1440374842,Wichteln Helfer App,Andreas Schulz (DE),https://apps.apple.com/at/app/wichteln-helfer-app/id1440374842?uo=4,0.0,4.7283,622,Social Networking,"Organisieren dein Wichteln mühelos mit dieser App!

• Werbefrei
• Keine In-App-Käufe
• Keine Email erforderlich
• Verschiedene Wichtelvarianten
• Erstelle optional Ausschlüsse für Wichtelpartner
• Wunschlisten und Geschenkhinweise

Und so funktioniert's:

• Erstelle eine Gruppe mit den wichtigsten Details: Ort des Treffens, Datum, maximaler Geschenkwert.
• Teile die Gruppe über einen Link oder einen Gruppencode mit deinen Freunden oder Verwandten.
• Sobald alle Mitglieder der Gruppe beigetreten sind, kann der Gruppenersteller die Wichtelpartner bestimmen lassen.
• Jeder Teilnehmer sieht nur seinen eigenen zugeordneten Wichtelpartner und deren Wünsche.
• Nutze den integrierten Chat, um Geschenkwünsche und Veranstaltungsdetails zu besprechen.
• Trefft euch zur vereinbarten Zeit und am vereinbarten Ort, um die Geschenke auszutauschen.

Auf allen mordernen Platformen:

Lade Personen ein, egal welches Smartphone Du oder Sie verwenden. Es können auch Leute ohne App teilnehmen.


Wichteln (auch Secret Santa genannt) ist ein beliebtes Geschenkspiel, das insbesondere in der Advents- und Weihnachtszeit praktiziert wird. Es gibt verschiedene Varianten, aber das grundlegende Prinzip bleibt gleich: Eine Gruppe von Menschen tauscht untereinander Geschenke aus, ohne vorher zu wissen, wer von wem beschenkt wird.
Jeder Teilnehmer zieht zufällig den Namen einer anderen Person aus der Gruppe.
Die gezogene Person wird dann beschenkt, ohne dass diese weiß, von wem das Geschenk stammt.
Oft gibt es im Vorfeld eine Preisobergrenze, um sicherzustellen, dass die Geschenke einen ähnlichen Wert haben.",2018-11-10T16:40:53Z,2025-10-31T22:12:44Z
at,Austria,Social Networking,6005,10,1641107226,Widgetable: Beste & Paare,HAPPENY TECHNOLOGY PTE. LTD.,https://apps.apple.com/at/app/widgetable-beste-paare/id1641107226?uo=4,0.0,4.92045,1232,Social Networking,"Widget Zusammen, Auch Teilen! Verwandle deine Sperrbildschirme und Home-Bildschirme in einen lebendigen Raum der Liebe und Verbindung! Mit unseren interaktiven Widgets kannst du die Momente deines Lebens mit deinen besten Freunden und deinen Liebsten auf lustige und ansprechende Weise teilen.

FUNKTIONEN HIGHLIGHTS
- Gemeinsam Haustiere Aufziehen

Bleib in Verbindung mit dem Distanz-Widget, das die Echtzeit- Distanz zwischen dir und deinen besten Freunden direkt auf deinem Sperrbildschirm anzeigt. Behalte ihre Status-Widgets im Auge und sende Liebesbomben mit dem „ Vermisse Dich Widget“ - beobachte, wie deine „Vermisse Dich“-Zahl in den Himmel steigt!
- Überraschung & Freude
Verschönere die Bildschirme deiner Freunde mit deinen snaps, lustigen Emojis, doodles und Texten mit der „Pin It!“-Funktion. Vergiss nicht, deine Fürsorge zu zeigen, wenn du ihre siehst!
- Deinen Stil Personalisieren
Entdecke weitere niedliche Funktionen wie das Pflanzen-Widget, mit dem du virtuelle Pflanzen auf deinem Bildschirm züchten und einen einzigartigen Garten anlegen kannst. Wähle aus trendigen Hintergrundbildern, darunter 3D-Kunst, AI-Designs und Scherenschnitte, oder passe Themen mit deinen besten Freunden an!

PREMIUM-ABONNEMENT
Du kannst ein Abonnement abschließen, um unbegrenzten Zugriff auf alle Funktionen von Widgetable zu erhalten.
- Die Zahlung wird dem iTunes-Konto bei der Kaufbestätigung belastet.
- Das Abonnement verlängert sich automatisch, wenn es nicht mindestens 24 Stunden vor Ablauf des aktuellen Zeitraums gekündigt wird.
- Das Konto wird innerhalb von 24 Stunden vor dem Ende des aktuellen Zeitraums für die Verlängerung belastet.
- Die Abonnements können vom Nutzer verwaltet werden und die automatische Verlängerung kann nach dem Kauf in den iTunes-Kontoeinstellungen deaktiviert werden.

-----
Uns kontaktieren: service@widgetable.net
Dienstleistungsbedingungen: https://widgetable.net/terms
Datenschutzbestimmungen: https://widgetable.net/privacy

Uns folgen:
Instagram @widgetableapp
TikTok @widgetable",2022-08-27T07:00:00Z,2025-11-20T08:30:46Z
