country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
np,Nepal,Utilities,6002,1,1493013430,Nagarik App,"National Information Technology Center, Government of Nepal",https://apps.apple.com/np/app/nagarik-app/id1493013430?uo=4,0.0,2.98261,1438,Utilities,"Nagarik App (translation: Citizen App) is a mobile application launched by the Government of Nepal to provide government-related services in a single online platform. The app was developed to facilitate an easier, systematic, and simplified delivery of government services to Nepali citizens digitally. The app was launched to play a pivotal role in revolutionizing the way citizens interact with the government. It offers a wide spectrum of government services through a single unified platform, minimizing the need for citizens to navigate multiple channels or physical offices for their diverse needs of government services. The services are added gradually according to the needs and services required. The government aims to reduce the physical queues and the need to be physically present to get services from the different government offices and promote digital transactions. One can get services online round-the-clock even during holidays. As of now, 25 services are included in the app, ranging from Police Clearance Report to Voters Card.",2020-01-08T08:00:00Z,2025-10-29T01:50:01Z
np,Nepal,Utilities,6002,2,284815942,Google - More ways to search,Google LLC,https://apps.apple.com/np/app/google-more-ways-to-search/id284815942?uo=4,0.0,4.4915,18993,Utilities,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests and stay up to date with Discover.

• Use your camera to identify what you're looking at – whether that's a colourful butterfly, a spiky plant or anything else you're curious about.
• Translate over 100 languages on things like street signs, menus and any other words you can point your camera at.
• See something you like? Use your camera to find out where you can buy it.
• Refine your camera searches by adding words – whether you want those shoes but in 'blue', or want to learn how to 'repair' that broken piece on your bicycle.
• Search by singing, even when you've forgotten the lyrics. Hum a song into the Google app to find out what it is.
• Use your camera for homework help. With step-by-step guides and videos, you can learn ways to solve maths, chemistry, biology and physics problems.


Get personalised updates in Discover:
• Stay in the know about topics that interest you.
• Start your morning with weather and top news.
• Get real-time updates on sports, films and events.
• Know as soon as your favourite artists drop new albums.
• Get stories about your interests and hobbies.
• Follow interesting topics, straight from Search results.


Search safely and securely:
• All searches in the Google app are protected by encrypting the connection between your device and Google.
• Privacy controls are easy to find and use. Tap your profile picture to access your menu and delete recent search history from your account with one click.
• Search takes a proactive approach to filtering webspam to help ensure that you see safe, high-quality results.


More ways to access Google:
• Google Search widget — search from your home screen or lock screen with the new Google widget. Choose from two widgets, giving you a quick access search bar in both sizes, and other search shortcuts to choose from such as Lens, Voice and Incognito in the medium-sized widget.


Learn more about what the Google app can do for you: http://www.google.com/search/about

Privacy policy: https://www.google.com/policies/privacy

Your feedback helps us to create products that you'll love. Join a user research study here:

https://goo.gl/kKQn99",2019-02-12T08:00:00Z,2025-11-24T00:05:53Z
np,Nepal,Utilities,6002,3,535886823,Google Chrome,Google LLC,https://apps.apple.com/np/app/google-chrome/id535886823?uo=4,0.0,4.54418,20607,Utilities,"Chrome helps you do what's possible on the web. Download the fast, secure browser by Google.

GET THE BEST OF GOOGLE IN CHROME

• SEARCH WITH GOOGLE – search and get answers on Google fast. Use your voice to search hands-free.
• GOOGLE LENS – search what you see on your screen or with your camera.
• GOOGLE TRANSLATE – explore the web in 130+ languages. Translate entire websites in one click.

BROWSE WITH BEST-IN-CLASS SECURITY

• ENHANCED PROTECTION MODE – browse confidently with the highest level of Chrome's security.
• SAFETY CHECK – get peace of mind with proactive safety alerts.
• GOOGLE PASSWORD MANAGER – securely generate and save passwords for fast sign-in, and get alerts if your passwords are at risk.

ACCESS YOUR CHROME ACROSS DEVICES

• SYNC ACROSS DEVICES – save your things (like bookmarks, tabs and passwords) and easily access them when you sign in to Chrome on your phone, computer or tablet.
• TAB GROUPS – create tab groups to stay organised across devices.
• AUTOFILL – save time typing by autofilling your saved payments, addresses and passwords.",2012-06-28T19:57:38Z,2025-11-20T15:29:06Z
np,Nepal,Utilities,6002,4,1276952753,Hamro Nepali Keyboard,Hamro Patro,https://apps.apple.com/np/app/hamro-nepali-keyboard/id1276952753?uo=4,0.0,3.57163,719,Utilities,"Hamro Keyboard is a Nepali keyboard for all of us who love Nepali language. You can use this keyboard to write Nepali text in any app. No need to copy and paste.

With Hamro Nepali Keyboard, you can type Nepali directly to any app. We support three keyboard layouts, Unicode Transliteration, MPP based Romanized layout, and traditional layout. 

We also added Emoji support and Numeric Keypad. 

Now, Type in Nepali and help your friends to type in Nepali. Lets promote Nepali language by typing in Nepali.",2017-09-22T07:39:42Z,2023-01-27T18:50:52Z
np,Nepal,Utilities,6002,5,922410448,Ncell,NCELL PVT LTD,https://apps.apple.com/np/app/ncell/id922410448?uo=4,0.0,3.84137,1223,Utilities,"Ncell app provides you broad range of information, product, services and many more. 
You can do Online Recharge, Check Remaining Data, Buy Data Packs, Send 10 free SMS everyday, check call details and find offers specially designed for you.

Ncell application is free to use within Ncell network without any data charge.
Ncell Store Locator map and redirected pages will be charged as per standard data tariff.

Key Features of Ncell app:
- Automatically login with your mobile number
- Add secondary numbers in your account
- Check current balance
- Check remaining balance, data and voice packs
- Download bill and update your bill medium
- Online Recharge your or friend’s account
- Transfer balance to your friends and family
- Buy Data and Voice Packs and get recommendation
- Get best offer designed for you
- Send 10 free SMS everyday to any Ncell number
- Check your call details and transactions
- Create Trouble Ticket and track its status
- Find tariff rates for Roaming destination and activate the service.
- Find nearest location of Ncell Centre
- Free data charges after download except using Ncell Store Locator map and redirected pages.

Please note:
- This app is only available for Ncell subscribers.
- The application is available for free of cost on App Store. However, data usage charges will apply while downloading the app using mobile internet.
- Ncell application is free to use within Ncell network without any data charge. Data charges are applicable for usage outside Nepal or other network. Ncell Store Locator map and redirected pages will be charged as per standard data tariff.
- If you use the app outside Nepal, standard international charges will apply for the internet connection.",2014-10-21T08:29:28Z,2025-09-19T08:29:32Z
np,Nepal,Utilities,6002,6,448142450,Truecaller: Caller ID & Block,True Software Scandinavia AB,https://apps.apple.com/np/app/truecaller-caller-id-block/id448142450?uo=4,0.0,4.27264,4504,Utilities,"With Truecaller, you can easily identify and block spam calls or SMS and search for unknown numbers. Leveraging AI pattern analytics with community-based spam classifications from over 450 million users and offering a range of thoughtfully designed features, Truecaller ensures the safety and security of your communication like no other app.

#1 CALLER ID & SPAM BLOCKING APP WORLDWIDE

• An all new Caller ID experience on iPhone with iOS 18.2 and above
• Automatically identify spam, fraud, and robocalls before you pick up
• View & search previously identified calls in the Phone app
• Take advantage of the best spam call blocker for iPhone
• Enable spam identification and blocking by accessing Settings > Apps > Phone > Call Blocking & Identification
• A paid subscription is required to access this feature

TRUECALLER ASSISTANT: AI-POWERED CALL SCREENING*

• It uses machine learning and speech-to-text technology to ask questions to the caller, helping you find out who they are and the reason for the call
• Save time and enhance spam detection with the AI-powered Assistant that answers your calls
• Block the bad guys but take the calls that matter when opportunity rings
• Assistant performs live call screening, providing real-time information about the caller (personal, spam, robocall, etc), enabling you to make informed decisions
• Available in US, CA, AU, CL, ZA, SE and IL
• Supported on all major carriers
• A paid subscription is required to access this feature

IDENTIFY THE NAME OF ANY CALLER

• Enter any number to look up the name and other contact information. This feature works for both domestic and international numbers
• Look up phone numbers directly from your iPhone's call history using the action extension (Call Log > Share Contact > Search Truecaller)

TRUECALLER PREMIUM: UPGRADE AND LEVEL UP YOUR APP EXPERIENCE

• Remove all ads
• Unlimited number lookups
• Know who viewed your profile
• Family Plan - share your Premium account with up to 4 members
• Get the Premium badge on your profile
• Truecaller Assistant (US, CA, AU, CL, ZA, SE and IL)
• Auto-renewing subscription with a free trial for new users

Truecaller respects your right to privacy. Your phonebook is never made searchable or public.

Our terms of use: https://www.truecaller.com/terms-of-service

Please note: Payment for auto-renewing subscription to Truecaller Premium will be charged to your iTunes account upon purchase confirmation. Subscription can be managed and auto-renewal can be turned off by going to the Account Settings on your device. You must cancel at least 24 hours before your subscription ends to avoid renewal. Your account will be charged for renewal within 24 hours before the end of the current period.",2012-06-10T01:58:06Z,2025-11-17T12:07:26Z
np,Nepal,Utilities,6002,7,977544513,Nepal Telecom,KODIARY TECHNOLOGIES PVT.LTD.,https://apps.apple.com/np/app/nepal-telecom/id977544513?uo=4,0.0,3.86447,273,Utilities,"Nepal Telecom is state owned telecommunication service provider in Nepal. The central office of Nepal Telecom is located at Bhadrakali Plaza, Kathmandu. It has branches, exchanges and other offices in 184 locations within the country.
With this app, the Nepal Telecom users can get all the information regarding the offered services and organization. The users can also pay for the Telecom Services like Landline, ADSL, Prepaid, Postpaid through recharge cards or eSewa account. The utility payments are applicable for Nepal Telecom users only.",2015-04-04T19:50:56Z,2025-07-25T09:11:06Z
np,Nepal,Utilities,6002,8,6503602864,Diskwala,DISKWALA LLC,https://apps.apple.com/np/app/diskwala/id6503602864?uo=4,0.0,2.17647,17,Utilities,"Diskwala: Revolutionize Your Digital Storage and Collaboration

Welcome to Diskwala, the ultimate cloud storage and file-sharing service designed to cater to your every digital need. In the era where data is king, Diskwala stands out as a beacon of reliability, security, and innovation, offering users a seamless experience for storing, accessing, and sharing their digital content.

Why Diskwala?
Diskwala is not just another cloud storage service. It is a comprehensive solution that understands the dynamic needs of today's users - from individuals seeking to safeguard their personal memories to professionals and organizations looking for efficient collaboration tools.

Features at a Glance:

Unlimited Storage:
Really Unlimited Cloud Storage for all your data needs. Forever.

Ironclad Security: 
Your data's security is our top priority. With end-to-end encryption, secure data centers, and regular audits, we ensure your information remains confidential and safe.

Easy Sharing:
Share files and folders with anyone, anywhere, with just a link. Control access with customizable permissions, expiration dates, and password protection.

Cross-Platform Access:
Access your files from any device, anywhere. Our intuitive app and web interface mean your data is always at your fingertips.

Advanced File Management:
Organize your digital life with powerful file management tools. Search, tag, and filter your files with ease.

Security You Can Trust:
At Diskwala, we employ the latest in security technology to protect your data. From personal photos to sensitive corporate documents, we treat all data with the highest level of security. Our commitment to privacy means we never access or share your data without your consent.

Join the Diskwala Family:
Join millions of satisfied users who have made Diskwala their go-to for digital storage and collaboration. Experience the peace of mind that comes with knowing your data is in safe hands. With Diskwala, you're not just choosing a cloud storage provider; you're choosing a partner dedicated to protecting and facilitating your digital endeavors.

Start your Diskwala journey today and take the first step towards a more organized, secure, and collaborative digital experience.

Discover the Diskwala Difference:
Diskwala isn’t just a service; it’s a solution tailored to embrace the future of digital storage and collaboration. As we continuously evolve, our commitment to innovation, user satisfaction, and security remains steadfast. Our roadmap includes exciting features like AI-driven organization, enhanced collaborative tools, and even tighter security protocols to not just meet but exceed our users' expectations.

Why Wait? Join Diskwala Today:
Step into the future of cloud storage and collaboration with Diskwala. Sign up now and transform how you store, share, and collaborate on files. Your digital journey towards efficiency, security, and innovation starts with Diskwala.

Welcome aboard

**Terms Of Use: https://diskwala.com/app_tnc",2024-06-18T07:00:00Z,2025-11-05T22:47:07Z
np,Nepal,Utilities,6002,9,6747411315,Translate All - Text&Photo,"Fuzhou Jiange Technology Co.,Ltd.",https://apps.apple.com/np/app/translate-all-text-photo/id6747411315?uo=4,0.0,0,0,Utilities,"Text, voice, conversation and photo, multiple translation methods.

Break the language barrier! Translate All - Text&Photo is a powerful and convenient translation app that provides you with a full range of translation solutions. You can easily translate what you want anytime and anywhere. 
​
Core functions​:

Text translation: Supports text translation. Whether you are writing an email, browsing an article or reading a document, just enter or paste the text and translate it anytime and anywhere. The interface is simple and clear, and you can quickly get the information you need. ​

Voice translation: Built-in speech recognition technology, turn on voice input, say what you want to translate, and the app will automatically recognize and translate it into the target language. ​

Camera photo translation: Encountering printed text such as menus, road signs, and manuals that is difficult to understand? Use the camera translation function, aim at the target text and shoot, the app will recognize and translate it instantly, and the translation results will be directly displayed on the screen, so that you can see the text information in the surrounding environment at a glance, which is convenient for travel. ​

Dialogue translation: Designed for multi-person communication scenarios, after turning on the dialogue mode, the app can automatically distinguish the languages of different speakers and perform two-way translation in real time. Language differences will not affect communication.

Translate All - Text&Photo opens up a global communication journey for you with ease and convenience. Let language no longer be an obstacle for you to explore the world and communicate.",2025-06-20T07:00:00Z,2025-11-07T01:49:51Z
np,Nepal,Utilities,6002,10,1052879175,Brave Browser & Private Web,"Brave Software, Inc.",https://apps.apple.com/np/app/brave-browser-private-web/id1052879175?uo=4,0.0,4.58026,3819,Utilities,"Browse 3X faster on Brave Browser. You’ll get a fast, safe, private web browser with AI, Adblock, and VPN. 

Loved by over 100+ million users, Brave has an AI assistant Brave Leo, Firewall + VPN, Brave Wallet, Brave Search, Brave Playlist, and night mode.

NEW Features: 
• Brave Leo: AI assistant
• VPN + Firewall
• Brave Wallet. A secure multi-chain crypto wallet built into the browser.
• Brave Search. Search without being tracked. 
• Brave Playlist. Add media and play anytime, even offline. 
• Night Mode. Easily read in low light. 
• Voice Search. Initiate searches with your voice. 
• Brave News Widget. Stay updated on the latest news.

Additional Features:
• Built-in 3rd party Adblock
• Pop-up blocker
• Saves battery and data 
• Tracking protection
• HTTPS everywhere (for security)
• Script blocking
• Browsing history
• Private and recent tabs
• Blocks cookie consent notifications by default. 
• Use voice search in the browser.
• Import/export bookmarks to another browser.

NEW: AI ASSISTANT
Meet Brave Leo, the smart, free AI assistant in your browser. Ask answers, get answers, translate languages, and more. Leo doesn't record or share your chats, or use them for model training.

NEW: BRAVE WALLET
Buy, store, send, receive, and swap crypto with Brave’s secure Web3 wallet, built right into the browser. Support for Ethereum, Solana, BNB Chain, and more.

NEW: BRAVE SEARCH 
Brave Search is the only global-scale search engine built with privacy at its core. Brave Search doesn't profile you, and it's independent of Big Tech.

NEW: BRAVE PLAYLIST
Make a playlist of the content you love. Add almost any media and play anytime, anywhere, even offline, or with Apple CarPlay. 

FAST & SECURE
Get protected from ads infected with malware. Brave simply provides the fastest, most secure private browsing experience available.    
 
BATTERY & DATA OPTIMIZATION
Brave is proven to have a 2x to 4x speed increase on iOS, reducing both battery and data consumption.
  
PRIVACY PROTECTION
Be protected with leading privacy and security features such as HTTPS Everywhere (encrypted data traffic), script blocking, cookie blocking, and private incognito tabs. All other browsers fall short of the level of privacy and security protection that Brave provides.

DEFAULT BROWSER
Set Brave as your default browser! Select Settings - scroll down to select Brave - select Brave as the Default Browser App.

FIREWALL + VPN and AI Subscriptions
Price may vary by location. Subscriptions will be charged to your credit card through your iTunes account. Firewall + VPN subscriptions are offered for either 1 month or 1-year period. Brave Leo AI has a premium version offered at 1 month. All subscription plans will automatically renew unless canceled at least 24 hours before the end of the current period. You will not be able to cancel the subscription once activated. You can manage your subscription in Account Settings after purchase. Free trials may only be used once. Any unused portion of a free trial will be forfeited if you purchase a subscription.

ABOUT BRAVE
Our mission is to protect your privacy online by making a safe, fast, and private browser while growing ad revenue for content creators. Brave aims to transform the online ad ecosystem with micropayments and a new revenue-sharing solution to give users and publishers a better deal.

To learn more about Brave, visit https://www.brave.com

Questions/support? Email us at https://brave.com/msupport. We love hearing from you.

Enjoying the app? Please leave us a 5 star review! 

Terms of Use: https://brave.com/terms-of-use/
Privacy Policy: https://brave.com/privacy/",2016-02-19T18:55:32Z,2025-11-17T05:06:50Z
