country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
kw,Kuwait,Travel,6003,1,6502586159,USim: Travel eSIM & Internet,AMAS INTERNATIONAL COMPANY FOR WHOLESALE AND RETAIL TRADING WLL,https://apps.apple.com/kw/app/usim-travel-esim-internet/id6502586159?uo=4,0.0,3.85644,606,Travel,"Say goodbye to high roaming fees and the hassle of swapping SIM cards. With USim, enjoy the freedom of global connectivity at your fingertips. Download USim now and roam smarter!

Unlock seamless connectivity worldwide with USim! Whether you're traveling for business or leisure, USim ensures you stay connected without the hassle of high roaming charges or finding local SIM cards. Experience reliable, fast, and affordable data in over 100 countries, all managed through one convenient app.


-Global Coverage: Access data in over 100 countries with a single plan.
-Affordable Plans: Choose from a variety of data packages tailored to your needs and budget.
-Easy Management: Monitor your data usage, top up instantly, and manage your plans all in one app.
-Secure Connection: Enjoy safe and secure browsing with our encrypted network.
-24/7 Support: Get help anytime with our dedicated customer support team.

Why Choose USim?

-No Hidden Fees: Transparent pricing with no surprise charges.
-Instant Activation: Get connected as soon as you land, with instant activation.
-Flexible Options: Find the perfect fit for your travel itinerary.
-User-Friendly Interface: Simple, intuitive design for easy navigation and management.",2024-05-24T07:00:00Z,2025-11-11T08:17:13Z
kw,Kuwait,Travel,6003,2,928866584,Almosafer: Flights & Stays,ALMOSAFER FOR TRAVEL AND TOURISM COMPANY,https://apps.apple.com/kw/app/almosafer-flights-stays/id928866584?uo=4,0.0,4.76072,8935,Travel,"Planning a family holiday, business trip, or a getaway with friends? Use Saudi Arabia’s leading travel app for a seamless & personalised booking experience with secure and transparent payment options.

- Browse & filter over 1.5 million stays and flights at the best rates
- Discover a variety of hotels, resorts, hotel apartments, and more along with 3D tours and a round-up of exciting amenities & features.
- Get access to exclusive deals and offers with Almosafer
- Filter properties by location, price range, star rating, amenities and more
- Use special filters for stays in top locations, luxury or budget stays, family-friendly options and more
- Explore flight options with a wide range of airlines such as Saudia, flynas, Emirates, Kuwait Airways, Lufthansa and British Airways
- Sort flights by price range, number of stops and other factors
- Pay instantly & securely with credit cards, debit cards, mada (for KSA), Knet (for Kuwait) or in installments (for cards with select banks) 
- Choose to pay now, later or at the property.
- Earn or redeem points with Qitaf (for KSA) on Almosafer
- Make easy and secure payments with Apple Pay
- Book return flights with different airlines for Saudi domestic travel
- A personal account to manage and track your bookings
- Get 24/7 travel advisory in English & Arabic


Who we are:
Almosafer is the flagship brand of Seera Group’s Consumer Travel Business Unit, catering to the discerned needs of travellers from Saudi Arabia and beyond. With the heritage of being a homegrown business fuelled by Seera Group’s travel and tourism leadership in Saudi Arabia, the brand has developed a deep understanding of local travel needs, preferences and traveller segments. 

Providing stay options for over 1.5 million properties around the globe, flight bookings on over 450 airlines and complete holiday packages, and more, Almosafer boasts various convenient booking solutions for any type of travel need.",2014-10-24T07:56:02Z,2025-11-23T07:56:47Z
kw,Kuwait,Travel,6003,3,592978487,"Careem: rides, food, grocery",CAREEM NETWORKS FZ LLC,https://apps.apple.com/kw/app/careem-rides-food-grocery/id592978487?uo=4,0.0,4.6125,22498,Travel,"Meet Careem, the everything app for your everyday needs. Our playground — EAT, GET, GO & PAY - is the all-in-one app and has your back. Need to order your favorite meal? Stock up on groceries? Book a ride? It’s all just a tap away. Oh, and if you love a good deal, Careem Plus is your VIP pass to unlimited savings and exclusive perks.

EAT Whenever You Like
Don’t let food cravings ruin your day. Be it banana pancakes, burritos, or biriyani, with Careem, get your favorites delivered straight to your doorstep. Our food delivery app runs on quality, so you get the best food delivery. 
Looking for an easy food delivery service? We make ordering effortless, with real-time tracking so you know exactly when to set the table.
If you’re out and about, Careem Food lets you explore best restaurants with delicious discounts. Also, Careem Plus subscribers get to skip the delivery fee and enjoy exclusive savings. That’s more food, less fuss.

DINEOUT: Unlock Exclusive Restaurant Deals with Careem Plus
Enjoy up to 50% off at top restaurants with Careem DineOut. Whether it’s brunch, dinner, or a late-night feast, indulge in amazing meals while saving big. No vouchers, no hassle—just effortless dining and great discounts. Explore, book, and savor delicious food today!

GET Anything, Anytime with Careem Groceries
Careem Groceries is your all-in-one solution for groceries and more! Whether you're dealing with a late-night snack craving or a last-minute grocery emergency, Careem Groceries offers a quick delivery service that brings your essentials to your door in as little as 15 minutes. From fresh milk, eggs, and bread to your favorite snacks, Careem has everything you need, right when you need it. Trusted by millions, Careem Groceries makes grocery shopping effortless with over 1000+ items delivered right on time. Shop for milk, fresh fruits & vegetables, kitchen essentials, and more with ease. Enjoy a seamless app experience and high quality groceries delivered straight to your doorstep. 
- Best quality and price for fresh fruits & vegetables
- Milk, bread, butter, eggs, cheese, & other daily groceries
- Snacks, biscuits, chips, ice cream, chocolates, cold drinks
- Rice, Lentils, oil, spices
- Personal care, detergent, cleaning supplies
- Emergency medicines, thermometer
- Smartwatches, Laptops, Smartphones & PlayStation5

But that's not all! Careem also offers a range of additional services to make your life easier, including laundry services, home cleaning, and salon & spa bookings—all available right from the app. Whatever you need, Careem is here to deliver it fast and conveniently.

GO Anywhere With Ease.
Getting from A to B shouldn’t be a trauma. With Careem, you can book a ride in seconds or schedule a pick-up and drop-off for later. From Hala Taxi to private car services, there’s an option for every budget and mood. Want to beat traffic? Hop on a Careem Bike and cruise through the city. Ride tracking means you’ll always know exactly where you’re headed, and with instant booking, you won’t be left waiting.

PAY Anyone, Anywhere
Who carries cash anymore? With Careem Pay, splitting bills, sending money, and paying for services is as easy as ordering a ride. Settle up with friends, pay your bills, or send money across borders, all from your phone. It’s simple, seamless, and secure.

Brand Feature That Brings A Smile

All you need, one tap away
Rides, food, groceries, payments—whatever you need, Careem’s got it. 

Welcome perks that make you smile
First time? We’ve got deals waiting just for you! Unlock the best discounts with Careems hot offers and promos.

On time, every time
With our supercharged delivery network, your orders arrive exactly when they should. No delays, no drama!

Download Careem now and take back your time—because you’ve got better things to do!",2013-02-15T00:25:07Z,2025-11-24T07:02:55Z
kw,Kuwait,Travel,6003,4,368677368,Uber - Request a ride,"Uber Technologies, Inc.",https://apps.apple.com/kw/app/uber-request-a-ride/id368677368?uo=4,0.0,4.81087,32385,Travel,"Join the millions of riders who trust Uber for their everyday travel needs. Whether you’re running an errand across town or exploring a city far from home, getting there should be easy.

FIND THE RIDE YOU WANT
Find the perfect ride right at your fingertips! Uber is here to make your journey stress-free and enjoyable, whether you're requesting a taxi for a trip or arranging a train journey.

Pick from a wide range of travel options that the Uber app has to offer including:
UberX: Affordable, everyday rides
Lux: Luxury cars with top-rated drivers for premium travel experiences
Electric: Sustainable rides in electric vehicles for eco-friendly trips
UberXL: Rides for groups up to 6, perfect for family trips
Comfort: Newer cars with extra legroom to enhance your travel
Uber Pet: Ride with your pet
Reserve: Choose your exact pickup time up to 90 days in advance for planned trips
Exec: High-end cars with top-rated drivers, ideal for business travel
2-wheels: You can also bike or ride a scooter with the Uber app. Find a scooter to start riding today for quick trips
Assist: Special assistance from trained drivers for accessible travel
Access: Wheelchair accessible vehicles ensuring inclusivity in travel
Black Cab: travel with the iconic London taxi

UPFRONT PRICING
With Uber, you no longer need to worry about hidden costs or unexpected surprises. As you enter your destination in the app, you get upfront pricing and the estimated time of arrival, whether it's a taxi ride or train. 

SAFETY TOGETHER
Safety is a top priority at Uber. We have established comprehensive safety features to help ensure every rider and driver feels secure and comfortable in their travel and on trips.

AFFORDABLE PRICING
We’re doing all we can to make our pricing as transparent as possible.
Split Fare: Don’t worry about doing the math later—split the cost evenly while you’re still on the ride.

JOIN UBER ONE FOR EXCLUSIVE PERKS
Benefit from £0 Delivery Fee and up to 5% off eligible delivery and pickup orders, 5-10% off eligible rides, and £5 credit if our Latest Arrival Estimate on your order is off. Other fees & terms apply. For more details see uber.com/uberone.

RESERVE RIDES IN ADVANCE
Need a ride at a specific time? No problem! Uber allows you to reserve rides in advance, so you can plan your day with confidence. Extra wait time included to meet your ride. Cancel at no charge up to 60 minutes in advance.

TRAVEL
Get train, coach, and flight ticketing right on the Uber app. Get 10% back in Uber Credits and collect Avios when you book train, coach, and Eurostar trips. No booking fee. Make any flight flexible and refundable and avoid flight travel stress with flight disruption protection.

GO GREEN
Uber is committed to building a sustainable future for our cities. With a growing fleet of electric and hybrid vehicles, you can choose eco-friendly rides to reduce your carbon footprint.

RENT CARS
Whether you need a car today or later, the online booking experience will help you find the right vehicle for a family vacation, a weekend getaway, airport travel, and more. Get great prices & selection from the best rental companies.

MORE FEATURES
Delivery: Order food from your favourite restaurants through Uber Eats. Stock up on groceries, shop pharmacy, convenience, and pet supplies, and get them all delivered.
Uber Boat: Get fast, reliable river boat services in London. For commuters and visitors. Routes run from 24 piers across the capital.
Uber for Business: Manage and track business travel, meal programs, and more on one dashboard.

Uber is available in the following cities: London, Manchester, Leeds, Glasgow, and more. Check if Uber is available in your city at https://www.uber.com/cities. Stay updated on the latest news, promotions, and offers by following us on Twitter at https://twitter.com/uber and liking us on Facebook at https://www.facebook.com/uber. Uber content/messages human- or machine-translated as per device settings; accuracy not guaranteed.",2010-05-21T03:11:23Z,2025-11-17T14:30:34Z
kw,Kuwait,Travel,6003,5,1475911720,Airalo: eSIM Travel & Internet,Airgsm Pte. Ltd.,https://apps.apple.com/kw/app/airalo-esim-travel-internet/id1475911720?uo=4,0.0,4.63733,4624,Travel,"Stay connected wherever you travel. With an Airalo eSIM (digital SIM), you can connect like a local in 200+ countries and regions worldwide. Install an eSIM and get online in minutes. No roaming fees — just easy, affordable, global connectivity.

What is an eSIM?
An eSIM is an embedded SIM card. It's built into your phone's hardware and functions like a physical SIM. But it works 100% digitally.

Instead of dealing with a physical SIM card, you can purchase an eSIM, install it on your device, and instantly connect to a mobile network at your destination.

What is an Airalo eSIM plan?
An Airalo eSIM plan gives you access to mobile data, call, and text services. You can choose a prepaid local, regional, or global eSIM plan to get online in 200+ countries and regions worldwide. Simply download an eSIM, install it on your device, and connect to a mobile network when you arrive at your destination!

How does it work?
1. Install the Airalo app.
2. Purchase an eSIM plan for your travel destination.
3. Install the eSIM.
4. Turn on your eSIM and connect to the internet upon arrival.

Available for 200+ countries and regions, including: 
- United States
- United Kingdom
- Turkey
- Italy
- France
- Spain
- Japan
- Germany
- Canada
- Thailand
- Portugal
- Morocco
- Colombia
- India
- South Africa

Why Airalo?
- Stay connected in 200+ countries and regions.
- Install and activate an eSIM in minutes.
- Affordable eSIM plans with no hidden fees.
- Choose from local, regional, and global eSIMs.
- Call, text, and access data with a Discover+ global eSIM.

Why travelers love eSIMs:
- Easy, affordable, instant connectivity.
- 100% digital. No need to fuss with physical SIM cards or Wi-Fi devices.
- No hidden fees or surprise roaming charges.
- Store multiple eSIMs on a single device.
- Add and switch eSIM plans on the go.


eSIM FAQ
What does an Airalo eSIM plan come with?
- An Airalo package comes with data (e.g., 1GB, 3GB, 5GB, etc.) valid for a specified time period (e.g., 7 days, 15 days, 30 days, etc.). If you run out of data or your validity period expires, you can top up your eSIM or download a new one right from the Airalo app.

How much does it cost?
- eSIMs from Airalo start from US$4.50 for 1GB of data.

Does an eSIM come with a number?
- Some eSIMs, including our Global Discover+ eSIM, come with a phone number so you can call, text, and access data. Check your eSIM's description for details. 

What devices are ready?
- You can find a regularly updated list of eSIM-compatible devices at this link:
https://www.airalo.com/help/about-airalo/what-devices-support-esim 

Who is Airalo best for?
- Anyone who travels, whether it's for business or vacation.
- Digital nomads who need to stay connected to work while abroad.
- Crew members (e.g., seafarers, flight attendants, etc.) who need to stay connected while they travel.
- Anyone who wants an easy and affordable data alternative to their home network.

Can I use my SIM card at the same time?
Yes! Most devices allow you to use multiple SIMs and/or eSIMs simultaneously. You can keep your primary line active to receive text messages, calls, and 2FA authentication (but remember, they'll be subject to roaming fees).


Happy travels!

–

Learn more about eSIMs and Airalo:
Airalo Website: www.airalo.com
Airalo Blog: www.airalo.com/blog
Help Center: www.airalo.com/help  

Join the Airalo community! 
Follow @airalocom on Instagram, Facebook, TikTok, Twitter, and LinkedIn.

Privacy Policy
www.airalo.com/more-info/privacy-policy

Terms & Conditions
www.airalo.com/more-info/terms-conditions",2019-10-11T07:00:00Z,2025-11-03T10:02:46Z
kw,Kuwait,Travel,6003,6,519376634,Jazeera Airways,Jazeera Airways Co. KSC,https://apps.apple.com/kw/app/jazeera-airways/id519376634?uo=4,0.0,3.59124,548,Travel,"Connect anytime, anywhere and manage your travel on the go.

From flight bookings to purchasing our travel extras and accessing all of it through your very own space on the App.

Our App features include:

1. Flight bookings: Buy flight tickets through the App.

2. Manage your bookings: Manage and change your bookings, should your plans change.

3. Bilingual support: Available in both Arabic and English.

4. Express check-in: Scan and upload your documents in your account for speedier check-in

And much more!",2012-04-18T20:16:18Z,2025-11-13T09:41:04Z
kw,Kuwait,Travel,6003,7,1571919732,WIYAK: Your Journey Your Story,Wiyak For Delivery of Consumables,https://apps.apple.com/kw/app/wiyak-your-journey-your-story/id1571919732?uo=4,0.0,4.74795,5241,Travel,"With WIYAK, every ride is an opportunity to discover new sights, forge new relationships, and embrace new adventures.  All from the comfort and safety of your back seat.  

WIYAK On Every Occasion

- Rides: Get an instant ride wherever and whenever you need one. 

- Rentals: Book a rental with chauffeur service for up to 24 hours be it for a long business meeting, a shopping trip, or a day out with your friends.

- Butler: Benefit from instant delivery service straight whether you need something picked up or purchased, we've got you covered.

- Corporate: Drive your business forward and get your team where they need to be using WIYAK's corporate solution.



The WIYAK Way



- Awesome Set of Wheels: Benefit from a range of premium vehicle categories based on your needs and preferences.  Our cars are safe, clean, comfortable, and connected so that the most is made out of every ride. 



- Professional Chauffeurs: Our chauffeurs go through a rigorous training process to guarantee you an enjoyable and safe ride experience every time.



- Multiple Payment Options: Whether you want to pay by cash, credit card, or even half half we've got you covered. 



- Around the Clock Service: 24/7 service.  We are committed to providing high quality experiences from the time our app is opened until the end of your journey.",2021-06-16T07:00:00Z,2025-11-21T15:52:18Z
kw,Kuwait,Travel,6003,8,1006385313,Kuwait Airways,KUWAIT AIRWAYS CORPORATION K.S.C.,https://apps.apple.com/kw/app/kuwait-airways/id1006385313?uo=4,0.0,4.38604,3396,Travel,"Now you can conveniently Book Flights, Check Flight Status, Manage Your Booking and Check In Online! 

Application features: 
•	Book one-way and return journeys.

•	Search by flexible dates.

•	Up-to-date flight status and Route Map

•	NOTIFICATIONS : Get notified on promotions and special offers

•	HOME PAGE: The Home Page is more flexible and dynamic than ever, changing with your needs and displaying the most relevant information.

•	UPCOMING TRIP: Check the countdown and details of your next trip. 

•	RECENT SEARCH: Your Recent Searched flights are stored and displayed on the Home Page.

•	CONTACT US in the Menu List: You may contact us via WhatsApp or send in your comments and feedback through Contact Us page.

•	FEEDBACK: Now you can provide your feedback directly to us on completion of your booking.

•	Worldwide Kuwait Airways offices

•	Various price options to get the best fare

•	K-NET, VISA, MasterCard, AMEX and UATP payment options

•	Manage your booking with options of seat selection, meal request, special handling, etc.
•	Ability to do Online check in",2015-06-25T19:37:32Z,2025-11-19T09:47:22Z
kw,Kuwait,Travel,6003,9,751096907,Wego Flights & Hotels Booking,WEGO PTE. LTD.,https://apps.apple.com/kw/app/wego-flights-hotels-booking/id751096907?uo=4,0.0,4.60424,14908,Travel,"Wego: The Best Travel Deals in The Universe

Find Your Perfect Getaway

Wego is the ultimate travel app, whether you're seeking a spontaneous weekend escape or planning your dream vacation. Search, compare, and book amazing flight and hotel deals —all in one convenient app.

Reasons to Love Wego

Fast & Powerful Flight Search: Instantly compare real-time flight deals from hundreds of airlines and travel sites. Find the lowest prices and book your flights with ease.

Thousands of Hotels & Accommodations deals: Book your ideal stay at incredible prices. Read genuine traveler reviews and choose from a variety of accommodations to suit all tastes and budgets.

Promo Codes & Discounts: Take advantage of special offers for even more savings. Unlock exclusive promo codes directly in the app for additional discounts on flights and hotels.

Dedicated 24/7 Customer Support: Need help? Contact our support team 24/7 via in-app chat, WhatsApp, phone, live chat, or email. We're here to assist you with any booking changes or questions you may have and ensure your trip goes smoothly!

Discover Price Trends: Find the best time to book with Wego’s Price Trends. See how flight and hotel prices change throughout the year so you can plan your trip and save.

Featured Destinations: Get inspired with curated travel recommendations, including trending destinations and weekend getaway ideas. Find your next adventure, whether you're looking for a beach vacation or a cultural experience.

Plan & Manage Your Trips: Keep all your travel information organized. From flight bookings to hotel reservations, Wego helps you manage every aspect of your trip.

Personalized Travel Stories & Content: Stay up-to-date with the latest travel tips, visa information, and destination insights. Discover new places with daily travel stories from around the world.

Your Next Adventure Starts Here

Join millions of travelers who rely on Wego for a faster, smarter, and more rewarding travel booking experience. Find new destinations, unlock incredible deals, and plan your next trip with confidence.

Download Wego today and start exploring!",2014-03-14T16:38:44Z,2025-11-06T05:42:49Z
kw,Kuwait,Travel,6003,10,6469515422,Nusuk | نسك,Ministry of Hajj and Umrah,https://apps.apple.com/kw/app/nusuk-%D9%86%D8%B3%D9%83/id6469515422?uo=4,0.0,4.58631,1651,Travel,"Nusuk app is designed as a loyal guide on your spiritual journey, shedding light on every step, from the initiation of the ritual to its culmination. 
The application provides an exceptional digital experience, helping travelers plan their journey, coordinate arrivals and departures, navigate transportation, and carry out sacred rituals at the Two Holy Mosques.",2024-01-07T08:00:00Z,2025-11-17T13:03:45Z
