country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
mm,Myanmar,Lifestyle,6012,1,429047995,Pinterest: Lifestyle Ideas,"Pinterest, Inc.",https://apps.apple.com/mm/app/pinterest-lifestyle-ideas/id429047995?uo=4,0.0,4.62133,3029,Lifestyle,"Pinterest is a place of endless possibilities. You can:
- Discover everyday inspiration
- Shop styles you love
- Try and learn something new

Create boards, save Pins and make collages of all your inspiration. Unlock billions of ideas, from fashion tips and easy recipes to DIY projects and fresh ways to redo your space. Creating the life you love? 

It's Possible.",2020-04-10T07:00:00Z,2025-11-19T16:28:23Z
mm,Myanmar,Lifestyle,6012,2,1127692604,Couple Widget : Love Countdown,Jae Young Kim,https://apps.apple.com/mm/app/couple-widget-love-countdown/id1127692604?uo=4,0.0,4.41367,278,Lifestyle,"Looking for the perfect love app?

Couple Widget lets you check your days together and automatically reminds you of special anniversaries. Record your Love Story and first moments, then share them with your partner to stay close.

With Couple Widget:

* Keep every moment: a “Days Together” counter that shows your time in real time from the first day to now

* Never miss an anniversary: reminders for 10/100 days, the day before, and more

* Love Story: a couple’s diary to record memories with photos

* First Moments: record your first memories together and express the feeling with emojis

* Couple Connect: stay close by commenting on and liking each other’s posts

* Personalize your widget: create your own Home Screen with themes and couple photos

* Simple & intuitive: anyone can add and edit widgets with ease

* Couple Calendar: see anniversaries at a glance and write freely!

Download Couple Widget and make every day a little more special!",2020-04-12T07:00:00Z,2025-11-22T04:41:40Z
mm,Myanmar,Lifestyle,6012,3,333206289,Alipay - Simplify Your Life,"Alipay (Hangzhou) Technology Co., Ltd.",https://apps.apple.com/mm/app/alipay-simplify-your-life/id333206289?uo=4,0.0,4.19048,21,Lifestyle,"Alipay is a leading open platform for payments and digital services in China.

Users with a Chinese ID and bank account can use Alipay to make payments online and in person at various merchants outside of China as they travel for leisure, business, or study. 

Foreign visitors to China can connect their credit card to take advantage of Alipay’s widespread acceptance by tens of millions of merchants across the country. Alipay is not designed or intended for use by foreign users in their home country or anywhere outside of China.",2020-04-13T07:00:00Z,2025-11-20T03:00:12Z
mm,Myanmar,Lifestyle,6012,4,1502816249,Makro Myanmar,CP Axtra Public Company Limited,https://apps.apple.com/mm/app/makro-myanmar/id1502816249?uo=4,0.0,5,5,Lifestyle,"Makro Myanmar is an application of promotions and services. Easy to browse, search, get product detail.

Features:
- Get alerts about makro news & activity.
- Purchase the products from makro click.
- Find nearest makro store.

Enjoy it!",2020-04-13T07:00:00Z,2024-01-25T09:02:40Z
mm,Myanmar,Lifestyle,6012,5,351331194,Badoo: Dating app & Friends,Badoo Software Ltd,https://apps.apple.com/mm/app/badoo-dating-app-friends/id351331194?uo=4,0.0,4.625,96,Lifestyle,"Boost your dating confidence with Badoo— the dating app that makes it easy to express your true self.
 
It’s an encouraging, safe space that’s designed to help you make more meaningful connections.
 
How? By keeping it simple, helping you take action with confidence, and giving you the features and support you need to find whatever you’re searching for. Whether that’s dates, a long-term relationship, new friends, or chats.

Plus, with our latest tech that aims to block fake, scam, and spam accounts, you can say hello to a fun and authentic dating experience. 
 
Download Badoo to take your dating confidence to another level.""

Back yourself
On Badoo, it’s all about celebrating you and staying true to your needs. With our various features, it’s easy to put yourself out there with confidence.
Trust your experience
Badoo is a platform that prioritises authenticity. Profile photos can be verified and there are strict user guidelines in place.

How Badoo works
Focusing on who you are and what you want, here are some features making it easier for you to meet your kind of people:  
-Advanced Filters: Finesse your search, and save your time
-Profile Questions: Easily champion your personality
- People Nearby: Meet daters around you
- Encounters: Straight forward swiping, right to connect and left for skip
- Video Chat: Connect with your matches through face to face video calling
- Verified profiles: We have a three-step verification process which, once completed, you can choose to only interact with other verified profiles and find friends
- Blur intimate photos: Using AI, our Private Detector feature detects explicit photos and will let you decide if you want to view or block the image
- Deception Detector: Our new tech that aims to block fake, scam, and spam accounts, so you can have a fun and authentic dating experience""

Go Premium
Maximise your dating experience. When you upgrade to Badoo Premium, you’ll unlock plenty of features that will make it even easier to find meaningful connections:

- See who's already liked you
- Find exactly what you’re looking for with unlimited Advanced Filters
- Get your messages read first
- Send unlimited likes
 - Control who sees your profile with Invisible Mode
- Undo accidental left swipes  
- And much more...

The price varies by country and may change without notice, but you can always see the exact price in the app. We will charge your card and your subscription will be automatically renewed unless you deactivate the automatic recharge a minimum of 24 hours before the end of your current subscription period. Badoo Premium is flexible and adapts to your needs - you can cancel your subscription at any time.
 
For more information, read our Privacy Policy and Terms of Use:
https://www.badoo.com/privacy
https://badoo.com/terms
 

Bumble Inc. is the parent company of Badoo, along with Bumble and Fruitz",2022-01-19T08:00:00Z,2025-11-17T01:03:35Z
mm,Myanmar,Lifestyle,6012,6,547702041,Tinder Dating App: Meet & Date,Tinder LLC,https://apps.apple.com/mm/app/tinder-dating-app-meet-date/id547702041?uo=4,0.0,4.51022,1076,Lifestyle,"MATCH, CHAT & DATE. IT STARTS WITH A SWIPE™.
With 97+ billion matches to date, Tinder® is the top free dating app and the best place to meet new people, with safety features that work to help you date more safely. Looking for love? An open relationship? Trying to find a date or new friends to chat with? Connect with local people everywhere on Tinder and get the best out of your dating experience:

Come As You Are: whether you're straight, gay, bisexual or anything in between, you can be who you are and find who you want on Tinder.
Date Beyond Photos: share your interests and learn more about your matches to get the conversation started.
Seek What You’re Looking For: set your relationship goals and make connections on your terms.

HOW TINDER WORKS
It’s easy and fun to find new people on Tinder®. Express yourself to make your personality shine in your profile and stand out to potential matches. Answer a prompt, share a little about you and show your face in your pics to increase your match-making potential. Use the Swipe Right™ feature to like and the Swipe Left™ feature to nope. If they like you back, It’s a Match! And with our double opt-in feature, it’s only a match if the interest is mutual.

PUT SAFETY FIRST
Try some of our safety features to help you make connections more confidently:

– Share My Date: share date plans with friends and fam, so they know who you’re planning to meet up with and where
– Get Photo Verified: verify your photos to help potential matches know it’s really you in that cute pic & increase your chances of matching
– Are You Sure / Does This Bother You: Tinder detects inappropriate language so people think twice before sending a disrespectful message
– Report a Profile: quickly report and block profiles with suspicious activity or inappropriate behaviour
– Block Contacts: take control and block anyone (like an ex) you don’t want to see on the app
– Video Chat: hitting it off in chat? Test your online dating chemistry and meet new people from home!

TRY TINDER PLUS
– Unlimited likes for you to catch feelings for as many new people as you want
– Use Passport Mode™ to match and chat with locals anywhere in the world before you arrive
– Unlimited Rewinds to undo your last like or nope
– Go Incognito and be seen only by the people you like

EXPERIENCE TINDER GOLD
– Get everything in Tinder Plus™, and try it out for a week before you commit to a monthly subscription
– See who likes you and match with them on the spot for faster connections
– Monthly Boost puts your profile to the top for 30 minutes to help increase your profile views
– Weekly Super Likes, because sometimes you really, really like someone

UPGRADE TO TINDER PLATINUM
Get most of Tinder’s premium features: join Tinder Platinum™ to get your likes prioritised with potential matches, send them a compliment before matching and more.

So what are you waiting for? Join millions of people worldwide! Tinder offers the most daters, increasing your chances of finding exactly what you're looking for. Download the best free dating app today!

––––––––––––––––––––
If you choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, payment will be charged to your Apple account, and your account will be charged for renewal within 24 hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the App Store after purchase. No cancellation of the current subscription is allowed during the active subscription period. If you don’t choose to purchase Tinder Plus®, Tinder Gold™ or Tinder Platinum™, you can simply continue using Tinder for free.

All photos are of models and used for illustrative purposes only.

Privacy: https://www.gotinder.com/privacy
Terms: https://www.gotinder.com/terms
Visit: https://www.tinderlove.com/",2020-04-10T07:00:00Z,2025-11-20T18:10:28Z
mm,Myanmar,Lifestyle,6012,7,539392422,Been Together(Ad),Been Together Inc.,https://apps.apple.com/mm/app/been-together-ad/id539392422?uo=4,0.0,4.45556,90,Lifestyle,"Couples D-day app used by over 20 million people (Since 2012)
Check the time spent with loved ones, birthdays of friends and parents, exam D-Day, and more, all at a glance.
You can check special days such as 100 days and 1 year through notifications.
Now, don't forget the anniversary.

[Feature]
+ Manage 10+ anniversary registrations
+ 50+ anniversary themes
  - Couple anniversary
  - Wedding anniversary
  - Baby's birthday and due date
  - Birthday
  - Anniversary with friends
  - Diet target date
  - Salary day
  - Date of travel
  - Test day
  - Christmas
+ 15+ background music
  - classic, hip-hop, pop, electronic, etc.
+ Create your own special screen by changing the picture and name
+ Show your anniversary on the notification center! (Add from the Edit screen of Today tab)

* The ability to show anniversary counts on app badges is no longer provided due to Apple policy.

# Premium Subscription Service Information
Our premium subscription service supports enhanced app experiences and development. During the subscription period, in-app ads will be removed and we will provide support to help developers create more stable apps.

To use our premium service, a membership registration is required. Subscriptions can be cancelled at any time, and the benefits will continue to be available until the end of the current subscription period. Please note that fees will be charged to your Apple account upon confirmation of purchase or at the end of the free trial period.

If automatic renewal is not cancelled 24 hours before the subscription period ends, the subscription will be automatically renewed and the fee will be charged. After purchasing, you can manage your subscription and turn off automatic renewal in ""Settings > App Store > Apple ID > View Apple ID > Subscriptions.""

Our premium subscription service can significantly contribute to improving app usage and quality. The subscription revenue is actively reflected in continuous app updates and maintenance, as well as the addition of new features and improvements. This enables us to strive to provide the best possible user experience to our customers.

If you have any questions or requests regarding the use of our service, please feel free to contact us at dev@beentogether.us.

Thank you.

- This version is Ad-Supported -",2020-04-11T07:00:00Z,2025-10-31T00:18:46Z
mm,Myanmar,Lifestyle,6012,8,1596585897,Thitsarparami,Khin Wit Yee Htun,https://apps.apple.com/mm/app/thitsarparami/id1596585897?uo=4,0.0,4.45,20,Lifestyle,"The Thitsarparami mobile app is a religious application designed specifically for Myanmar users. This app serves as a convenient tool for Myanmar people to listen to Dharma mp3s anywhere and anytime, as long as an internet connection is available.

With this app, users can watch and listen to LIVE Dhamma talks by Thitsarparami Sayadaw every Sunday, based on Singapore Time. Additionally, we have curated a collection of renowned Sayadaws' Dhamma mp3s, including Dr. Ashin Nandamalabhivamsa, Sitagu Sayadaw, Pilot Sayadaw, and many more.

The Thitsarparami app is completely free of charge, and we are grateful for all the support we receive. Download the app now and immerse yourself in the teachings of Dhamma through a wide range of mp3s. Enjoy the spiritual journey with us!",2022-04-06T07:00:00Z,2025-11-03T18:21:40Z
mm,Myanmar,Lifestyle,6012,9,1170963853,Been Love Memory -Love Counter,Dat Do,https://apps.apple.com/mm/app/been-love-memory-love-counter/id1170963853?uo=4,0.0,4.6592,1294,Lifestyle,"- Been Love Memory - Love Counter Widget - how long have you been together 2024?

- Been Love Memory - Love Counter: Application has reached 5 million downloads in 2024

- Been Love Memory - Been Love Memory - Love counter 2024 - See how many days you have been together, love days counter, been together day counter, couple tracker love days. Manage and remember important anniversaries for you and your partner!

- How long have you been together ? How long have you been with your lover? 365 days or 730 days or even longer?

- Decorate the anniversary with a precious lovely person by the widget with photos.

- Application Been Love Memory - Love counter will help you check the love day, been together days, couple tracker love days, count the number of days that you've been together! It is interesting, right?

#Features of Been Love Memory - Lovedays counter 2024:

- Been Love Memory add more stylish Fonts

- Custom 20 Theme Colors

- Store Love Story Annivesary with My Love: Christmas, New Year, Holiday... has been together

- Show Been Together Days, love counter, relationship days counter XXXdays

- Remember love day anniversary, couple tracker love days on Widget

- Show love counter, been together day percents via graph (animation water ball )

- Select background, wallpaper devices

- Custom change text Color

- Select background wallpaper from camera/ gallery

- The graph shows the percentage of love days been together

- Choose an avatar via camera / gallery

- Share on Facebook

- Supporting Multiple Languages English and Vietnamese, Turkish

- App available on IOS platform

- With Been Love Memory 365 - Love Days Counter Appliction you will:

- How many days count you been together with your boyfriend or girlfriend?

- Love days counter, been together love days counter and couple tracker love days

- See how many days you have been together valentine's day, relationship days counter alert daily

- With this application your lover will be always with you! Thanks

# Follow Been Love Memory - Love days counter 2024:

- Email: beenlovememory.app@gmail.com
- Facebook Page: https://fb.com/beenlovememory
- Instagram: https://www.instagram.com/beenlovememory",2020-04-19T07:00:00Z,2025-08-12T08:10:35Z
mm,Myanmar,Lifestyle,6012,10,366758142,dtac,TRUE CORPORATION PUBLIC COMPANY LIMITED,https://apps.apple.com/mm/app/dtac/id366758142?uo=4,0.0,4.5,20,Lifestyle,"dtac app, lifestyle application beyond telco connectivity for all customer

All new dtac app - now for everyone! Enjoy all the deals and services from dtac in our brand new app! 

Besides checking your usage, pay bill and refill. You can now also explore all the good deals on: 

Super value topping with exclusivity deal

dtac Rewards - we offer variety of freebie and promotion that suit your needs 

Beyond connectivity 
- gaming nation, you can top-up your game with the best deal ever.
- d Surance, easiest way to be protected just a click away in dtac app.
- security, our mission is to protect you from scam and phisihing that approach to you on your phone.

Jaidee service: we offer you our support for you to stay connected even you ran out of budget.",2020-04-10T07:00:00Z,2025-11-18T23:54:46Z
