country,country_name,category,genre_id,rank,app_id,app_name,developer,url,price,averageUserRating,userRatingCount,primaryGenreName,description,launch_date,update_date
pa,Panama,Sports,6004,1,1641838466,Tigo Sports Panamá,Grupo de Comunicaciones Digitales S.A.,https://apps.apple.com/pa/app/tigo-sports-panam%C3%A1/id1641838466?uo=4,0.0,2.36937,111,Sports,"En Tigo Sports Panamá encontrarás toda la información del deporte local e internacional.

Aquí podrás disfrutar la transmisión en vivo de los partidos de la Liga Panameña de Fútbol, también tendremos partidos de la LFF y Liga Prom. Resúmenes de los juegos, análisis, estadísticas y contenido exclusivo de nuestro fútbol. Además de las ligas internacionales.

Descarga la aplicación y activa las notificaciones para que estés al día y vivas al máximo la pasión por los deportes.

IMPORTANTE: Los eventos en vivo estarán disponibles solo para clientes Tigo",2022-10-13T07:00:00Z,2023-07-27T14:20:58Z
pa,Panama,Sports,6004,2,1447215452,HryFine,"Shenzhen United Power Technology Co., Ltd.",https://apps.apple.com/pa/app/hryfine/id1447215452?uo=4,0.0,3.64286,14,Sports,"****Hryfine bracelets are non-medical devices. The measurement data and results are for reference only, not for diagnosis and treatment. * * * * *

Special Reminder: APP data is for reference only and is not used as a medical diagnosis. You should consult your doctor before using APP and making any medical decisions.

1, Home Sports: record your exercise data, set exercise goals and calculate whether the goal is achieved, steps, distance, calorie consumption, etc.;

2. Sleep monitoring: it can record the sleep duration and sleep quality in the set period, and count the duration of deep sleep, light sleep and awake, so that you can improve the sleep quality;

3. When the phone searches for the bracelet, the bracelet vibrates. Find the phone through the bracelet, phone vibration and ring reminder, in case of loss.

4. It can remind the user of important information such as call, SMS, WeChat and so on when connecting with the bracelet, to prevent missing important information, etc.;

5. Set an intelligent alarm clock for the bracelet to remind you of sitting for a long time. The bracelet vibrates to remind you to reduce the problems caused by sitting for a long time

6, Remote control photography mode, anytime and anywhere to record the beautiful moment

7, statistics your daily, monthly, weekly exercise, sleep, data display at a glance

8. You can set the bracelet to turn the wrist to light up the screen and light up the screen easily

9. Sports data report: make statistics of your sports data and average data in the last 30 days, as well as your sports standards in the last seven days, and generate reports for easy viewing of sports trends",2018-12-19T07:49:20Z,2025-11-19T01:42:17Z
pa,Panama,Sports,6004,3,1129523589,DAZN: Stream Live Sports,DAZN Limited,https://apps.apple.com/pa/app/dazn-stream-live-sports/id1129523589?uo=4,0.0,4.83681,2782,Sports,"DAZN es la única plataforma global dedicada exclusivamente al entretenimiento deportivo. Integramos de manera única toda la experiencia del fan en un solo lugar: para mirar, jugar y socializar.
 
Mira en cualquier momento, en cualquier lugar.

Vive el deporte como nunca antes lo has vivido. Mira en vivo o bajo demanda tus eventos favoritos, en cualquier dispositivo y desde cualquier parte del mundo. DAZN te lleva el deporte estés donde estés.
 
Disfruta de FanZone y mucho más
Sumérgete en la acción con FanZone. Chatea en vivo, envía reacciones y conéctate en tiempo real con otros fanáticos. Es tu asiento en primera fila al corazón del juego.
 
La Casa del Mundial de Clubes de la FIFA
Llega el Mundial de Clubes de la FIFA 2025: un torneo completamente nuevo que reúne a los 32 mejores equipos de fútbol del mundo para coronar al mejor club del planeta. Los campeones serán coronados. Se ganarán el derecho a presumirlo mundialmente. Y, al igual que el torneo, los participantes tendrán que esperar cuatro años para tener otra oportunidad. Acompáñanos del 14 de junio al 13 de julio para vivir toda la emoción.
 
DAZN te ofrece la experiencia definitiva de streaming deportivo, con un mundo de contenido disponible en cualquier momento y lugar:
Sumérgete en la “Casa del Boxeo”, con los mejores eventos, veladas, perfiles de peleadores y contenido exclusivo, incluyendo el Bare Knuckle Fighting Championship (BKFC).

Mantente al día con la función “Calendario”, que te permite configurar alertas para tus juegos favoritos en deportes como fútbol americano, baloncesto y tenis.

Navega fácilmente con la nueva barra de subnavegación para acceder rápidamente a tus competiciones favoritas, como el fútbol masculino y femenino, incluyendo la Liga F, la Frauen-Bundesliga y el Mundial de Clubes de la FIFA.

Consulta en tiempo real “Estadísticas y Resultados” de todos los juegos, incluyendo fútbol, la National League y torneos importantes como el NFL Game Pass y Courtside 1891.

Explora las “Carteleras” completas para eventos de boxeo y MMA, incluyendo la Professional Fighters League (PFL), y vuelve a ver los combates pasados con un solo clic.

Interactúa con otros fans en la “FanZone” animando, chateando, enviando reacciones y participando en encuestas.

Administra fácilmente tu cuenta con la sección de perfil actualizada.
Explora y mira una variedad de canales en vivo con la función de guía de programación (EPG), que incluye contenido de Red Bull TV o Padel TIME TV y emocionantes eventos como la Riyadh Season.

DAZN cuenta con el portafolio de derechos de transmisión deportiva más grande del mundo, que incluye:
Peleas históricas de Matchroom Promotions, Queensberry, Golden Boy Promotions y BKFC.
Acceso exclusivo al NFL Game Pass, con todos los partidos de la NFL y cobertura de fútbol americano y fútbol.
Acción de baloncesto, incluyendo Courtside 1891 y ligas como la National League.
Lo mejor del fútbol femenino en vivo, incluyendo Liga F, NWSL y Frauen-Bundesliga.
Contenido emocionante de MMA con Professional Fighters League (PFL), Naciones MMA, entre otros.
Deportes únicos como el pádel, torneos globales de tenis y eventos diversos como la Riyadh Season.
Más de 10 canales lineales de TV disponibles las 24/7 en nuestra plataforma, incluyendo Red Bull TV, Matchroom Snooker, Lacrosse TV, y más.
Mira todos los partidos del Mundial de Clubes de la FIFA, en exclusiva por DAZN, donde 32 de los mejores clubes del mundo compiten por la gloria global.
 
DAZN es tu puerta de entrada al deporte, llevándote más cerca de la acción como nunca antes.

Términos de uso: https://www.dazn.com/en-US/help/articles/pp-tcs-all
Política de privacidad: https://www.dazn.com/en-US/help/articles/pp-tcs-all",2020-11-12T08:00:00Z,2025-11-18T16:52:07Z
pa,Panama,Sports,6004,4,1563981593,BETCHA.PA,"ONJOC, CORP",https://apps.apple.com/pa/app/betcha-pa/id1563981593?uo=4,0.0,3.67785,149,Sports,"Sitio en línea de apuestas deportivas donde podrás apostar en tu deporte favorito de manera sencilla, ¡tenemos todos los deportes! desde la Liga Panameña de Fútbol, Ligas Europeas, baloncesto, futbol americano y más.",2021-06-14T07:00:00Z,2025-06-02T21:04:25Z
pa,Panama,Sports,6004,5,6447368783,FIFA+ | App de fútbol en vivo,Federation Internationale de Football Association,https://apps.apple.com/pa/app/fifa-app-de-f%C3%BAtbol-en-vivo/id6447368783?uo=4,0.0,1.66667,6,Sports,"Con un diseño renovado y llamativo, la aplicación de FIFA+ se convierte en tu experiencia definitiva para ver fútbol en directo y acceder a contenido exclusivo. Más cerca del juego que nunca.
Disfruta de partidos en directo, revive momentos legendarios y sumérgete en las historias que han hecho grande al fútbol
Sigue en vivo los partidos de competiciones masculinas y femeninas de la FIFA, incluidas competiciones juveniles, de futsal y de fútbol playa, además de ligas y copas de todo el mundo. Revive los momentos inolvidables de la Copa Mundiala través de repeticiones completas, resúmenes detallados y análisis de expertos.
Ve más allá del terreno de juego con documentales originales y programas exclusivos que te llevarán al corazón del deporte más apasionante del mundo. Activa las notificaciones y no te pierdas ningún partido, estés donde estés.

Principales características
• Partidos en directo y cobertura exclusiva: disfruta de torneos y competiciones de la FIFA de todo el mundo, y revive los mejores momentos y partidos rumbo a la Copa Mundial de la FIFA 26TM. Además, tendrás acceso exclusivo a la acción futbolística global, con miles de partidos al año de más de 230 competiciones organizadas por más de 100 federaciones.
• Archivo de la Copa Mundial: revive momentos históricos del mayor escenario del fútbol con repeticiones completas, resúmenes de los partidos y análisis de expertos.
• Documentales e historias originales: explora a fondo las mejores leyendas, rivalidades e historias jamás contadas del deporte rey con contenido de alta calidad.
• Alertas y notificaciones de partidos: sigue cada detalle sobre los partidos gracias a las actualizaciones en tiempo real y prepárate para descubrir nuevas funciones que te encantarán.
• Ver a continuación: te recomendamos contenido relevante para que sigas disfrutando lo mejor de FIFA+ sin mover un dedo.
• Ver desde el principio: ahora no te perderás ningún gol, aunque suene el timbre de tu casa o debas bajarte del autobús en la próxima parada. Pulsa «Ver desde el principio» o desliza a la izquierda para ir hacia atrás y retomar la acción justo antes del pitido inicial.
• Búsqueda mejorada: accede al contenido que buscas al instante con filtros ajustables o escribiendo el nombre del partido.
• Inicio de sesión sencillo: crea o utiliza tu FIFA ID y accede fácilmente a todo el universo de contenidos de la FIFA.
• Descarga ya la aplicación de FIFA+ y accede a una nueva dimensión del fútbol.",2023-05-18T07:00:00Z,2025-11-17T14:30:33Z
pa,Panama,Sports,6004,6,1498747318,Codere: Apuestas Deportivas PA,"Alta Cordillera, S.A.",https://apps.apple.com/pa/app/codere-apuestas-deportivas-pa/id1498747318?uo=4,0.0,4.93333,15,Sports,"¡Descarga Codere, la mejor app de apuestas deportivas en Panamá!
Vive la emoción del deporte desde tu celular con Codere, la casa de apuestas autorizada que te ofrece apuestas online seguras, rápidas y fáciles. Apuesta en vivo en los mejores eventos deportivos y disfruta del casino online más completo. ¡Todo en una sola aplicación de apuestas!

BONO DE BIENVENIDA – 100% HASTA $100
Al hacer tu primer depósito, elige el bono que mejor se adapte a ti:
• Casino: 100% hasta $100 en bonos para juegos Playtech.
• Deportes: 100% hasta $100 para tus apuestas deportivas.
Codere te premia desde el primer momento. ¡Empieza con ventaja!

APUESTAS FÚTBOL Y LOS MEJORES TORNEOS DEL MUNDO
Apuesta en competencias como la Champions League, Europa League, LaLiga, Premier League, Bundesliga, Serie A, Eredivisie, Ligue 1, Mundial de Fútbol y más.
Nuestra app te permite hacer tus pronósticos en eventos nacionales e internacionales con las mejores cuotas. Ideal para los verdaderos fanáticos de las apuestas fútbol.

APUESTAS MLB, NBA Y MUCHO MÁS
Codere te conecta con las grandes ligas: apuestas MLB, apuestas NBA, NCAA, UFC, F1, ciclismo, boxeo y mucho más.
Explora mercados dinámicos y apuesta en tiempo real mientras disfrutas de cada jugada. Vive la adrenalina con nuestra app de apuestas deportivas.

CREA TU APUESTA
Combina mercados y diseña tu jugada perfecta. Con Crea tu Apuesta, puedes personalizar tu ticket en eventos de fútbol, apuestas baseball, tenis, NBA o MLB. Apuesta antes del partido o durante el juego, y aumenta tus ganancias. ¡Tu apuesta, a tu manera!

CASINO ONLINE CON FREESPINS Y MÁS
Disfruta del mejor casino en vivo con ruletas, slots, blackjack y otros clásicos.
Con nuestros freespins puedes jugar sin arriesgar tu dinero. Los giros gratis llegan como bono de bienvenida, promociones semanales o premios de fidelidad. ¡Juega sin límites!

FREEBETS DISPONIBLES TODA LA SEMANA
Recibe freebets para apostar sin riesgo. Prueba nuevas estrategias, explora más mercados y gana en grande. Codere es la mejor opción en aplicaciones de apuestas con beneficios reales.

CUENTA SEGURA Y CONTROL TOTAL
• Registro rápido y simple.
• Edita tus datos cuando quieras.
• Métodos de pago seguros: transferencia bancaria, tarjetas Visa/MasterCard, Crown Casino y Punto Pago.
• Servicio al cliente disponible para ayudarte en todo momento.

¿CÓMO PODRÁS COBRAR TU DINERO?
Primero debes hacer una verificación documental para poder retirar a través de Transferencia bancaria (ACH), considera lo siguiente:
El importe mínimo de cada solicitud debe ser de $50.
Recuerda que cada retiro conlleva una retención del 5.5%.
Solo se puede retirar a una cuenta a nombre del titular de la cuenta.
Debes tener tu cuenta bancaria verificada para poder retirar.
Recuerda que las transferencias interbancarias toman de 24 a 48 horas.

 
JUEGO RESPONSABLE
En Codere nos encontramos fuertemente comprometidos con la responsabilidad social que nuestra actividad conlleva. Nuestro objetivo es proporcionar un entorno de entretenimiento adecuado, seguro y alejado de comportamientos perjudiciales y compulsivos que puedan convertir la diversión y el ocio en problemas relacionados con el juego.

Para obtener ayuda para la adicción al juego visita: 
•https://condiciones.apuestas.codere.es/Panama/juego_responsable.html 
•https://www.jugadoresanonimos.org
•https://www.mef.gob.pa/secretaria-ejecutiva-junta-de-control-de-juegos/ 504-3768

CANCELACIÓN DE CUENTA

Si desea cancelar o cerrar su cuenta Codere, ya sea definitivamente o temporalmente, tan solo deberá ponerse en contacto con nosotros enviando un e-mail indicando su usuario a apuestas@codere.com desde la dirección de correo que facilitaste al registrarte.
https://blog.codere.pa/ayuda/politica-de-privacidad
https://www.codere.pa/ayuda/proteccion-datos-web

Descarga la App de la casa del Real Madrid y Rayados de Monterrey, y disfruta con nuestros pronósticos y resultados. ¡Vive una Experiencia Codere!",2024-08-04T07:00:00Z,2025-11-06T09:22:57Z
pa,Panama,Sports,6004,7,1176147574,Sofascore: Mis marcadores,SofaScore LTD,https://apps.apple.com/pa/app/sofascore-mis-marcadores/id1176147574?uo=4,0.0,4.96712,517,Sports,"Mantente al tanto de cada momento en los deportes con resultados en vivo, estadísticas y horarios. Sigue las ligas más importantes del mundo, incluyendo la Premier League, la Champions League, La Liga, la Serie A, la Bundesliga, la Liga MX, y la Primera División de Argentina. También sigue cada fase de la NBA, la EuroLeague, la NCAA y los principales torneos de tenis como Wimbledon, Roland Garros, el US Open, el Australian Open y los tours de ATP y WTA—todo en una sola aplicación.

Disfruta de la mejor aplicación de resultados en vivo: ¡Sofascore! Tu destino para todos los resultados, estadísticas deportivas y un mundo de emoción deportiva. Tanto si eres un apasionado de los deportes como un serio gestor de fantasías. Lo tenemos todo, desde simples marcadores en vivo hasta estadísticas profundas y análisis detallados de jugadores. Abarcamos 25 deportes, más de 5,000 ligas y torneos. ¡Con la aplicación Sofascore no te perderás nada!

¿Por qué elegir Sofascore?

• Rápido y preciso: Notificaciones instantáneas y resultados en tiempo real 
• Las mejores ligas: Mantente al tanto de las competiciones de élite con resultados y partidos en vivo, y encuentra un resumen completo de la temporada
• Información sobre jugadores: Estadísticas detalladas sobre goles, actuaciones de jugadores y eventos deportivos; sé el primero en enterarte
• Cobertura completa: Sumérgete en todos los resultados y partidos en vivo de las principales ligas y torneos de todo el mundo

Explora amplias funciones deportivas:

• Clasificaciones estadísticas: Accede a más de 300 estadísticas utilizadas por profesionales, sitios de noticias y analistas para obtener una visión completa
• Visión general de atributos: Visualiza los atributos clave de los jugadores para calibrar rápidamente si están completos
• Momento de ataque: Sigue la dinámica del partido y la intensidad de la presión del equipo con un gráfico único
• Marcador y mapa de tiros: Obtén los detalles de cada partido; cada punto, asistencia y patrón de tiro
• Gráfico de potencia: Sé testigo del desarrollo de los partidos, mostrando el nivel de dominio del jugador ganador.
• Mapa de calor: Visualiza los movimientos de los jugadores sobre el terreno de juego en cada partido y en toda la temporada
• Cara a cara: Compara equipos y jugadores cara a cara, analizando su historial de rendimiento y rivalidad

Descubre una amplia gama de deportes, ligas y torneos en la aplicación de resultados en vivo Sofascore:

• Futbol: Premier League, Liga de Campeones de la UEFA, UEFA Europa League, Bundesliga, LaLiga, Serie A, Ligue 1, Brasileirão Série A, Campeonato de Europa de la UEFA (EURO), Copa del Mundo de la FIFA
• Basquetbol: NBA, Euroliga, Copa del Mundo FIBA, Stoiximan Basket League, Serie A, Liga ACB
• Tenis: ATP Tour, WTA Tour, Grand Slams (Abierto de Australia, Abierto de Francia, Wimbledon, Abierto de los Estados Unidos), Copa Davis
• Tenis de mesa: Campeonatos del Mundo de Tenis de Mesa ITTF, Copa del Mundo de Tenis de Mesa
• Hockey sobre hielo: NHL, KHL, IIHF Campeonato del Mundo
• Deportes electrónicos: LoL, Dota 2, CS:GO 2
• Handbol: Campeonato Mundial de Handbol de la IHF, Bundesliga, Liga de Campeones de la EHF
• Volibol: Campeonato del Mundo de Volibol de la FIVB, Liga de Naciones, Liga de Campeones
• Beisbol; MLB, LMB, Pro Yakyu; NPB
• Futbol americano: NFL, NCAA
• MMA: UFC, Bellator, KSW, Rizin, PFL
• Automovilismo: Fórmula 1, NASCAR, MotoGP, WRC
• Cricket: Copa del Mundo de la ICC, Liga Premier de la India (IPL)

y el resto de deportes que abarcamos: rugby, dardos, billar, futbol sala, minifutbol, badminton, Aussie Rules, volibol playa, waterpolo, ciclismo, floorball, bandy.

Política de privacidad: https://www.sofascore.com/privacy-policy
Condiciones de uso: https://www.sofascore.com/terms-and-conditions",2016-12-02T00:45:09Z,2025-11-20T18:55:35Z
pa,Panama,Sports,6004,8,1315007279,F1 TV,Formula One Digital Media Limited,https://apps.apple.com/pa/app/f1-tv/id1315007279?uo=4,0.0,4.72727,33,Sports,"Prepárate para vivir la F1® como nunca antes; con la aplicación de F1 TV. Mira cada carrera, mira cada sesión en vivo y ten a tu alcance cada dato de la carrera. Todo sin anuncios y todo en tus dispositivos favoritos. Y puedes verla en vivo o a la carta, desde donde quieras.


Se pone aún mejor con la última innovación inmersiva: F1 TV Premium. Con Multivista, personaliza tu vista de la carrera en vivo con diferentes transmisiones; todo en 4K UHD/HDR en tu pantalla grande y hasta en 6 dispositivos a la vez. Es la forma máxima de vivir la carrera, y todo es justo aquí. 



F1 TV PREMIUM: LA MÁXIMA INMERSIÓN EN VIVO A LA F1


Con Multivista puedes tener la perspectiva del director de la carrera en cada sesión. Todo en vivo y en 4K HDR.
•	Multivista: crea tu propia vista personalizada
•	Mira la F1 en vivo y en 4K UHD/ HDR en tu pantalla grande
•	Varios dispositivos: Mírala en vivo y hasta en 6 dispositivos a la vez
•	+ La transmisión oficial en vivo
•	+ Los cronometrajes esenciales en vivo



F1 TV PRO: LA TRANSMISIÓN OFICIAL DE LA F1 EN VIVO


Mira cada sesión como todo un líder de equipo. Con tomas a bordo y radios; en vivo y a la carta. Sin anuncios.
•	Mira todas las sesiones de F1 sin anuncios, en vivo y a la carta
•	Cámaras a bordo en vivo y la radio de los equipos en vivo
•	Acceso en vivo a la F2, F3, F1 Academy y la Porsche Supercup
•	El fin de semana hay shows y contenido exclusivos sobre la carrera
•	+ Los cronometrajes esenciales en vivo



F1 TV ACCESS: LOS CRONOMETRAJES ESENCIALES EN VIVO


Ten la perspectiva de un estratega, con cronometrajes y telemetría en vivo, repetición de las carreras y lo mejor de la radio de los equipos.
•	Cronometrajes, telemetría, uso de neumáticos y mapas de los pilotos. Todo en vivo.
•	Repetición diferida de la carrera
•	La reseña de lo mejor de la radio de los equipos
•	Shows exclusivos, documentales y el archivo de carreras



Para recibir ayuda con F1 TV, visita: https://support.f1.tv/s/?language=en_US
Términos de uso: https://account.formula1.com/#/en/f1-apps-terms-of-use
Política de privacidad: https://account.formula1.com/#/en/privacy-policy",2023-03-13T07:00:00Z,2025-11-17T10:16:58Z
pa,Panama,Sports,6004,9,766443283,Flashscore: Resultados en vivo,Livesport s.r.o.,https://apps.apple.com/pa/app/flashscore-resultados-en-vivo/id766443283?uo=4,0.0,4.92581,1267,Sports,"Tu mejor app de noticias deportivas y resultados en vivo. Goles, resultados e historias, todo en Flashscore. Sigue los últimos momentos destacados de todo el mundo del deporte, incluyendo fútbol, básquetbol, tenis, béisbol  y mucho más. Elige entre 30+ deportes y 6000+ competiciones y nuestras notificaciones personalizadas te informarán de cada acción importante del partido.

¡Descarga Flashscore ahora y sigue el partido como nadie!

Características clave:     
• Lo más rápidos resultados en directo: obtén actualizaciones en tiempo real con estadísticas detalladas, datos xG, ratings de jugadores y equipos, clasificaciones en vivo y actualizaciones de partidos.
• Noticias deportivas a fondo: mantente informado con entrevistas exclusivas, noticias, rumores de transferencias y análisis de datos en profundidad.
• Favoritos a tu medida: recibe notificaciones de noticias, alertas de goles y recordatorios personalizados para tus equipos, competencias o partidos favoritos.
• Sigue a tus jugadores favoritos: agrégalos a tu lista y activa notificaciones para no perderte cuando estén en la alineación titular, marquen goles, reciban tarjetas o se actualice su rating.
• Avance de partidos de expertos: accede a oportunidades y estadísticas seleccionadas para mejorar la precisión de tus predicciones deportivas.
• Predicción de alineaciones: manténgase un paso adelante y descubra quién es probable que comience en el próximo partido dada su forma actual, lesiones inesperadas o cambios en la alineación.
• Estadísticas detalladas de los jugadores: consulta los goles esperados (xG), las asistencias esperadas (xA), la cantidad de tiros, pases, toques etc.

RESULTADOS Y NOTICIAS DEPORTIVAS EN VIVO, RÁPIDOS Y PRECISOS

• VELOCIDAD: ya sea que se marque un gol, se emita una tarjeta roja, se termine un set o período, lo sabrás al mismo tiempo que la audiencia en vivo.

• GRAN COBERTURA: puedes encontrar partidos en vivo de fútbol, ​​baloncesto en directo, béisbol live score, marcadores de tenis online, clasificación de golf, fútbol americano en vivo y más de 30 deportes (hockey, voleibol, MMA, etc.) en nuestra app.


Cobertura de los principales eventos mundiales y Competiciones locales:
Fútbol: Copa Libertadores, Copa Sudamericana, Liga Profesional, Brasileirao, Liga DiMayor, Liga Pro de Ecuador, Premier League, LaLiga, Serie A, Ligue 1, Bundesliga, MLS, Champions League (UCL), Europa League, Conference League, Mundial de Clubs
Básquet: NBA, Euroliga, ACB, Copa del Mundo
Tenis: torneos del ATP/WTA Tour, incluidos los Grand Slams (Australia Open, Roland Garros, Wimbledon, US Open)
Béisbol: MLB, LMB, LMP, LIDOM, LVBP, Serie del Caribe
Fútbol americano: NFL, CFL, NCAA
Hockey: NHL, IIHF World Championship
Voleibol: Serie A1 de Italia, Nations League, Nations League Femenina
Rugby Union: Seis Naciones, Premiership Rugby, Mundial de Rugby
Golf: Abierto Británico (The Open), Masters, US Open, PGA Championship
Deportes de motor: Fórmula 1 (F1), MotoGP
MMA: UFC, Bellator MMA

NO TE PERDERÁS MÁS PARTIDOS NI ACTUALIZACIONES.

• EQUIPOS Y PARTIDOS FAVORITOS: No pierdas tu tiempo y sigue solo tus partidos, equipos y competiciones favoritas.

• ALERTAS Y NOTIFICACIONES: El inicio del partido, alineaciones o goles, no te perderás ningún detalle. Simplemente selecciona tus partidos favoritos y espera que tu dispositivo móvil te lo cuente.


CLASIFICACIONES Y DETALLES DE PARTIDO.

• ALINEACIONES Y ENFRENTAMIENTOS DIRECTOS (H2H): ¿Necesitas saber las alineaciones antes del inicio del partido? Las tenemos antes del inicio del juego. También verás un historial de enfrentamientos (H2H) para que así puedas conocer los resultados entre ambos equipos en partidos anteriores.

• TABLAS EN VIVO: Un gol puede cambiar muchas cosas. Nuestras clasificaciones en vivo te mostrarán si un gol cambia las posiciones de la Liga, así como la tabla de goleadores. 

Condiciones de uso: https://livesport.eu/terms-of-use/es-mx
Política de privacidad: https://livesport.eu/privacy-policy/es-mx",2013-12-06T04:50:49Z,2025-10-30T12:25:25Z
pa,Panama,Sports,6004,10,1398218112,Betcris - apuestas y casino,TV GLOBAL ENTERPRISES LTD,https://apps.apple.com/pa/app/betcris-apuestas-y-casino/id1398218112?uo=4,0.0,4.71103,1495,Sports,"Accede a una plataforma de apuestas confiable, con retiros ágiles y atención al cliente disponible. Con nuestra app de apuestas deportivas y casino online, llevas la emoción de cada partido contigo.

Amplia variedad de apuestas deportivas, con distintas formas de participación para una experiencia dinámica:
Apuestas en Vivo: Apuesta mientras ves el partido en tiempo real.
Apuestas Futuras: Pronostica campeonatos, ligas o torneos completos.
Apuestas Directas: Selecciona resultados concretos como el ganador o primer anotador.
Parlays (apuestas combinadas): Combina varios eventos para multiplicar tus ganancias.
 
Descubre una experiencia más completa con nuestro programa de lealtad para usuarios registrados.

Cuotas competitivas adaptadas al mercado latinoamericano.
Aprovecha nuestras líneas competitivas en deportes como:
Fútbol: Ligas locales, UEFA, CHAMPIONS, CONCACAF, Mundial de Clubes y más.
NFL: Vive toda la temporada hasta el Super Bowl.
Boxeo y UFC: Líneas disponibles para cada pelea que sigues.
NBA y baloncesto internacional.
MLB y béisbol mundial.
Fórmula 1: Desde Mónaco hasta Silverstone.

Funciones avanzadas para tu control
Cashout (cerrar apuesta): Retira ganancias o minimiza pérdidas antes de que termine el evento.
Streaming en vivo (transmisión en vivo): Mira y apuesta al instante en partidos de fútbol, béisbol, baloncesto y más.
 
Casino Online (casino en línea) autorizado con variedad de juegos disponibles para una experiencia confiable.
Disfruta de tragamonedas, ruleta, blackjack y torneos mensuales. Vive una experiencia de entretenimiento confiable desde tu celular.
 
Apuesta en tus deportes favoritos a través de una plataforma segura y confiable.

+18 | Juega con responsabilidad
El acceso a esta app es solo para mayores de edad. Apostar conlleva riesgos. Conoce nuestras políticas en:

Juego Responsable 
https://ayuda.betcris.com/es/guia-de-usuario/legal/juego-responsable/juego-responsable/

Términos y Condiciones
https://ayuda.betcris.com/es/guia-de-usuario/legal/terminos-y-condiciones/terminos-y-condiciones/",2018-09-08T16:58:52Z,2025-11-12T21:06:25Z
